blade,k,P_kw,pass,source
0.69,2.0,0.0,false,catalog
0.69,4.0,0.16634447266592267,false,catalog
0.69,6.0,0.2274171203188992,false,catalog
0.69,8.0,0.0,false,catalog
0.69,10.0,3.345334358974306,false,catalog
0.69,14.0,2.3872776278302326e-08,false,catalog
0.8,2.0,0.0,false,catalog
0.8,4.0,0.18797110753374244,false,catalog
0.8,6.0,15.321824340851972,false,catalog
0.8,8.0,0.0010569190185764229,false,catalog
0.8,10.0,0.0,false,catalog
0.8,14.0,132.85477424246574,false,catalog
0.85,2.0,4.9212186149089225,false,catalog
0.85,4.0,0.0,false,catalog
0.85,6.0,0.002442110384572329,false,catalog
0.85,8.0,0.0,false,catalog
0.85,10.0,0.2015213590489134,false,catalog
0.85,14.0,18.112897751294163,false,catalog
0.9,2.0,6.714226939659016,false,catalog
0.9,4.0,0.0,false,catalog
0.9,6.0,81.45927266894765,false,catalog
0.95,2.0,0.11306731177141663,false,catalog
0.95,4.0,198.89072816795792,false,catalog
1.0,2.0,0.0,false,catalog
1.0,4.0,145.81506758941748,false,catalog
1.05,2.0,0.0002884170196053448,false,catalog
1.05,4.0,86.09556617525132,false,catalog
1.1,2.0,51.40639435569531,false,catalog
1.1,4.0,296.91754255381505,false,catalog
0.9,2.0,6.714226939659016,false,catalog
0.9,4.0,0.0,false,catalog
0.9,6.0,81.45927266894765,false,catalog
0.95,2.0,0.11306731177141663,false,catalog
0.95,4.0,198.89072816795792,false,catalog
1.0,2.0,0.0,false,catalog
1.0,4.0,145.81506758941748,false,catalog
1.05,2.0,0.0002884170196053448,false,catalog
1.05,4.0,86.09556617525132,false,catalog
1.1,2.0,51.40639435569531,false,catalog
1.1,4.0,296.91754255381505,false,catalog
0.95,2.0,146.86146546380695,false,catalog
1.0,2.0,70.09638415717384,false,catalog
1.05,2.0,195.62515699531357,false,catalog
1.1,2.0,189.81372181570546,false,catalog
0.95,2.0,0.0003025051477635334,false,catalog
0.95,4.0,24.94886845296582,false,catalog
0.95,6.0,259.1218016447705,false,catalog
1.0,2.0,223.24819478150965,false,catalog
1.05,2.0,155.143539884883,false,catalog
1.1,2.0,121.16681518485957,false,catalog
0.69,2.0,94.9651267931493,true,kickstart
0.69,8.0,13.820798928950795,true,kickstart
0.75,2.0,99.49831987458528,true,kickstart
0.75,4.0,173.4363181165214,true,kickstart
0.75,6.0,160.69714738391693,true,kickstart
0.75,8.0,4.482823592845182,true,kickstart
0.75,10.0,24.178905648253917,true,kickstart
0.8,2.0,118.08412980440376,true,kickstart
0.8,4.0,131.21164675177283,true,kickstart
0.8,8.0,76.96175462999777,true,kickstart
0.8,10.0,160.7860381766999,true,kickstart
0.85,4.0,187.08661042825756,true,kickstart
0.85,6.0,129.2435644682616,true,kickstart
0.85,8.0,184.28627451994828,true,kickstart
0.85,10.0,2.0660480888855273,true,kickstart
