omega_rpm,P_aero_kW,P_gen_kW,net_kW
0,0.0,0.0,0.0
5,0.1,0.0,0.1
10,0.2,0.01,0.19
15,0.29,0.02,0.27
20,0.39,0.06,0.34
25,0.65,0.11,0.55
30,1.24,0.19,1.06
35,1.83,0.3,1.54
40,2.42,0.44,1.98
45,3.01,0.63,2.38
50,3.66,0.86,2.8
55,4.56,1.15,3.41
60,5.45,1.49,3.96
65,6.35,1.89,4.46
70,7.25,2.36,4.88
75,8.04,2.91,5.13
80,8.63,3.53,5.1
85,9.21,4.23,4.98
90,9.8,5.02,4.78
95,10.39,5.91,4.48
100,10.75,6.89,3.86
105,10.79,7.98,2.82
110,10.84,9.17,1.67
115,10.88,10.48,0.4
120,10.92,11.91,-0.98
125,10.77,13.46,-2.69
130,10.42,15.14,-4.72
135,10.08,16.95,-6.88
140,9.73,18.91,-9.18
145,9.38,21.01,-11.62
150,8.94,23.25,-14.31
155,8.46,25.66,-17.2
160,7.97,28.22,-20.25
165,7.48,30.95,-23.47
170,7.0,33.85,-26.86
175,6.4,36.93,-30.53
180,5.75,40.18,-34.44
185,5.1,43.63,-38.53
190,4.87,47.26,-42.39
195,4.87,51.09,-46.22
200,4.87,55.12,-50.25
205,4.87,59.36,-54.49
210,4.87,63.81,-58.94
215,4.87,68.48,-63.6
220,4.87,73.37,-68.49
225,4.87,78.48,-73.61
230,4.87,83.83,-78.96
235,4.87,89.42,-84.55
240,4.87,95.25,-90.38
245,4.87,101.33,-96.46
250,4.87,107.66,-102.79
255,4.87,114.25,-109.38
260,4.87,121.1,-116.23
265,4.87,128.23,-123.35
270,4.87,135.62,-130.75
275,4.87,143.3,-138.42
280,4.87,151.26,-146.38
285,4.87,159.5,-154.63
290,4.87,168.05,-163.17
295,4.87,176.89,-172.02
300,4.87,186.04,-181.16
305,4.87,195.5,-190.62
310,4.87,205.27,-200.39
315,4.87,215.36,-210.49
320,4.87,225.78,-220.91
325,4.87,236.53,-231.66
330,4.87,247.62,-242.74
335,4.87,259.04,-254.17
340,4.87,270.82,-265.94
345,4.87,282.94,-278.07
350,4.87,295.42,-290.55
355,4.87,308.26,-303.39
360,4.87,321.47,-316.6
365,4.87,335.05,-330.18
370,4.87,349.01,-344.14
375,4.87,363.35,-358.48
380,4.87,378.08,-373.21
385,4.87,393.21,-388.33
390,4.87,408.72,-403.85
395,4.87,424.65,-419.77
400,4.87,440.98,-436.1
405,4.87,457.72,-452.85
410,4.87,474.89,-470.01
415,4.87,492.47,-487.6
420,4.87,510.49,-505.61
425,4.87,528.94,-524.06
430,4.87,547.83,-542.95
435,4.87,567.16,-562.29
440,4.87,586.94,-582.07
445,4.87,607.18,-602.31
450,4.87,627.88,-623.0
