round,tether_mm,r_bottom,blade_scale,k_mppt,P_kw,omega_rpm,min_fos,rings_failing,rings_airborne,T_max_kN,pass,status
1,4.0,1.3,0.8,2.0,0.0,-9.894788665644523,4.7753844227229765,0,19,0.9776689478477163,false,ok
1,4.0,1.3,0.8,4.0,0.18797110753374244,17.956540348369153,0.32448294642195913,6,19,6.294819650472265,false,ok
1,4.0,1.3,0.8,8.0,0.0010569190185764229,25.085350638466824,0.8345681167477884,1,19,1.3956491551559242,false,ok
1,4.0,1.3,0.85,2.0,4.9212186149089225,126.62888178218948,0.11674939355102243,11,19,43.65047788174497,false,ok
1,4.0,1.3,0.85,4.0,0.0,-15.007555545744479,3.4917699195320826,0,19,0.696020355394373,false,ok
1,4.0,1.3,0.85,8.0,0.0,-0.47307489834676186,1.018943004969797,0,19,3.249480985908644,false,ok
1,4.0,1.3,0.9,2.0,6.714226939659016,239.7012209258042,0.06158149695686366,17,19,52.12248407291736,false,ok
1,4.0,1.3,0.9,4.0,0.0,-4.576982397337299,2.5060837739117883,0,19,0.5022198362253786,false,ok
1,4.0,1.3,0.9,8.0,22.321692825103426,139.0461051035434,0.16585897202586902,15,19,13.39577888575023,false,ok
1,4.0,1.3,0.95,2.0,0.11306731177141663,23.24397127757218,1.5566693524772115,0,19,0.3411712078620291,false,ok
1,4.0,1.3,0.95,4.0,198.89072816795792,257.4117695216057,0.1357207127807533,19,19,18.78068930036035,false,ok
1,4.0,1.3,0.95,8.0,0.0,85.11989218223316,0.07308411039134795,16,19,15.566972825527206,false,ok
1,4.0,1.3,1.05,2.0,0.0002884170196053448,8.834218827734636,0.722305314628701,4,19,1.541129209152527,false,ok
1,4.0,1.3,1.05,4.0,86.09556617525132,189.9818114372253,0.05595565839273813,19,19,101.30690248555234,false,ok
1,4.0,1.3,1.05,8.0,335.0733867410645,272.5220534350801,0.3498348907688971,13,19,36.16223328296804,false,ok
1,4.0,1.3,1.1,2.0,51.40639435569531,350.4058347811169,0.029176165452733435,19,19,130.13343259287953,false,ok
1,4.0,1.3,1.1,4.0,296.91754255381505,272.0906042782349,0.06014669510570225,18,19,121.45736975125939,false,ok
1,4.0,1.3,1.1,8.0,324.2956928567088,284.7773925502181,0.0783266433484867,18,19,51.19452465024653,false,ok
1,3.5,1.3,1.0,2.0,223.24819478150965,271.7636669499762,0.06605185257332714,18,19,99.67750784674402,false,ok
1,3.5,1.3,1.0,4.0,48.373937021428056,214.80780070702917,0.05900247201238677,19,19,68.43186628306479,false,ok
1,3.5,1.3,1.0,8.0,20.869755951010625,201.35979926341082,0.3108476119415873,7,19,28.169981361821645,false,ok
1,3.5,1.3,1.05,2.0,155.143539884883,317.8812820950606,0.1057016289363557,19,19,46.591573749863855,false,ok
1,3.5,1.3,1.05,4.0,167.53084444911553,280.05007962891614,0.14252047507631774,14,19,57.32868447418089,false,ok
1,3.5,1.3,1.05,8.0,0.0,-3.1530415089502486,0.990352716882369,1,19,1.593560749494914,false,ok
1,3.5,1.3,1.1,2.0,121.16681518485957,350.69744192621755,0.059570838987733715,19,19,62.16135965233199,false,ok
1,3.5,1.3,1.1,4.0,117.94414837716202,367.22033998323235,0.05839408413357573,19,19,61.24713710910822,false,ok
1,3.5,1.3,1.1,8.0,562.6940590112816,238.40258973772563,0.17052198740728064,19,19,44.98505248114537,false,ok
2,4.0,1.15,0.95,2.0,0.11306731177141663,23.24397127757218,1.5566693524772115,0,19,0.3411712078620291,false,ok
2,4.0,1.15,0.95,4.0,198.89072816795792,257.4117695216057,0.1357207127807533,19,19,18.78068930036035,false,ok
2,4.0,1.15,0.95,8.0,0.0,85.11989218223316,0.07308411039134795,16,19,15.566972825527206,false,ok
2,4.0,1.15,1.0,2.0,0.0,-4.028633946950146,0.6235072551982133,4,19,2.8062905723909974,false,ok
2,4.0,1.15,1.0,4.0,145.81506758941748,206.42023957010738,0.10239336881683432,19,19,51.16636964208995,false,ok
2,4.0,1.15,1.0,8.0,1.656484520565361,37.017257698821346,0.5804932416976633,4,19,3.8155668051745653,false,ok
2,4.0,1.15,1.05,2.0,0.0002884170196053448,8.834218827734636,0.722305314628701,4,19,1.541129209152527,false,ok
2,4.0,1.15,1.05,4.0,86.09556617525132,189.9818114372253,0.05595565839273813,19,19,101.30690248555234,false,ok
2,4.0,1.15,1.05,8.0,335.0733867410645,272.5220534350801,0.3498348907688971,13,19,36.16223328296804,false,ok
2,4.0,1.15,1.1,2.0,51.40639435569531,350.4058347811169,0.029176165452733435,19,19,130.13343259287953,false,ok
2,4.0,1.15,1.1,4.0,296.91754255381505,272.0906042782349,0.06014669510570225,18,19,121.45736975125939,false,ok
2,4.0,1.15,1.1,8.0,324.2956928567088,284.7773925502181,0.0783266433484867,18,19,51.19452465024653,false,ok
2,4.0,1.15,1.15,2.0,47.154058583868114,144.5741838782443,0.2685654951982263,13,19,24.91993427493178,false,ok
2,4.0,1.15,1.15,4.0,572.8963028973429,309.352021820711,0.05833801303201074,18,19,129.33157338350205,false,ok
2,4.0,1.15,1.15,8.0,280.0935454233015,245.6486602410516,0.31213209631305044,16,19,61.029086160984505,false,ok
3,4.0,1.0,1.05,2.0,195.62515699531357,407.77694949740516,0.08605392403820111,21,21,59.43019593732275,false,ok
3,4.0,1.0,1.05,4.0,0.0,-4.248792311457916,0.7613272374046323,2,21,2.2639471467295054,false,ok
3,4.0,1.0,1.05,8.0,99.11772566272866,231.2863192807026,0.10586287378376666,16,21,34.19773359621406,false,ok
3,4.0,1.0,1.1,2.0,189.81372181570546,397.5187821422112,0.12767553589063454,12,21,90.57408764046701,false,ok
3,4.0,1.0,1.1,4.0,157.93352682671784,387.41449830545923,0.04621075587413008,21,21,68.52014764954347,false,ok
3,4.0,1.0,1.1,8.0,315.58574304857416,339.15929801838587,0.030582844961337136,20,21,86.7996322468483,false,ok
3,4.0,1.0,1.15,2.0,100.81502652591942,421.50951135176444,0.20111875338404575,19,21,67.46848447467704,false,ok
3,4.0,1.0,1.15,4.0,407.7523542354334,384.3389598186234,0.043965141034381594,4,21,57.07180020225361,false,ok
3,4.0,1.0,1.15,8.0,302.6960506806697,311.76672980209923,0.3142832504490038,5,21,35.45687315874899,false,ok
3,4.0,1.0,1.2,2.0,154.7984144633087,420.7080208802123,0.0911414528039285,21,21,110.55457930271989,false,ok
3,4.0,1.0,1.2,4.0,474.6250366011126,416.4535871777465,0.02611232321526949,21,21,96.2700578449595,false,ok
3,4.0,1.0,1.2,8.0,235.3421250651566,365.16791851053455,0.10171934346550111,19,21,106.66509831286032,false,ok
4,4.0,1.4,1.05,2.0,0.0002884170196053448,8.834218827734636,0.722305314628701,4,19,1.541129209152527,false,ok
4,4.0,1.4,1.05,4.0,86.09556617525132,189.9818114372253,0.05595565839273813,19,19,101.30690248555234,false,ok
4,4.0,1.4,1.05,8.0,335.0733867410645,272.5220534350801,0.3498348907688971,13,19,36.16223328296804,false,ok
4,4.0,1.4,1.1,2.0,51.40639435569531,350.4058347811169,0.029176165452733435,19,19,130.13343259287953,false,ok
4,4.0,1.4,1.1,4.0,296.91754255381505,272.0906042782349,0.06014669510570225,18,19,121.45736975125939,false,ok
4,4.0,1.4,1.1,8.0,324.2956928567088,284.7773925502181,0.0783266433484867,18,19,51.19452465024653,false,ok
4,4.0,1.4,1.15,2.0,47.154058583868114,144.5741838782443,0.2685654951982263,13,19,24.91993427493178,false,ok
4,4.0,1.4,1.15,4.0,572.8963028973429,309.352021820711,0.05833801303201074,18,19,129.33157338350205,false,ok
4,4.0,1.4,1.15,8.0,280.0935454233015,245.6486602410516,0.31213209631305044,16,19,61.029086160984505,false,ok
4,4.0,1.4,1.2,2.0,34.07968946295624,303.83396308404906,0.019696685378664116,19,19,96.03772613730517,false,ok
4,4.0,1.4,1.2,4.0,111.01992583373132,486.6615691634596,0.02162068108828175,19,19,213.91339030930197,false,ok
4,4.0,1.4,1.2,8.0,40.961794109099195,73.85505926345355,0.2722178727189758,12,19,15.572903780991782,false,ok
4,4.0,1.4,1.25,2.0,0.0,447.74648337180554,0.01678496432517335,17,19,148.20913693689783,false,ok
4,4.0,1.4,1.25,4.0,90.44727508377183,589.8328433994812,0.01788793860941842,19,19,173.8462520372438,false,ok
4,4.0,1.4,1.25,8.0,94.78354577820954,431.94372637142004,0.15934260281979803,18,19,90.29008907652064,false,ok
4,4.0,1.4,1.3,2.0,145.4732108239578,469.4005069774735,0.011080505272498249,19,19,213.55306920366257,false,ok
4,4.0,1.4,1.3,4.0,396.1200730313934,403.7838558765987,0.02046274458207893,19,19,148.48241817544618,false,ok
4,4.0,1.4,1.3,8.0,808.994975278374,307.8611454316536,0.045732862128271136,19,19,102.7516657313408,false,ok
