param,value,candidate,P_kw,omega_rpm,min_fos
baseline,0.0,triangle3_0.85,0.0,0.2,3786.56
baseline,0.0,12gon_0.80,0.06,30.5,4.48
baseline,0.0,12gon_0.45,0.29,43.8,2.09
TSR_design,2.4,triangle3_0.85,0.0,0.2,3786.56
TSR_design,2.4,12gon_0.80,0.06,30.5,4.48
TSR_design,2.4,12gon_0.45,0.29,43.8,2.09
TSR_design,3.6,triangle3_0.85,0.0,0.2,3786.56
TSR_design,3.6,12gon_0.80,0.06,30.5,4.48
TSR_design,3.6,12gon_0.45,0.29,43.8,2.09
slope,3.7699111843077517,triangle3_0.85,0.0,0.2,3786.56
slope,3.7699111843077517,12gon_0.80,0.06,30.5,4.48
slope,3.7699111843077517,12gon_0.45,0.29,43.8,2.09
slope,9.42477796076938,triangle3_0.85,0.0,0.2,3786.56
slope,9.42477796076938,12gon_0.80,0.06,30.5,4.48
slope,9.42477796076938,12gon_0.45,0.29,43.8,2.09
CL_max,1.0,triangle3_0.85,0.0,0.2,3786.56
CL_max,1.0,12gon_0.80,0.06,30.5,4.48
CL_max,1.0,12gon_0.45,0.29,43.8,2.09
CL_max,1.4,triangle3_0.85,0.0,0.2,3786.56
CL_max,1.4,12gon_0.80,0.06,30.5,4.48
CL_max,1.4,12gon_0.45,0.29,43.8,2.09
