param,value,candidate,P_kw,omega_rpm,min_fos,k_mppt
baseline,0.0,triangle3_0.85,0.5,-10.1,4.03,4.0
baseline,0.0,12gon_0.80,3.49,2.0,1.45,90.0
baseline,0.0,12gon_0.45,2.72,44.7,1.45,56.0
TSR_design,2.4,triangle3_0.85,4.34,-10.1,4.03,4.0
TSR_design,2.4,12gon_0.80,0.98,2.0,1.45,90.0
TSR_design,2.4,12gon_0.45,9.98,44.7,1.45,56.0
TSR_design,3.6,triangle3_0.85,4.34,-10.1,4.03,4.0
TSR_design,3.6,12gon_0.80,0.98,2.0,1.45,90.0
TSR_design,3.6,12gon_0.45,9.98,44.7,1.45,56.0
slope,3.7699111843077517,triangle3_0.85,4.34,-10.1,4.03,4.0
slope,3.7699111843077517,12gon_0.80,0.98,2.0,1.45,90.0
slope,3.7699111843077517,12gon_0.45,9.98,44.7,1.45,56.0
slope,9.42477796076938,triangle3_0.85,4.34,-10.1,4.03,4.0
slope,9.42477796076938,12gon_0.80,0.98,2.0,1.45,90.0
slope,9.42477796076938,12gon_0.45,9.98,44.7,1.45,56.0
CL_max,1.0,triangle3_0.85,3.61,-10.1,4.03,4.0
CL_max,1.0,12gon_0.80,0.82,2.0,1.45,90.0
CL_max,1.0,12gon_0.45,8.42,44.7,1.45,56.0
CL_max,1.4,triangle3_0.85,5.08,-10.1,4.03,4.0
CL_max,1.4,12gon_0.80,1.14,2.0,1.45,90.0
CL_max,1.4,12gon_0.45,11.49,44.7,1.45,56.0
slope,1.5707963267948966,triangle3_0.85,4.34,-10.1,4.03,4.0
slope,1.5707963267948966,12gon_0.80,0.98,2.0,1.45,90.0
slope,1.5707963267948966,12gon_0.45,9.86,44.7,1.45,56.0
