blade_scale,k_mppt,wind_ms,label,P_kw,omega_rpm,min_fos,T_max_kN,status
0.9,6.0,5.0,0.90/k6 (safest),4.067898802972264e-10,-1.1296346470471859,912.9125653821527,0.11440176826682309,ok
0.9,6.0,7.0,0.90/k6 (safest),0.00538427544345665,9.842643147753776,43.05756255789419,1.4017126038218803,ok
0.9,6.0,9.0,0.90/k6 (safest),93.5822311928641,235.91486120049228,10.339423802649515,40.30851006455677,ok
0.9,6.0,11.0,0.90/k6 (safest),203.96741736556265,323.25518193233466,6.409885849996536,56.0276908670801,ok
0.9,6.0,13.0,0.90/k6 (safest),406.89346581963696,383.63064131805606,3.718019286463901,71.6221813602329,ok
0.9,6.0,15.0,0.90/k6 (safest),275.0381552146972,392.51558331523626,3.994232147515246,74.6188174274082,ok
0.95,4.0,5.0,0.95/k4 (sweet spot),0.0,2.583147315488281,408.94444787350244,0.3281128897779595,ok
0.95,4.0,7.0,0.95/k4 (sweet spot),5.690519590755556e-5,0.8844062128710756,384.38430855468386,0.22872072970715487,ok
0.95,4.0,9.0,0.95/k4 (sweet spot),82.64612571281016,270.63406755578956,5.134526175402701,35.43426695329507,ok
0.95,4.0,11.0,0.95/k4 (sweet spot),163.21779622978963,288.0736025372986,3.8820184107690086,76.67227333613911,ok
0.95,4.0,13.0,0.95/k4 (sweet spot),291.2372761143611,411.12446626027537,30.684489111097708,47.709939028949115,ok
0.95,4.0,15.0,0.95/k4 (sweet spot),344.3122494183342,442.8814714168141,10.39156102654531,67.4507128316986,ok
1.0,4.0,5.0,1.00/k4,2.2977235344554074e-7,0.5865369741182788,739.9590222944064,0.18582774182645342,ok
1.0,4.0,7.0,1.00/k4,1.2752031285562175,74.69565426471893,25.95269196686705,3.912458409830341,ok
1.0,4.0,9.0,1.00/k4,146.67735820447422,321.14418084997754,4.374438765565012,79.71416102703671,ok
1.0,4.0,11.0,1.00/k4,240.67131441050265,374.62046229967444,14.033728448453992,40.692001214963184,ok
1.0,4.0,13.0,1.00/k4,282.16680930269865,393.56429989090117,9.337645321977032,58.78114200012039,ok
1.0,4.0,15.0,1.00/k4,560.1559371597061,524.5989475666695,4.25432155201653,74.37525525663403,ok
1.1,4.0,5.0,1.10/k4 (max power),5.612118440684666,88.77964452283366,10.97775427753803,25.90257302838183,ok
1.1,4.0,7.0,1.10/k4 (max power),65.40801678552113,246.3752008774116,15.311612409960713,37.586948025138874,ok
1.1,4.0,9.0,1.10/k4 (max power),128.87609951630213,294.1130182891097,3.4841234433604806,52.20708034619997,ok
1.1,4.0,11.0,1.10/k4 (max power),297.19756205422084,391.41498949157557,5.319544130773181,102.56683709850658,ok
1.1,4.0,13.0,1.10/k4 (max power),248.42780275521852,435.4821977749146,6.4839989498157085,74.81119261037087,ok
1.1,4.0,15.0,1.10/k4 (max power),656.7105065253693,485.056514874447,27.36948516991506,92.80625766091815,ok
0.85,4.0,5.0,0.85/k4 (light blade),0.0,0.9712215561511266,2857.265120560151,0.07272717044456227,ok
0.85,4.0,7.0,0.85/k4 (light blade),0.0,-6.217289990613954,431.63424751672096,0.1952909297452541,ok
0.85,4.0,9.0,0.85/k4 (light blade),156.63152841239386,326.0596735150898,8.61580905406583,33.93791910500159,ok
0.85,4.0,11.0,0.85/k4 (light blade),110.41521511343142,282.8882549252698,5.288876976774945,31.72217641362168,ok
0.85,4.0,13.0,0.85/k4 (light blade),325.92609415420804,338.5986502340339,3.2433671795752788,62.51273017347858,ok
0.85,2.0,5.0,"0.85/k2 (light blade, safe k)",0.0,9.853693426661236,65.01647698023386,0.5143770690504519,ok
0.85,2.0,7.0,"0.85/k2 (light blade, safe k)",0.0,-0.4280923233695381,556.9316918551912,0.1188361529408722,ok
0.85,2.0,9.0,"0.85/k2 (light blade, safe k)",43.81736218882219,287.864253394615,8.544725195186608,26.67775372664123,ok
0.85,2.0,11.0,"0.85/k2 (light blade, safe k)",117.36503661390985,411.03576241149983,4.521798939083765,77.25963909616245,ok
0.85,2.0,13.0,"0.85/k2 (light blade, safe k)",149.9955951684172,403.73989384453125,8.283562475003148,42.27670949112895,ok
0.85,2.0,15.0,"0.85/k2 (light blade, safe k)",225.18087323938795,440.65001758019406,11.876746230609347,44.66326973726997,ok
