section,zeta,c_scale,dt_last_ok,dt_first_bad,T_mean,T_cv
analytic_worst,1.5,1.0,4.588162968621743e-5,,,
analytic_spring_floor,1.5,1.0,0.0001946592688980861,,,
sweep,1.5,1.0,0.00013454342644059433,0.00016,,
sweep,0.75,0.5,0.00013454342644059433,0.00016,,
sweep,0.375,0.25,0.00013454342644059433,0.00016,,
sweep,0.15000000000000002,0.1,0.00013454342644059433,0.00016,,
sweep,0.0495,0.033,0.00013454342644059433,0.00016,,
ringing,1.5,1.0,,,8586.696404664905,0.5297159035329998
ringing,0.75,0.5,,,12529.904549804382,0.6414495483367043
ringing,0.375,0.25,,,13496.56636136753,0.7440290627010476
ringing,0.15000000000000002,0.1,,,12217.80926296598,0.5836654706458381
ringing,0.0495,0.033,,,13405.044649643716,0.7152564337376469
