v_wind_m_s,bank_angle_deg,omega_rad_s,v_axial_m_s,v_app_m_s,phi_inflow_deg,lambda,L_per_blade_N,D_per_blade_N,LD_ratio,F_radial_N,F_axial_N,tau_lift_Nm,tau_drag_Nm,tau_net_Nm,P_per_rotor_kW,P_total_3rotors_kW
4.0,5.0,3.0,3.46,6.93,30.0,1.5,10.6,0.7,14.3,6.4,73.0,84.3,10.3,74.1,0.222,0.667
4.0,5.0,5.0,3.46,10.58,19.11,2.5,24.7,1.7,14.3,16.3,186.0,128.8,26.1,102.7,0.514,1.541
4.0,5.0,7.0,3.46,14.42,13.9,3.5,45.9,3.2,14.3,31.0,354.8,175.6,49.9,125.7,0.88,2.64
4.0,5.0,9.0,3.46,18.33,10.89,4.5,74.1,5.2,14.3,50.7,579.8,223.2,81.5,141.7,1.275,3.826
4.0,5.0,10.0,3.46,20.3,9.83,5.0,90.8,6.4,14.3,62.4,713.4,247.1,100.3,146.9,1.469,4.406
4.0,5.0,12.0,3.46,24.25,8.21,6.0,129.7,9.1,14.3,89.5,1022.7,295.2,143.7,151.5,1.818,5.454
4.0,5.0,15.0,3.46,30.2,6.59,7.5,201.1,14.1,14.3,139.3,1592.1,367.7,223.7,143.9,2.159,6.477
4.0,5.0,20.0,3.46,40.15,4.95,10.0,355.4,24.9,14.3,246.9,2822.2,488.8,396.6,92.2,1.844,5.532
4.0,10.0,3.0,3.46,6.93,30.0,1.5,10.6,0.7,14.3,12.7,72.2,83.4,10.3,73.1,0.219,0.658
4.0,10.0,5.0,3.46,10.58,19.11,2.5,24.7,1.7,14.3,32.4,183.8,127.4,26.1,101.2,0.506,1.519
4.0,10.0,7.0,3.46,14.42,13.9,3.5,45.9,3.2,14.3,61.8,350.8,173.6,49.9,123.7,0.866,2.598
4.0,10.0,9.0,3.46,18.33,10.89,4.5,74.1,5.2,14.3,101.1,573.2,220.6,81.5,139.1,1.252,3.757
4.0,10.0,10.0,3.46,20.3,9.83,5.0,90.8,6.4,14.3,124.4,705.2,244.3,100.3,144.0,1.44,4.321
4.0,10.0,12.0,3.46,24.25,8.21,6.0,129.7,9.1,14.3,178.3,1011.0,291.8,143.7,148.1,1.778,5.333
4.0,10.0,15.0,3.46,30.2,6.59,7.5,201.1,14.1,14.3,277.5,1573.9,363.5,223.7,139.7,2.096,6.288
4.0,10.0,20.0,3.46,40.15,4.95,10.0,355.4,24.9,14.3,491.9,2789.9,483.2,396.6,86.6,1.732,5.197
4.0,15.0,3.0,3.46,6.93,30.0,1.5,10.6,0.7,14.3,19.0,70.8,81.8,10.3,71.5,0.215,0.644
4.0,15.0,5.0,3.46,10.58,19.11,2.5,24.7,1.7,14.3,48.3,180.3,124.9,26.1,98.8,0.494,1.482
4.0,15.0,7.0,3.46,14.42,13.9,3.5,45.9,3.2,14.3,92.2,344.0,170.3,49.9,120.4,0.843,2.528
4.0,15.0,9.0,3.46,18.33,10.89,4.5,74.1,5.2,14.3,150.6,562.2,216.4,81.5,134.9,1.214,3.642
4.0,15.0,10.0,3.46,20.3,9.83,5.0,90.8,6.4,14.3,185.3,691.7,239.6,100.3,139.4,1.394,4.181
4.0,15.0,12.0,3.46,24.25,8.21,6.0,129.7,9.1,14.3,265.7,991.6,286.3,143.7,142.5,1.71,5.131
4.0,15.0,15.0,3.46,30.2,6.59,7.5,201.1,14.1,14.3,413.6,1543.7,356.5,223.7,132.8,1.991,5.974
4.0,15.0,20.0,3.46,40.15,4.95,10.0,355.4,24.9,14.3,733.2,2736.4,474.0,396.6,77.3,1.547,4.641
4.0,20.0,3.0,3.46,6.93,30.0,1.5,10.6,0.7,14.3,25.1,68.9,79.6,10.3,69.3,0.208,0.624
4.0,20.0,5.0,3.46,10.58,19.11,2.5,24.7,1.7,14.3,63.8,175.4,121.5,26.1,95.4,0.477,1.431
4.0,20.0,7.0,3.46,14.42,13.9,3.5,45.9,3.2,14.3,121.8,334.7,165.6,49.9,115.8,0.81,2.431
4.0,20.0,9.0,3.46,18.33,10.89,4.5,74.1,5.2,14.3,199.1,546.9,210.5,81.5,129.0,1.161,3.484
