n_expansion,placement,n_rings,n_lines,mass_airborne_kg,mass_tether_kg,mass_expansion_kg,phi_kg_per_kw,power_kw,wind_m_per_s,mean_radius_spread_m,bank_angle_deg,blade_tip_radius_m,blade_count
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,5.0,3.6347833389332576,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,5.0,3.6347833389332576,5
2,alternating,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,5.0,3.6347833389332576,5
2,clustered,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,5.0,3.6347833389332576,5
3,alternating,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,5.0,3.6347833389332576,5
3,clustered,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,5.0,3.6347833389332576,5
4,alternating,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,5.0,3.6347833389332576,5
4,clustered,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,5.0,3.6347833389332576,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,10.0,3.6347833389332576,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,10.0,3.6347833389332576,5
2,alternating,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,10.0,3.6347833389332576,5
2,clustered,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,10.0,3.6347833389332576,5
3,alternating,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,10.0,3.6347833389332576,5
3,clustered,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,10.0,3.6347833389332576,5
4,alternating,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,10.0,3.6347833389332576,5
4,clustered,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,10.0,3.6347833389332576,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,15.0,3.6347833389332576,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,15.0,3.6347833389332576,5
2,alternating,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,15.0,3.6347833389332576,5
2,clustered,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,15.0,3.6347833389332576,5
3,alternating,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,15.0,3.6347833389332576,5
3,clustered,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,15.0,3.6347833389332576,5
4,alternating,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,15.0,3.6347833389332576,5
4,clustered,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,15.0,3.6347833389332576,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,20.0,3.6347833389332576,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,20.0,3.6347833389332576,5
2,alternating,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,20.0,3.6347833389332576,5
2,clustered,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,20.0,3.6347833389332576,5
3,alternating,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,20.0,3.6347833389332576,5
3,clustered,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,20.0,3.6347833389332576,5
4,alternating,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,20.0,3.6347833389332576,5
4,clustered,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,20.0,3.6347833389332576,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,30.0,3.6347833389332576,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,30.0,3.6347833389332576,5
2,alternating,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,30.0,3.6347833389332576,5
2,clustered,16,5,30.962,1.028,1.0,3.0962,10,11.0,0.0,30.0,3.6347833389332576,5
3,alternating,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,30.0,3.6347833389332576,5
3,clustered,16,5,31.462,1.028,1.5,3.1462,10,11.0,0.0,30.0,3.6347833389332576,5
4,alternating,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,30.0,3.6347833389332576,5
4,clustered,16,5,31.962,1.028,2.0,3.1962,10,11.0,0.0,30.0,3.6347833389332576,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
0,none,16,5,29.962,1.028,0.0,2.9962,10,11.0,0.0,0.0,0.0,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,45.0,3.6347833389332576,5
1,single,16,5,30.462,1.028,0.5,3.0462,10,11.0,0.0,45.0,3.6347833389332576,5
