k,status,P_mean,P_end,omega_eq,omega_final,FoS_min,T_lift,wall_s
0.5,reject,3.485236347784519,3.4695796241781856,0.0,19.136612118109287,51.83889158122756,268.0608831236128,93.75641083717346
1.0,ok,5.450868423585806,5.431061192915715,0.0,17.635572770055294,47.800187200992305,268.0608831236128,87.22136998176575
1.5,ok,6.781726253017777,6.777315069133704,0.0,16.59032430672532,42.77523943715825,268.0608831236128,86.71224188804626
1.94,ok,7.559923415474442,7.564965337033533,0.0,15.796715514700015,40.088547240930566,268.0608831236128,86.79326701164246
2.24,ok,7.997584762516935,8.005402190545237,0.0,15.343704281699525,36.41539771790948,268.0608831236128,86.73415303230286
3.0,ok,8.886197693159254,8.903929194225986,0.0,14.420438771552941,24.254800186243795,268.0608831236128,87.1036307811737
4.0,ok,8.95105174397467,8.969958827695102,0.0,14.35237734363958,25.59111235772966,268.0608831236128,86.91083812713623
5.39,ok,8.950639280010597,8.969348386546093,0.0,14.349152480367865,23.181204918230303,268.0608831236128,86.83960509300232
7.0,ok,8.94934233523151,8.96964966482881,0.0,14.356868538301885,28.107932888346927,268.0608831236128,86.49964094161987
9.0,ok,8.947502018555182,8.969586037369007,0.0,14.356075072812745,27.095360672473717,268.0608831236128,86.92832708358765
