kw,L,P_gen_kW,w_gnd,w_hub,twist_ratio,crossed,tip_ok,broken,verdict,r_hub,n_lines,rings
5.0,12.0,4.58,13.3,13.32,0.17,false,true,false,false,0.914,6,4
5.0,18.0,4.89,13.59,13.6,0.17,false,true,false,true,0.914,6,6
5.0,21.2,4.45,13.18,13.17,0.21,false,true,false,true,0.914,6,6
5.0,25.0,2.25,10.5,10.55,0.5,false,true,false,false,0.914,6,7
5.0,30.0,3.18,11.79,11.81,0.4,false,true,false,true,0.914,6,9
5.0,40.0,1.36,8.88,9.03,0.84,false,true,false,false,0.914,6,11
7.0,12.0,6.11,11.06,11.05,0.21,false,true,false,false,1.081,7,4
7.0,18.0,6.64,11.38,11.36,0.23,false,true,false,true,1.081,7,6
7.0,21.2,5.92,10.95,10.94,0.27,false,true,false,true,1.081,7,6
7.0,25.0,2.42,8.13,8.19,0.6,false,true,false,false,1.081,7,7
7.0,30.0,3.9,9.53,9.56,0.48,false,true,false,true,1.081,7,9
7.0,40.0,0.99,6.04,6.25,1.13,true,true,false,false,1.081,7,11
10.0,12.0,7.32,8.73,8.73,0.26,false,true,false,false,1.292,8,4
10.0,18.0,7.88,8.95,8.94,0.29,false,true,false,true,1.292,8,6
10.0,21.2,6.86,8.54,8.54,0.34,false,true,false,true,1.292,8,6
10.0,25.0,1.53,5.18,5.25,0.73,false,true,false,false,1.292,8,7
10.0,30.0,3.63,6.91,6.95,0.57,false,true,false,true,1.292,8,9
10.0,40.0,0.06,1.74,1.94,1.82,true,true,false,false,1.292,8,11
15.0,12.0,8.71,6.6,6.59,0.32,false,true,false,false,1.582,10,4
15.0,18.0,8.7,6.6,6.58,0.35,false,true,false,true,1.582,10,6
15.0,21.2,3.96,5.07,5.1,0.52,false,true,false,false,1.582,10,7
15.0,25.0,3.43,4.84,4.85,0.56,false,true,false,true,1.582,10,8
15.0,30.0,2.39,4.29,4.28,0.64,false,true,false,false,1.582,10,9
15.0,40.0,0.0,0.27,0.47,1.26,true,true,false,false,1.582,10,12
25.0,12.0,0.0,0.28,0.27,0.03,false,true,false,false,2.043,12,5
25.0,18.0,0.0,0.3,0.28,0.06,false,true,false,false,2.043,12,6
25.0,21.2,0.0,0.31,0.29,0.1,false,true,false,false,2.043,12,7
25.0,25.0,0.0,0.32,0.31,0.07,false,true,false,false,2.043,12,9
25.0,30.0,0.0,0.28,0.29,0.1,false,true,false,false,2.043,12,10
25.0,40.0,0.0,0.29,0.29,0.1,false,true,false,false,2.043,12,13
35.0,12.0,0.0,0.22,0.23,0.04,false,true,false,false,2.417,13,5
35.0,18.0,0.0,0.26,0.26,0.07,false,true,false,false,2.417,13,7
35.0,21.2,0.01,0.27,0.27,0.08,false,true,false,false,2.417,13,8
35.0,25.0,0.0,0.26,0.27,0.09,false,true,false,false,2.417,13,9
35.0,30.0,0.0,0.27,0.25,0.12,false,true,false,false,2.417,13,10
35.0,40.0,0.0,0.26,0.26,0.11,false,true,false,false,2.417,13,13
50.0,12.0,0.0,0.19,0.19,0.05,false,true,false,false,2.889,13,5
50.0,18.0,0.01,0.22,0.22,0.09,false,true,false,false,2.889,13,7
50.0,21.2,0.01,0.23,0.22,0.09,false,true,false,false,2.889,13,8
50.0,25.0,0.01,0.23,0.23,0.1,false,true,false,false,2.889,13,9
50.0,30.0,0.01,0.21,0.22,0.13,false,true,false,false,2.889,13,10
50.0,40.0,0.01,0.22,0.23,0.12,false,true,false,false,2.889,13,13
