v_wind,device,freq_hz,psd_m2_per_hz
8.0,SingleKite,0.0,7.286518664522477e-6
8.0,SingleKite,0.15625,0.0003412784882242782
8.0,SingleKite,0.3125,2.3711031350320367e-5
8.0,SingleKite,0.46875,1.4993944603867334e-6
8.0,SingleKite,0.625,5.246363062207677e-7
8.0,SingleKite,0.78125,1.7623707216518912e-7
8.0,SingleKite,0.9375,9.595205257194187e-8
8.0,SingleKite,1.09375,5.486999364650503e-8
8.0,SingleKite,1.25,2.681005116448932e-8
8.0,SingleKite,1.40625,3.709005353663736e-8
8.0,SingleKite,1.5625,3.481792859291472e-8
8.0,SingleKite,1.71875,2.7025742111237042e-8
8.0,SingleKite,1.875,1.6452122516844092e-8
8.0,SingleKite,2.03125,1.2088719675896326e-8
8.0,SingleKite,2.1875,1.3900262522471564e-8
8.0,SingleKite,2.34375,1.610054162663903e-8
8.0,SingleKite,2.5,1.545254871816772e-8
8.0,SingleKite,2.65625,1.1498740263298505e-8
8.0,SingleKite,2.8125,1.0300175772796661e-8
8.0,SingleKite,2.96875,1.0228700441140664e-8
8.0,SingleKite,3.125,9.070021887571737e-9
8.0,SingleKite,3.28125,9.611568332861269e-9
8.0,SingleKite,3.4375,5.469783437189308e-9
8.0,SingleKite,3.59375,4.575793947325381e-9
8.0,SingleKite,3.75,6.908947757846948e-9
8.0,SingleKite,3.90625,7.467963219456078e-9
8.0,SingleKite,4.0625,6.2033791346484785e-9
8.0,SingleKite,4.21875,5.899263732591487e-9
8.0,SingleKite,4.375,2.8673260953741217e-9
8.0,SingleKite,4.53125,2.7230298979630965e-9
8.0,SingleKite,4.6875,3.0476446604942687e-9
8.0,SingleKite,4.84375,4.6003290902129e-9
8.0,SingleKite,5.0,4.711702970953395e-9
8.0,SingleKite,5.15625,4.094606008269082e-9
8.0,SingleKite,5.3125,4.843027614759611e-9
8.0,SingleKite,5.46875,5.317582182210872e-9
8.0,SingleKite,5.625,3.782690790553971e-9
8.0,SingleKite,5.78125,3.0525153470512073e-9
8.0,SingleKite,5.9375,3.1843819817304737e-9
8.0,SingleKite,6.09375,3.7131965393142096e-9
8.0,SingleKite,6.25,4.475156955251142e-9
8.0,SingleKite,6.40625,3.0196318242035045e-9
8.0,SingleKite,6.5625,2.7191694546156625e-9
8.0,SingleKite,6.71875,3.0529179148256814e-9
8.0,SingleKite,6.875,3.462793989322801e-9
8.0,SingleKite,7.03125,3.824466398552849e-9
8.0,SingleKite,7.1875,4.017718129323079e-9
8.0,SingleKite,7.34375,4.7226311451871516e-9
8.0,SingleKite,7.5,3.942852611187832e-9
8.0,SingleKite,7.65625,2.6619026489213165e-9
8.0,SingleKite,7.8125,2.2181816838523343e-9
8.0,SingleKite,7.96875,2.132158115596884e-9
8.0,SingleKite,8.125,1.6322499933021596e-9
8.0,SingleKite,8.28125,1.1567987941526201e-9
8.0,SingleKite,8.4375,1.2838171416295753e-9
8.0,SingleKite,8.59375,1.6226070346185903e-9
8.0,SingleKite,8.75,1.7223261872441768e-9
8.0,SingleKite,8.90625,1.617269346606445e-9
8.0,SingleKite,9.0625,1.5100621346371146e-9
8.0,SingleKite,9.21875,7.369013690266484e-10
8.0,SingleKite,9.375,7.123582635710466e-10
8.0,SingleKite,9.53125,1.0694789481342281e-9
8.0,SingleKite,9.6875,9.264291038643703e-10
8.0,SingleKite,9.84375,3.8106434324903917e-10
8.0,SingleKite,10.0,5.432372427872145e-10
8.0,SingleKite,10.15625,6.161035673291842e-10
8.0,SingleKite,10.3125,5.284710682413235e-10
8.0,SingleKite,10.46875,5.504508091838568e-10
8.0,SingleKite,10.625,4.409084196916638e-10
8.0,SingleKite,10.78125,2.696967898105112e-10
8.0,SingleKite,10.9375,1.9025539461639402e-10
8.0,SingleKite,11.09375,2.1023323572845122e-10
