v_wind,n_kites,position,tension_N
8.0,3,hub,844.3513739355192
8.0,3,above_kite_1,562.9009159570128
8.0,3,above_kite_2,281.4504579785064
8.0,3,above_top,0.0
11.0,3,hub,1599.4623487617782
11.0,3,above_kite_1,1066.3082325078522
11.0,3,above_kite_2,533.1541162539261
11.0,3,above_top,0.0
13.0,3,hub,2235.3452749312596
13.0,3,above_kite_1,1490.2301832875064
13.0,3,above_kite_2,745.1150916437532
13.0,3,above_top,0.0
8.0,5,hub,844.351373935519
8.0,5,above_kite_1,675.4810991484152
8.0,5,above_kite_2,506.6108243613114
8.0,5,above_kite_3,337.7405495742076
8.0,5,above_kite_4,168.8702747871038
8.0,5,above_top,0.0
11.0,5,hub,1599.4623487617785
11.0,5,above_kite_1,1279.5698790094227
11.0,5,above_kite_2,959.677409257067
11.0,5,above_kite_3,639.7849395047114
11.0,5,above_kite_4,319.8924697523557
11.0,5,above_top,0.0
13.0,5,hub,2235.345274931259
13.0,5,above_kite_1,1788.2762199450074
13.0,5,above_kite_2,1341.2071649587556
13.0,5,above_kite_3,894.1381099725037
13.0,5,above_kite_4,447.06905498625184
13.0,5,above_top,0.0
