run_id,struc_name,struc_config,wind_speed,payout_duration,active_winch,damping_mode,EA_back_line,c_back_line,i_pto,field_imu,mppt_stall,payout_base_m,lifter_elev_deg,duration_s,d_tau_gen_rms,d_omega_rms,T_min,T_mean,T_std,slack_events,slack_events_late,speed_ripple_rms,brake_time,brake_engaged,omega_hub_final,omega_gnd_final,time_to_omega1,max_payout_reached,peak_tau_gen,min_tension_before_brake,T_cyan_min,twist_max,fos_buckling_min,fos_buckling_ring_id,peak_strut_load,peak_strut_ring_id,max_out_of_plane_accel,max_node_jerk,T_trpt_max,peak_trpt_segment_idx,peak_trpt_line_idx,is_disqualified,disqualification_reason
1,base_10kw,1,11.0,15.0,0,0,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,293403.3416381948,4.248112145644512,428.17678232749586,10495.716721285913,30203.10434939823,312,292,6.497797758971067,NaN,0,3.8947734997861354,1.320398294671781,NaN,9.25605641175178,143106.32288230472,428.17678232749586,427.3082286750274,1.1308860289950928,0.31808997152742124,3,17670.370561806565,1,8642.607160082447,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
2,base_10kw,1,11.0,15.0,0,0,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,583423.6141112844,4.936966481706427,158.54009747409603,12240.994662141778,32429.40490781356,470,293,11.478072628844822,NaN,0,1.4291371328246296,-0.640407235043398,NaN,9.25605641175178,229992.22996393114,158.54009747409603,0.0,1.2439331363716803,0.10064580027597085,5,35655.56797284761,1,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
3,base_10kw,1,11.0,15.0,0,0,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,293403.3416381948,4.248112145644512,428.17678232749586,10495.716721285913,30203.10434939823,312,292,6.497797758971067,NaN,0,3.8947734997861354,1.320398294671781,NaN,9.25605641175178,143106.32288230472,428.17678232749586,427.3082286750274,1.1308860289950928,0.31808997152742124,3,17670.370561806565,1,8642.607160082447,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
4,base_10kw,1,11.0,15.0,0,0,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,583423.6141112844,4.936966481706427,158.54009747409603,12240.994662141778,32429.40490781356,470,293,11.478072628844822,NaN,0,1.4291371328246296,-0.640407235043398,NaN,9.25605641175178,229992.22996393114,158.54009747409603,0.0,1.2439331363716803,0.10064580027597085,5,35655.56797284761,1,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
5,base_10kw,1,11.0,15.0,0,2,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,561981.726816646,5.930418671676498,350.51725203937366,12919.315946825283,30789.276534340002,316,293,19.090156923074012,NaN,0,11.733053358202977,71.86825454516581,NaN,9.25605641175178,144638.24482160347,492.7776731994638,427.33352684214407,1.547864287833761,0.15691259397697155,6,34775.90092907011,1,14307.477166102428,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
6,base_10kw,1,11.0,15.0,0,2,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,770254.1516355658,6.552248085672022,637.8954266544225,15975.45093983148,32648.659029141072,475,290,28.12469139616248,NaN,0,11.265352935782024,-3.00551253737938,NaN,9.25605641175178,231242.53164293332,637.8954266544225,0.0,1.8361745065228945,0.11418186681108343,4,53380.354329081136,1,32012.73068248371,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
7,base_10kw,1,11.0,15.0,0,2,500000.0,500.0,12.5,1,1,15.0,75.0,10.0,561981.726816646,5.930418671676498,350.51725203937366,12919.315946825283,30789.276534340002,316,293,19.090156923074012,NaN,0,11.733053358202977,71.86825454516581,NaN,9.25605641175178,144638.24482160347,492.7776731994638,427.33352684214407,1.547864287833761,0.15691259397697155,6,34775.90092907011,1,14307.477166102428,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
8,base_10kw,1,11.0,15.0,0,2,500000.0,500.0,12.5,1,1,15.0,95.0,10.0,770254.1516355658,6.552248085672022,637.8954266544225,15975.45093983148,32648.659029141072,475,290,28.12469139616248,NaN,0,11.265352935782024,-3.00551253737938,NaN,9.25605641175178,231242.53164293332,637.8954266544225,0.0,1.8361745065228945,0.11418186681108343,4,53380.354329081136,1,32012.73068248371,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
9,base_10kw,1,11.0,15.0,1,0,500000.0,250.0,12.5,1,1,15.0,75.0,10.0,279321.3054122044,4.152553266818361,340.97350590694737,10520.308416702474,30218.797913952407,300,283,5.952813154984423,NaN,0,5.263947799948481,1.8544004611199227,NaN,8.292506084326451,143106.32288230472,340.97350590694737,427.3082286750274,1.0723247516236398,0.29279033406937294,7,14127.154291806932,1,8642.607160082447,3.850932036805435e10,1.14704290001004e6,1,3,1,ring_buckling
10,base_10kw,1,11.0,15.0,1,0,500000.0,250.0,12.5,1,1,15.0,95.0,10.0,572161.5763859104,3.8250216983189795,499.36569564139467,12092.466026325745,32277.86678793515,475,293,11.195881442514578,NaN,0,5.89646639831667,5.7984842304794615,NaN,5.096153235664957,229992.22996393114,499.36569564139467,0.0,1.2645844834522109,0.11536538668242705,5,44008.955313604194,1,32012.730680835346,3.85055684357355e10,1.1544791225894378e6,1,7,1,slack_sky_anchor
