genome_hash,physics_era,git_hash,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,n_lines,n_active,f_v10,f_v11,P_mean_kw,FoS_min,omega_eq_rpm,P_range_kw,drift_flag,chosen_k,k_prior,k_bracket_results,timestamp,anchor_source
052af6fc5a15,post-234a722_corrected-physics_ON,fc280b7,0.06796962051321895,0.08308323125902826,1.208357698772426,0.9439411954862782,17.593929451948227,2.2244123696418585,2.5,4.0,0.0,5.0,15.0,10.0,1.4619786661802525,0.47405878110809285,1.0,4,2,1.0000053179753342e6,-0.0018101499295046248,0.008238729043460988,0.32956841764470807,26.268289703499093,0.07377467113402914,false,657.1579570871495,1314.315914174299,"{""k_chosen"":657.1579570871495,""k_prior"":1314.315914174299}",2026-07-22T19:54:53.241,LHS
0cbc3f175b9e,post-234a722_corrected-physics_ON,fc280b7,0.11766834557275065,0.056240463995211334,0.17139248255796524,0.9715226859503591,14.848918315723633,4.832420645912494,2.5,8.0,0.0,5.0,15.0,10.0,1.8716250774523358,1.4256036296486958,1.0,8,2,1.0000191974714305e6,-0.024151708486044587,0.36977718015368427,0.09797133158409134,23.257423233384927,5.353788753882677,false,1000.0,2154.0481508034063,"{""k_chosen"":1000.0,""k_prior"":2154.0481508034063}",2026-07-22T21:28:11.336,LHS
0d06775bd4e0,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,3.7,2.0,2.5,8.0,0.0,8.0,15.0,5.0,0.5,0.3,1.0,8,3,1.0000012928218149e6,-1.2212300812649097,20.239256403425248,0.09050950713719635,60.28314820658845,145.06718117295404,true,76.86483672655527,153.72967345311054,"{""k_chosen"":76.86483672655527,""k_prior"":153.72967345311054}",2026-07-23T00:02:43.548,legacy
0d61db093a2c,post-234a722_corrected-physics_ON,fc280b7,0.150765503931104,0.10866205088776544,0.7167270015708715,0.092673792190061,8.867890892823686,4.341142044479746,2.5,4.0,0.0,5.0,15.0,10.0,1.001247590679272,0.9667588546933132,1.0,4,3,1.0029202620385711e6,-2.2705809141350173,10.035749273479272,0.33937390008367074,47.300100250017636,30.32500198076727,false,1000.0,616.4539845844508,"{""k_chosen"":1000.0,""k_prior"":616.4539845844508}",2026-07-22T19:48:53.381,LHS
0f0cfbff02c9,post-234a722_corrected-physics_ON,fc280b7,0.1424618464057864,0.037487756760360695,0.9739193443311039,0.5510205721480789,5.792562898293319,2.352826348608003,2.5,16.0,0.0,5.0,15.0,10.0,1.3081253203791885,1.302512230576692,1.0,12,3,1.0010889626727779e6,-3.566646313016435,67.17241918641403,0.07964532965051692,41.9032216465823,165.1783754342766,false,1000.0,1052.243859611736,"{""k_chosen"":1000.0,""k_prior"":1052.243859611736}",2026-07-22T22:46:58.41,LHS
12e955d7a49f,post-234a722_corrected-physics_ON,fc280b7,0.08535816552576435,0.08318251307697157,0.4575439333194168,0.2435291376147223,20.875279727244784,0.768596059909664,2.5,16.0,0.0,5.0,15.0,10.0,1.9897292888135054,1.1190677543460779,1.0,12,2,1.0000498108137936e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,2434.477032261275,"{""k_chosen"":0.0,""k_prior"":2434.477032261275}",2026-07-22T22:46:58.413,LHS
1758ee5e58b3,post-234a722_corrected-physics_ON,fc280b7,0.12871475004446184,0.026934198539634496,1.3207521928348698,0.5114059570545924,9.450941504539673,3.31424247815171,2.5,4.0,0.0,5.0,15.0,10.0,1.9892442573032234,1.2928983228080184,1.0,4,3,1.0018806621280778e6,-2.3037216032599868,51.78787481234169,0.06672570398788545,36.71933920605053,114.81534270146217,true,1000.0,2433.2902837340325,"{""k_chosen"":1000.0,""k_prior"":2433.2902837340325}",2026-07-22T20:06:02.544,LHS
1a8c681b01c1,post-234a722_corrected-physics_ON,fc280b7,0.13483626940303284,0.06462902670666489,0.4986468983668655,0.4188849640913717,15.702785959627336,4.94131491093118,2.5,4.0,0.0,5.0,15.0,10.0,0.16439210600288875,1.928195249135835,1.0,4,2,1.0003238683393869e6,-0.04411933207272506,1.7772477955698203,0.03723678728090323,45.75156645598901,5.381455263756356,false,33.23606579361507,16.618032896807534,"{""k_chosen"":33.23606579361507,""k_prior"":16.618032896807534}",2026-07-22T19:51:53.312,LHS
205c119cd2cb,post-234a722_corrected-physics_ON,fc280b7,0.09876786797646858,0.0438305062759118,1.4692826328179673,0.5584045687515528,21.806529660622683,3.40599794307016,2.5,8.0,0.0,5.0,15.0,10.0,0.8232351502855618,1.7648225602815193,1.0,8,2,1.000089269112304e6,-2.0300132552573182,6.405140200948399,0.4754025341139459,24.23423406155667,30.39788538156142,true,208.37015338801646,416.7403067760329,"{""k_chosen"":208.37015338801646,""k_prior"":416.7403067760329}",2026-07-22T21:33:05.178,LHS
22342ff9163a,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,3.7,2.0,2.5,12.0,0.0,8.0,25.0,25.0,0.5,0.3,1.0,12,3,1.0000013265760222e6,-1.1716410251755716,13.521769706942372,0.12997274586484328,59.76745559145028,150.84072629455713,true,307.45934690622107,153.72967345311054,"{""k_chosen"":307.45934690622107,""k_prior"":153.72967345311054}",2026-07-23T01:42:59.077,legacy
2333ee08c2a1,post-234a722_corrected-physics_ON,fc280b7,0.06000000003501675,0.01,0.8799392364011867,0.9999998481455412,2.8885232552453664,2.0000000178739743,2.9878503277143196,13.207866704651128,-0.1097833891351554,18.558046111485208,31.990566201321005,34.99999109191107,0.5186481959328214,0.1,2.220108088040055,12,4,1.0000349768748691e6,-0.36392926414835525,4.305114569363407,0.12680124708115578,60.02370267153053,53.2966707867905,true,165.4106389185317,165.4106389185317,"{""k_chosen"":165.4106389185317,""k_prior"":165.4106389185317}",2026-07-22T23:18:15.591,legacy
23370dbe3c1a,post-234a722_corrected-physics_ON,fc280b7,0.1201167734908844,0.014993003909187843,1.2016075788576648,0.5377643326711905,8.017544689309831,1.9649877165288312,2.5,3.0,0.0,5.0,15.0,10.0,1.7555975595871993,0.12427794846801796,1.0,3,3,1.0006424357237642e6,-0.44891717214688015,18.509831190702606,0.03637935707153037,41.75054243115132,436.08948210714107,false,947.6274604759029,1895.2549209518058,"{""k_chosen"":947.6274604759029,""k_prior"":1895.2549209518058}",2026-07-22T19:41:52.353,LHS
2af6de7e962c,post-234a722_corrected-physics_ON,fc280b7,0.15725996385337265,0.13751408984094676,0.4251965630593829,0.0006664708437362776,24.075009015532093,3.387847997758529,2.5,3.0,0.0,5.0,15.0,10.0,0.3735558116539036,0.7034970659032167,1.0,3,2,1.0000086361188211e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,85.80818003243252,"{""k_chosen"":0.0,""k_prior"":85.80818003243252}",2026-07-22T19:34:03.194,LHS
2e2fe239b90e,post-234a722_corrected-physics_ON,fc280b7,0.07652568229506543,0.06605158784880867,1.2446078689129645,0.17871606086660238,3.5188845135622504,2.9511015348658702,2.5,12.0,0.0,5.0,15.0,10.0,0.6544890229224172,0.683834743423665,1.0,12,3,1.0036249400852248e6,-1.6256857849198503,27.293283899504512,0.08934537472143632,59.45868818609132,207.06080895776398,true,526.8080778176819,263.40403890884096,"{""k_chosen"":526.8080778176819,""k_prior"":263.40403890884096}",2026-07-22T21:58:38.122,LHS
305f7cb409ad,post-234a722_corrected-physics_ON,fc280b7,0.14953211338118677,0.08969780121192765,0.7335656369001599,0.9478752125897011,25.192295219806415,0.8495482785442396,2.5,6.0,0.0,5.0,15.0,10.0,1.0717364212335772,1.4160709993015013,1.0,6,2,1.0000295506963817e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,706.307268479794,"{""k_chosen"":0.0,""k_prior"":706.307268479794}",2026-07-22T20:36:46.8,LHS
3df9f878c289,post-234a722_corrected-physics_ON,fc280b7,0.0641789777150904,0.09723513811348813,0.8110798017653591,0.8513786760685724,17.83898242308268,4.37415105898833,2.5,3.0,0.0,5.0,15.0,10.0,0.28091517461652893,0.9467635744410124,1.0,3,2,1.0000070412724025e6,-0.0074336160261026405,0.1087951791205624,0.1024900563544044,50.32166122100705,0.3368532804248721,true,48.52528508540534,48.52528508540534,"{""k_chosen"":48.52528508540534,""k_prior"":48.52528508540534}",2026-07-22T19:34:02.216,LHS
3e64b55e2d91,post-234a722_corrected-physics_ON,fc280b7,0.10087955495768725,0.11706284582907449,0.1604082101615691,0.7516325982031081,24.752866346046055,3.736408687629292,2.5,16.0,0.0,5.0,15.0,10.0,0.974540365870528,0.18536614341469015,1.0,12,2,1.0000124167029e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,584.0060698592217,"{""k_chosen"":0.0,""k_prior"":584.0060698592217}",2026-07-22T22:46:58.416,LHS
40631c4cbb06,post-234a722_corrected-physics_ON,fc280b7,0.075,0.01,1.0,0.5,3.7,2.0,2.5,6.0,0.0,2.0,15.0,5.0,0.5,0.3,1.0,6,2,1.0000012595019998e6,-4.227039533248881,91.21174672280135,0.06951472291329656,60.81012014143256,492.7378276289869,false,153.72967345311054,153.72967345311054,"{""k_chosen"":153.72967345311054,""k_prior"":153.72967345311054}",2026-07-22T23:50:23.179,legacy
4b7b05f7b3fd,post-234a722_corrected-physics_ON,fc280b7,0.08669781655524667,0.1424604249449205,0.7366070831154738,0.5848107587381939,2.961056448549182,1.35316659737859,2.5,4.0,0.0,5.0,15.0,10.0,0.8046017881087738,0.12337149489448938,1.0,4,3,1.0000018448470429e6,-3.577836371224548,99.4177943542668,0.05398183083516067,38.99252575929432,369.10309688668957,true,796.1770933803003,398.08854669015017,"{""k_chosen"":796.1770933803003,""k_prior"":398.08854669015017}",2026-07-22T20:02:04.049,LHS
595490cb253c,post-234a722_corrected-physics_ON,fc280b7,0.1358733631405704,0.1297484408391974,0.18570636650834396,0.2795634325582574,10.028105449775259,4.150365804104851,2.5,3.0,0.0,5.0,15.0,10.0,0.6951039776837905,1.7890705913146467,1.0,3,3,1.0061719110670607e6,-1.2276640673072452,21.76887867672351,0.08459306188011867,53.99802531184871,50.54763054761228,true,297.1099822987494,297.1099822987494,"{""k_chosen"":297.1099822987494,""k_prior"":297.1099822987494}",2026-07-22T19:44:54.846,LHS
60e5f7379b20,post-234a722_corrected-physics_ON,fc280b7,0.06164006569556406,0.10988730438568907,0.37945142346054034,0.6002789843921182,9.160419138880846,3.801825042131512,2.5,8.0,0.0,5.0,15.0,10.0,1.6498519972906267,0.7928626604908253,1.0,8,3,1.0014540808161407e6,-2.9381308736275407,56.6782884827777,0.07775810505958528,34.21548009393733,75.85098581331184,true,1000.0,1673.8158255860417,"{""k_chosen"":1000.0,""k_prior"":1673.8158255860417}",2026-07-22T21:21:26.27,LHS
63b7bbaf2a3d,post-234a722_corrected-physics_ON,fc280b7,0.14024035171560378,0.08098164850145088,0.7671793300205313,0.29485927150302543,5.380960436358542,2.9853700085139203,2.5,8.0,0.0,5.0,15.0,10.0,1.1595207935977927,1.036667310408035,1.0,8,3,1.0019675168777492e6,-7.62614992422443,119.15847073971955,0.09600009814932582,47.46615564810199,186.11253390371104,false,826.7510943014028,826.7510943014028,"{""k_chosen"":826.7510943014028,""k_prior"":826.7510943014028}",2026-07-22T21:07:50.67,LHS
698f790d6200,post-234a722_corrected-physics_ON,fc280b7,0.10516039737661531,0.04809232234421217,1.0630975515284753,0.6941665306576102,4.0322126434054955,2.567046204180653,2.5,3.0,0.0,5.0,15.0,10.0,1.111423288282055,0.5906542195178321,1.0,3,3,1.0002890867479496e6,-1.099088240350203,16.583915195396028,0.09941152864692604,50.56862588729406,296.64574231440776,false,1000.0,759.5855269058972,"{""k_chosen"":1000.0,""k_prior"":759.5855269058972}",2026-07-22T19:38:28.599,LHS
6e392ae599f5,post-234a722_corrected-physics_ON,fc280b7,0.09263412048989102,0.027792832419196424,0.6060744837931088,0.1954568236082286,26.265371245255466,1.1190880825231555,2.5,8.0,0.0,5.0,15.0,10.0,1.0662483651251398,0.403421175003042,1.0,8,2,1.0000087854409607e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,699.0921934893157,"{""k_chosen"":0.0,""k_prior"":699.0921934893157}",2026-07-22T21:21:26.273,LHS
738ced6af5c9,post-234a722_corrected-physics_ON,fc280b7,0.06269162317910734,0.04247409440587099,0.5925845880385746,0.18442420604365456,1.5729863392368677,1.4601681287909902,2.5,6.0,0.0,5.0,15.0,10.0,1.3308514068652963,1.7302287735272266,1.0,6,3,1.000271596859024e6,-4.815704155642234,135.36240757612313,0.053364566742070345,49.33899640888232,87.96985429924278,false,1000.0,1089.1227555888647,"{""k_chosen"":1000.0,""k_prior"":1089.1227555888647}",2026-07-22T20:32:23.292,LHS
7791688cc97d,post-234a722_corrected-physics_ON,fc280b7,0.08991080251673525,0.14732276783790035,0.20598400096422617,0.9402360848996879,25.992366625871618,3.242848314243492,2.5,12.0,0.0,5.0,15.0,10.0,1.93061754334805,1.8859869754900038,1.0,12,2,1.0001489758508585e6,1.0e9,0.0,Inf,0.0,0.0,true,0.0,2291.9766694301957,"{""k_chosen"":0.0,""k_prior"":2291.9766694301957}",2026-07-22T21:58:38.125,LHS
78ad7900c906,post-234a722_corrected-physics_ON,fc280b7,0.15605338027390903,0.13835515786435038,1.3050067797543266,0.7733415486996901,17.63002149417107,1.4813576799404866,2.5,8.0,0.0,5.0,15.0,10.0,0.2754443764676411,0.2928899131139966,1.0,8,2,1.0000184049252069e6,-0.006526116257077443,0.010595528538064346,0.9238967504498373,37.01304873590365,0.07914281582396751,true,23.3268190581038,46.6536381162076,"{""k_chosen"":23.3268190581038,""k_prior"":46.6536381162076}",2026-07-22T21:13:41.471,LHS
7a0cfab2b0fe,post-234a722_corrected-physics_ON,fc280b7,0.065155713809045,0.13533127918807247,0.6908702946679842,0.8767470996190548,8.22885341526733,1.55927134810148,2.5,16.0,0.0,5.0,15.0,10.0,0.2359911515133872,0.6055652409019695,1.0,12,3,1.0000093093646325e6,-0.41195647635249305,12.121427415584249,0.05097870847572578,51.49736306485264,113.89693536538418,true,68.49188683920688,34.24594341960344,"{""k_chosen"":68.49188683920688,""k_prior"":34.24594341960344}",2026-07-22T22:59:45.721,LHS
