genome_hash,static_min_fos,v11_FoS_min,n_lines,chosen_k,static_feasible
052af6fc5a15,Inf,0.32956841764470807,4,657.1579570871495,Inf
0cbc3f175b9e,Inf,0.09797133158409134,8,1000.0,Inf
0d06775bd4e0,Inf,0.09050950713719635,8,76.86483672655527,Inf
0d61db093a2c,Inf,0.33937390008367074,4,1000.0,Inf
0f0cfbff02c9,Inf,0.07964532965051692,12,1000.0,Inf
12e955d7a49f,Inf,Inf,12,0.0,Inf
1758ee5e58b3,Inf,0.06672570398788545,4,1000.0,Inf
1a8c681b01c1,Inf,0.03723678728090323,4,33.23606579361507,Inf
205c119cd2cb,Inf,0.4754025341139459,8,208.37015338801646,Inf
22342ff9163a,Inf,0.12997274586484328,12,307.45934690622107,Inf
2333ee08c2a1,Inf,0.12680124708115578,12,165.4106389185317,Inf
23370dbe3c1a,Inf,0.03637935707153037,3,947.6274604759029,Inf
2af6de7e962c,Inf,Inf,3,0.0,Inf
2e2fe239b90e,Inf,0.08934537472143632,12,526.8080778176819,Inf
305f7cb409ad,Inf,Inf,6,0.0,Inf
3df9f878c289,Inf,0.1024900563544044,3,48.52528508540534,Inf
3e64b55e2d91,Inf,Inf,12,0.0,Inf
40631c4cbb06,Inf,0.06951472291329656,6,153.72967345311054,Inf
4b7b05f7b3fd,Inf,0.05398183083516067,4,796.1770933803003,Inf
595490cb253c,Inf,0.08459306188011867,3,297.1099822987494,Inf
60e5f7379b20,Inf,0.07775810505958528,8,1000.0,Inf
63b7bbaf2a3d,Inf,0.09600009814932582,8,826.7510943014028,Inf
698f790d6200,Inf,0.09941152864692604,3,1000.0,Inf
6e392ae599f5,Inf,Inf,8,0.0,Inf
738ced6af5c9,Inf,0.053364566742070345,6,1000.0,Inf
7791688cc97d,Inf,Inf,12,0.0,Inf
78ad7900c906,Inf,0.9238967504498373,8,23.3268190581038,Inf
7a0cfab2b0fe,Inf,0.05097870847572578,12,68.49188683920688,Inf
7b9c296aa7aa,Inf,Inf,12,0.0,Inf
7d770b9c1e55,Inf,Inf,4,0.0,Inf
7f3a2af5faff,Inf,0.09751855397647997,12,153.72967345311054,Inf
8bd4ebd1aa84,Inf,0.14339544625539788,12,1000.0,Inf
8fb3885b5cab,Inf,0.07244717757358694,12,1000.0,Inf
8ff6dabcbcad,Inf,0.04897080835580033,12,8.276506403105186,Inf
af0ca9805d3d,Inf,0.0346165245552458,12,49.19349550499538,Inf
afd81f567011,Inf,0.04907847510821864,6,979.8316566560403,Inf
b6c01927a4c3,Inf,Inf,3,0.0,Inf
b9ed204c6f1a,Inf,0.02741679642341967,12,105.2878712456008,Inf
c77e625fc0a0,Inf,0.15700410807031723,6,1000.0,Inf
caddb19b866b,Inf,0.16819223636629818,6,327.8054947814311,Inf
d60417c9484a,Inf,Inf,12,0.0,Inf
d83d2473a3e6,Inf,0.23455502237299966,6,192.47659637925068,Inf
d956eee5ea92,Inf,0.048071294091516434,12,76.86483672655527,Inf
ee2d97aafc45,Inf,0.1629613463469627,12,144.87823983543834,Inf
f682fdc1e68e,Inf,Inf,3,0.0,Inf
f697422b778f,Inf,0.23087024900602682,12,153.72967345311054,Inf
f6e325007117,Inf,Inf,6,0.0,Inf
fbde5df6a744,Inf,0.07238090496215331,8,368.84944049353993,Inf
fcd5a0b4d86a,Inf,Inf,4,0.0,Inf
fdc0c9e0907b,Inf,0.3671576203816381,3,307.45934690622107,Inf
