rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,1.471001009172314,0.09219452247819948,0.010000000000000103
2,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,1.4292072236113376,0.39598928575561526,0.010000000000000096
3,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000017,5,0.12,0.020387727279782848,0.2,0.35468681109090333,1.5925289113278938,0.6277259599577395,0.0100000000000001
4,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.36120688996473216,0.18377625903729222,0.010000000000000099
5,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000017,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.8001520889623475,0.05819582067793995,0.0100000000000001
6,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.6292293203806261,0.37558119861117584,0.0100000000000001
7,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000017,5,0.12,0.020387727279782848,0.2,0.35468681109090333,2.8974838706872865,0.3045289361702774,0.010000000000000103
8,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000017,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.3957546088428595,0.2780825766549502,0.010000000000000092
9,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,1.635421007880947,0.08517827326268462,0.010000000000000097
10,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.9230401392807478,0.09365666118467972,0.010000000000000096
11,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,2.7972170579866615,0.35797758021059334,0.0100000000000001
12,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.6010030441084877,0.3623938372899794,0.010000000000000092
13,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.7772685280079318,0.04414244307307223,0.010000000000000097
14,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000017,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.7305559951770368,0.0899299983318707,0.010000000000000094
15,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.6140870221636363,0.16470892362557818,0.010000000000000094
16,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.9504470721189137,0.007297207127895611,0.0100000000000001
17,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.7940002748389612,0.04953446015860376,0.010000000000000099
18,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,1.3240007354017411,0.4316183152406463,0.010000000000000096
19,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,2.2626236119134737,0.05236512199207034,0.01000000000000007
20,40.5327709462295,1.8,true,5,8,2,1.6,0.25000000000000006,5,0.12,0.020387727279782848,0.2,0.35468681109090333,2.6906127670260753,0.5071661702115354,0.010000000000000096
21,40.5327709462295,1.8,true,5,8,2,1.6,0.2500000000000001,5,0.12,0.020387727279782848,0.2,0.35468681109090333,0.8901234756363225,0.297362174415363,0.010000000000000068
