rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187976,0.2,0.3916534015402226,0.8176030072436672,0.06016885342511713,0.010000000000000002
2,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187976,0.2,0.3916534015402226,3.041438816378767,0.6698863439213715,0.010000000000000012
3,32.90355522481346,1.8000000000000003,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187982,0.2,0.3916534015402277,1.814671707447527,0.6509946437483323,0.010000000000000035
4,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.3916534015402261,3.2528824898872095,0.3364017823916383,0.010000000000000005
5,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.391653401540226,2.3076498064185977,0.26961532915443914,0.010000000000000037
6,32.90355522481346,1.8,true,5,8,1,1.6,0.25,5,0.12,0.02075004420187983,0.2,0.3916534015402285,3.4770906992712285,0.2613748133919536,0.010000000000000024
7,32.90355522481346,1.8000000000000003,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187982,0.2,0.39165340154022765,2.2380644798815403,0.4434008823812085,0.010000000000000002
8,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.0207500442018798,0.2,0.3916534015402261,1.9050343840697503,0.5867855658551648,0.01000000000000009
9,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.3916534015402261,1.7304060909048415,0.6414262230153567,0.010000000000000009
10,32.90355522481346,1.8000000000000003,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187982,0.2,0.39165340154022765,3.0944741107898324,0.017311104138312078,0.010000000000000005
11,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.3916534015402261,2.5386494512189497,0.031781484182488606,0.010000000000000009
12,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.391653401540226,1.6925561947118062,0.6328596184112847,0.010000000000000028
13,32.90355522481346,1.8000000000000003,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187982,0.2,0.39165340154022776,3.49896004798085,0.14517269154869675,0.0100000000000001
14,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.3916534015402261,2.866267102947906,0.39989962365158754,0.01000000000000008
15,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.0207500442018798,0.2,0.391653401540226,3.4733331768156424,0.17374853866055573,0.01000000000000008
16,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.0207500442018798,0.2,0.391653401540226,1.3900074903738524,0.650020952309565,0.010000000000000082
17,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187981,0.2,0.3916534015402268,3.064131508060094,0.5050938100019107,0.010000000000000002
18,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.391653401540226,3.3381297091530344,0.1991193493166206,0.01000000000000004
19,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.02075004420187981,0.2,0.391653401540227,3.358951245975139,0.6566261457080842,0.01000000000000002
20,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.3916534015402261,2.1894491794973936,0.38529429881612076,0.010000000000000064
21,32.90355522481346,1.8,true,5,8,1,1.6,0.25,6,0.12,0.020750044201879803,0.2,0.3916534015402261,3.093649311991162,0.5474549565764987,0.010000000000000066
22,32.90355522481346,1.8,true,5,8,1,1.6,0.25,5,0.12,0.02075004420187983,0.2,0.3916534015402286,2.937309958436158,0.04312855809723076,0.010000000000000075
23,32.90355522481346,1.8,true,5,8,1,1.6,0.25,5,0.12,0.02075004420187983,0.2,0.3916534015402287,3.4185292106739533,0.6210256521807412,0.01000000000000003
