rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.5124219823113085,0.7,0.010000000000000007
2,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,1.9036980248622517,0.7,0.010000000000000007
3,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.5572471469118483,0.7,0.010000000000000002
4,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,3.457978097445952,0.7,0.010000000000000004
5,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.063122071906105,0.7,0.010000000000000005
6,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.6268806852463471,0.7,0.010000000000000002
7,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.5869233381944976,0.7,0.010000000000000009
8,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.9469052764946024,0.7,0.01
9,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,1.266779363736422,0.7,0.010000000000000002
10,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,3.2505338362101592,0.7,0.010000000000000007
11,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.5124219823113085,0.7,0.010000000000000002
12,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.5124219823113085,0.7,0.010000000000000007
13,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.5124219823113085,0.7,0.010000000000000007
14,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.37709097741940045,0.7,0.010000000000000002
15,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,2.5124219823113085,0.7,0.010000000000000002
16,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.48399665018469396,0.7,0.01
17,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,1.2978422497471724,0.7,0.010000000000000002
18,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.5143468181367777,0.7,0.010000000000000002
19,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.9501907043402655,0.7,0.010000000000000004
20,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,0.36654081798044735,0.7,0.010000000000000002
21,16.989026761878904,1.8000000000000005,true,5,8,5,1.6,0.25,6,0.1107279132607822,0.02,0.2,0.24363034973476425,1.3385293681604487,0.7,0.01
