rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399823247047,0.02,0.2,0.1449684996250274,0.3,0.03183635322538575,0.010000000000000002
2,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399823247047,0.02,0.2,0.1449684996250274,0.30000000000000004,0.24599599652113566,0.010000000000000005
3,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399823247047,0.02,0.2,0.1449684996250274,0.3,0.318420802983844,0.010000000000000002
4,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399805930705,0.02,0.2,0.1449684967306023,0.3,0.25927206181801143,0.010000000000000002
5,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399823247047,0.02,0.2,0.1449684996250274,0.3,0.3998083649269683,0.010000000000000005
6,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399823247047,0.02,0.2,0.1449684996250274,0.3,0.38969230976536173,0.010000000000000005
7,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399805930705,0.02,0.2,0.1449684967306023,0.30000000000000004,0.07753438823255346,0.010000000000000005
8,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399805930705,0.02,0.2,0.1449684967306023,0.3,0.04960429629463776,0.010000000000000004
9,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399835112362,0.02,0.2,0.14496850160831393,0.3,0.4947746731789211,0.010000000000000004
10,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399823247047,0.02,0.2,0.1449684996250274,0.30000000000000004,0.03183635322538575,0.010000000000000004
11,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399805930705,0.02,0.2,0.1449684967306023,0.3,0.4952927309919162,0.010000000000000005
12,19.632577447791103,1.8,true,5,8,4,1.6,0.25,6,0.10377399805930705,0.02,0.2,0.1449684967306023,0.3,0.2180784544710385,0.010000000000000005
