rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370468,3.482364598607692,0.7,0.010000000000000005
2,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370454,3.0090456291234466,0.7,0.010000000000000002
3,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337049,2.106342080170095,0.6999999999999998,0.010000000000000004
4,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370507,3.2369816187751157,0.7,0.010000000000000004
5,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370499,3.0069189164168995,0.7,0.010000000000000002
6,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370468,3.0090456291234466,0.7,0.010000000000000005
7,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370454,3.272725347650667,0.7,0.010000000000000002
8,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370474,3.34829625428193,0.7,0.010000000000000002
9,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337049,0.5373083502477917,0.7,0.01
10,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370476,3.4783221449095567,0.6999999999999998,0.010000000000000002
11,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.1863261588337045,3.411588967521405,0.7,0.010000000000000004
12,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370474,3.3207385147414192,0.7,0.010000000000000005
13,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835121,0.020000000000000007,1.0,0.1863261588337044,2.2867631212411776,0.7,0.010000000000000002
14,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.1863261588337048,3.4819804051771808,0.7,0.010000000000000004
15,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370499,3.32152527036276,0.7,0.01
16,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370454,1.439018928524835,0.7,0.010000000000000004
17,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.1863261588337047,3.1042969653234826,0.7,0.010000000000000005
18,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.186326158833705,3.276903764113963,0.6999999999999998,0.010000000000000002
19,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370496,1.559095932966259,0.7,0.010000000000000004
20,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370476,0.36758976021505396,0.7,0.010000000000000002
21,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370482,2.6983849706257232,0.6999999999999998,0.010000000000000005
22,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370474,2.539792710265217,0.7,0.010000000000000004
23,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370487,2.8337216201946767,0.6999999999999998,0.010000000000000004
24,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370499,3.4138157709425725,0.7,0.010000000000000002
25,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370512,1.9272652063831397,0.7,0.010000000000000002
26,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.1863261588337045,1.9162630198505148,0.7,0.01
27,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370496,0.5606770445643192,0.7,0.010000000000000002
28,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,1.0,0.18632615883370496,2.1382605027026034,0.6999999999999998,0.01
29,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.1863261588337045,3.4074771558215504,0.6999999999999998,0.010000000000000004
30,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,1.0,0.18632615883370468,3.3686368611995654,0.7,0.010000000000000004
31,2.807795734499085,1.800000000000001,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370468,3.384511077039692,0.6999999999999998,0.010000000000000005
32,2.807795734499085,1.800000000000001,true,5,8,5,1.6000000000000003,0.25,6,0.03236827343835123,0.02,1.0,0.186326158833705,3.0016720445328136,0.7,0.010000000000000005
