rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999996,0.18632615883370468,2.0157459281269925,0.7,0.010000000000000004
2,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999998,0.18632615883370485,1.3710052916525854,0.7,0.010000000000000004
3,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370504,1.039758753284273,0.7,0.010000000000000005
4,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370499,1.6601636943367222,0.7,0.010000000000000004
5,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999996,0.1863261588337046,2.139137207505166,0.7,0.010000000000000002
6,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999998,0.1863261588337049,0.33632491240130524,0.7,0.010000000000000004
7,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370499,1.193130717941906,0.7,0.010000000000000002
8,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370496,2.409506451088907,0.7,0.01
9,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370526,1.6254862906497998,0.7,0.010000000000000002
10,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999999,0.18632615883370526,2.780283388039395,0.7,0.01
11,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.186326158833705,1.0770649376661143,0.7,0.010000000000000005
12,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999999,0.18632615883370476,3.1887315981717435,0.7,0.010000000000000004
13,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999996,0.18632615883370457,1.4156081422904163,0.7,0.01
14,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999998,0.1863261588337049,2.457606290942084,0.7,0.01
15,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999998,0.18632615883370482,1.5974712720132658,0.7,0.010000000000000005
16,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.18632615883370468,1.161004584505801,0.7,0.010000000000000004
17,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999999,0.18632615883370499,3.1167605450250817,0.7,0.010000000000000002
18,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999999,0.1863261588337052,3.383385017539284,0.7,0.01
19,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999997,0.18632615883370499,2.024870620761397,0.7,0.010000000000000004
20,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999996,0.18632615883370476,1.2860707436678298,0.7,0.01
21,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835121,0.020000000000000004,1.0,0.18632615883370457,0.4068377110485337,0.7,0.010000000000000002
22,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,0.9999999999999998,0.18632615883370468,1.4898647567060663,0.7,0.010000000000000002
23,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370504,0.6837281015154937,0.7,0.010000000000000004
24,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999997,0.18632615883370496,0.9529096004005474,0.7,0.010000000000000005
25,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,0.9999999999999999,0.18632615883370474,0.3199205155110171,0.7,0.01
26,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370507,1.0606856747811977,0.7,0.010000000000000002
27,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999998,0.18632615883370487,0.8508835461834221,0.7,0.010000000000000004
28,2.807795734499085,1.8000000000000018,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999994,0.18632615883370457,1.314167805049631,0.7,0.010000000000000002
29,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370507,1.6121274395386154,0.7,0.010000000000000005
30,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370499,1.1303594867830304,0.7,0.010000000000000005
31,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999998,0.1863261588337051,0.39634620450510494,0.7,0.010000000000000005
32,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370512,2.8888789782554247,0.7,0.01
33,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999997,0.1863261588337046,2.3656290890867027,0.7,0.010000000000000002
34,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.02,1.0,0.1863261588337048,0.991397217662424,0.7,0.01
35,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,0.9999999999999999,0.18632615883370476,0.8817825153592906,0.7,0.010000000000000005
36,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,0.9999999999999998,0.18632615883370457,2.195362151301988,0.7,0.010000000000000002
37,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999998,0.18632615883370482,0.3108488179904966,0.7,0.010000000000000005
38,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999998,0.18632615883370504,2.452074387174258,0.7,0.010000000000000002
39,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000007,1.0,0.1863261588337047,0.7785540253936156,0.7,0.010000000000000004
40,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,0.9999999999999998,0.18632615883370496,2.4866068282854696,0.7,0.010000000000000002
41,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999999,0.1863261588337051,1.902506200230936,0.7,0.01
42,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999998,0.18632615883370487,2.156915730805961,0.7,0.010000000000000004
43,2.807795734499085,1.8000000000000038,true,5,8,5,1.6,0.25,6,0.03236827343835123,0.02,1.0,0.18632615883370482,2.1567766751010717,0.7,0.010000000000000002
44,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999999,0.1863261588337047,2.3583458893906624,0.7,0.010000000000000005
45,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999999,0.18632615883370476,0.8437193410602611,0.7,0.010000000000000002
46,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835121,0.020000000000000007,1.0,0.1863261588337046,0.7684147738230731,0.7,0.01
47,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999999,0.18632615883370512,3.2933792402040276,0.7,0.010000000000000005
48,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.02,0.9999999999999998,0.18632615883370485,1.395854595047495,0.7,0.010000000000000002
49,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.032368273438351226,0.020000000000000004,0.9999999999999998,0.1863261588337048,0.49601263088040826,0.7,0.01
50,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835122,0.020000000000000004,1.0,0.18632615883370482,1.6970471392750928,0.7,0.010000000000000002
51,2.807795734499085,1.8000000000000003,true,5,8,5,1.6,0.25,6,0.03236827343835121,0.02,1.0,0.18632615883370446,0.5731259273544642,0.7,0.010000000000000002
