rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,5.256663571093236e-16,3.5,0.5386760036093869,0.010000000000000236
2,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.19999999999999996,6.690515436900561e-17,3.5,0.424230145571866,0.010000000000000283
3,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,8.181283494827053e-17,3.5,0.6740823936978992,0.010000000000000026
4,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.146283603727043e-16,3.5,0.6360714771825227,0.010000000000000252
5,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.092961173805061e-16,3.5,0.6302433551539269,0.010000000000000278
6,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000005,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.409810560055302e-16,3.5,0.5323393443677304,0.010000000000000273
7,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.616531314146289e-17,3.5,0.6469226531153437,0.010000000000000038
8,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,3.906139984906887e-16,3.5,0.6651454956847818,0.01000000000000024
9,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,4.0421100773226957e-16,3.5,0.4934709740649542,0.010000000000000278
10,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.37867025846596e-16,3.5,0.6655899775667911,0.010000000000000255
11,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,3.873943262390211e-16,3.5,0.6824580001963392,0.010000000000000264
12,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,3.906139984906887e-16,3.5,0.4603827347754202,0.01000000000000025
13,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,4.1539326251224957e-16,3.5,0.20523189422646468,0.010000000000000267
14,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,7.430675167770844e-17,3.5,0.5603867959427251,0.010000000000000103
15,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.124251440132026e-16,3.5,0.55437186765357,0.010000000000000257
16,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,4.4082266569584365e-16,3.5,0.45839946303131973,0.010000000000000286
17,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,8.244973050236521e-17,3.5,0.6220945428402431,0.010000000000000064
18,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,8.090987445124501e-17,3.5,0.5051599487449739,0.010000000000000057
19,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000005,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.263851603646029e-16,3.5,0.6034211111072602,0.010000000000000276
20,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,8.4073341150205e-17,3.5,0.6830381042887462,0.010000000000000044
21,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.2,4.1639089494824203e-16,3.5,0.15693868819405116,0.010000000000000283
22,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.883096352685536e-17,3.5,0.6841992369754694,0.01000000000000022
23,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.2,5.141823141057791e-16,3.5,0.4657744428984611,0.010000000000000236
24,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.616531314146289e-17,3.5,0.6571501212214939,0.010000000000000162
25,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,5.484636895647515e-17,3.5,0.681624909291463,0.010000000000000132
26,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,9.985846191233261e-17,3.5,0.6508327769478064,0.010000000000000004
27,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,4.22020325015645e-16,3.5,0.5713236510042089,0.010000000000000276
28,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,7.137133541078196e-17,3.5,0.6467949519450268,0.010000000000000071
29,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.883096352685536e-17,3.5,0.6650891432120393,0.010000000000000061
30,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,4.0421100773226957e-16,3.5,0.6884331068534985,0.010000000000000231
31,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,4.934037930245549e-16,3.5,0.6718439593961434,0.010000000000000267
32,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.2,4.775614598999865e-16,3.5,0.4550205931983675,0.01000000000000026
33,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,4.652230111323731e-16,3.5,0.10922985136328806,0.010000000000000269
34,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.018964658660553e-16,3.5,0.18682240926899163,0.010000000000000288
35,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.407268155762959e-16,3.5,0.5315305832736065,0.010000000000000292
36,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.358350472987185e-17,3.5,0.6465354633952693,0.010000000000000052
37,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000005,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,5.22102583908154e-16,3.5,0.5581605959956099,0.010000000000000274
38,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15000000000000005,6,0.17944185374654645,0.03316672341940321,0.2,4.2929771838318146e-16,3.5,0.5741862778631697,0.010000000000000267
39,203.90357803818037,1.8,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.03316672341940321,0.19999999999999998,4.405726544986281e-16,3.5,0.5403691920349243,0.010000000000000245
40,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,9.979763972787504e-17,3.5,0.6163356059087268,0.010000000000000056
41,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.902741176266957e-17,3.5,0.3269927250202743,0.010000000000000054
42,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,6.862527103552994e-17,3.5,0.4715563483057851,0.010000000000000033
43,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,9.168960607464218e-17,3.5,0.20976495810208282,0.010000000000000172
44,203.90357803818037,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.17944185374654645,0.033166723419403195,0.2,9.676380543850448e-17,3.5,0.6498030714318027,0.010000000000000037
