rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,57.40799905896374,1.800000000000001,true,5,8,2,3.5777087639996643,0.15,4,0.08237807675736605,0.020000000000000004,1.0,0.4264307414763126,1.9868477617644182,0.17616428350353697,0.010000000000000066
2,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631277,2.8348783667351993,0.5683434442237014,0.010000000000000012
3,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.02,1.0,0.4264307414763124,2.826227921974858,0.13207763306861553,0.010000000000000085
4,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763129,0.5774020522768744,0.04271756154955597,0.010000000000000012
5,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000008,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763128,0.3705310930949295,0.3801215724818562,0.010000000000000045
6,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631266,3.3383212959102035,0.40485558900773627,0.010000000000000061
7,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.020000000000000004,1.0,0.42643074147631294,2.158901565343909,0.03740203812034007,0.01000000000000008
8,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000008,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763129,3.4986323762739673,0.42811154946600055,0.010000000000000005
9,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000005,4,0.08237807675736605,0.020000000000000007,1.0,0.4264307414763128,3.068083163454922,0.19801191233618848,0.010000000000000021
10,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.1500000000000002,4,0.08237807675736605,0.020000000000000004,1.0,0.42643074147631294,2.9539496066563946,0.4428590717828221,0.010000000000000057
11,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.020000000000000007,1.0,0.4264307414763127,3.2954032107909734,0.5414834388884727,0.010000000000000021
12,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000005,4,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631294,3.4521149635311454,0.6724611839106686,0.010000000000000012
13,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000008,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763128,3.0921051392024923,0.5510989429041676,0.010000000000000002
14,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.02,1.0,0.4264307414763128,2.924227199932762,0.13045529472694067,0.010000000000000002
15,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763127,2.732041099787602,0.2191413884655751,0.010000000000000012
16,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.020000000000000004,1.0,0.42643074147631266,2.686897609048145,0.0910830409879731,0.010000000000000012
17,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763127,1.0242187763996438,0.04271756154955597,0.010000000000000018
18,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.1500000000000001,4,0.08237807675736605,0.020000000000000004,1.0,0.4264307414763128,2.2716560151760667,0.4134939563966807,0.010000000000000071
19,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763127,1.2930428799329978,0.3474013444792181,0.010000000000000012
20,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.020000000000000004,1.0,0.42643074147631266,2.6613310066521194,0.18180481059330383,0.010000000000000014
21,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631277,2.141243532035877,0.3902630448082623,0.010000000000000037
22,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.02,1.0,0.42643074147631255,2.8032662839998554,0.6087823019377911,0.010000000000000005
23,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.020000000000000004,1.0,0.42643074147631255,3.076093232527245,0.18503335307183283,0.010000000000000047
24,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.020000000000000004,1.0,0.4264307414763125,0.857126502038764,0.47611289254426414,0.010000000000000033
25,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000005,4,0.08237807675736605,0.02,1.0,0.42643074147631277,3.101808457465874,0.2533655769530577,0.010000000000000104
26,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15,4,0.08237807675736605,0.020000000000000007,1.0,0.42643074147631294,3.4905207500679305,0.48890652646911814,0.010000000000000028
