rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000008,5,0.0825299806996551,0.02,1.0,0.4353816004781295,2.6088129428329534,0.3826511201881072,0.010000000000000026
2,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965511,0.02,1.0,0.4353816004781299,2.6088129428329534,0.3826511201881072,0.010000000000000066
3,44.372783219873156,1.800000000000001,true,5,8,1,3.5777087639996643,0.15,5,0.0825299806996551,0.02,1.0,0.4353816004781293,2.9407128764591137,0.1401000237851489,0.010000000000000075
4,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965511,0.02,1.0,0.4353816004781298,2.3113845022471677,0.44198433979934626,0.010000000000000068
5,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812907,2.733811166734619,0.24466266780771057,0.01000000000000003
6,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781291,1.7532804539371414,0.24481068190545385,0.010000000000000012
7,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.1500000000000001,5,0.0825299806996551,0.02,1.0,0.4353816004781296,2.6790675723726274,0.04254861701863484,0.01000000000000004
8,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781292,3.16646068421633,0.3062512460207285,0.010000000000000018
9,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781292,0.46969324603849516,0.5671162904928413,0.010000000000000018
10,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965511,0.02,1.0,0.43538160047812985,0.6554241328794843,0.5353430940420478,0.01000000000000009
11,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000002,5,0.08252998069965509,0.020000000000000004,1.0,0.4353816004781292,2.1795739046549096,0.24601881209152718,0.010000000000000099
12,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15,5,0.0825299806996551,0.02,1.0,0.43538160047812957,0.5377261026275526,0.36255640111344173,0.010000000000000012
13,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000002,5,0.0825299806996551,0.02,1.0,0.4353816004781296,1.2548115234703299,0.4080207381064551,0.010000000000000016
14,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000005,5,0.08252998069965509,0.02,1.0,0.43538160047812924,1.0546510585881081,0.03764749176543406,0.010000000000000099
15,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15,5,0.08252998069965511,0.02,1.0,0.4353816004781299,0.8219444426278757,0.3498227547392547,0.010000000000000054
16,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000002,5,0.0825299806996551,0.02,1.0,0.4353816004781296,0.4868466253564755,0.24863923580952652,0.010000000000000009
17,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15,5,0.08252998069965511,0.02,1.0,0.4353816004781297,2.846900951118471,0.5275611295738623,0.010000000000000063
18,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000002,5,0.08252998069965511,0.02,1.0,0.4353816004781299,0.9644878750884762,0.5615867964861398,0.010000000000000026
19,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000002,5,0.0825299806996551,0.02,1.0,0.4353816004781295,1.581681634323124,0.3664660399934122,0.010000000000000016
20,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781292,0.3913108213357467,0.02932388851965427,0.010000000000000021
21,44.372783219873156,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000002,5,0.08252998069965511,0.02,1.0,0.43538160047812985,1.7214777190699935,0.6471456099865605,0.010000000000000085
