rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.3316866084664779,0.010000000000000004
2,24.32998509228053,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.4999999999999996,0.5247857943729339,0.01
3,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.11849055371091491,0.010000000000000004
4,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.3720252812442136,0.010000000000000004
5,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.32960121866135483,0.010000000000000005
6,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.2652951153758933,0.010000000000000004
7,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.13204703014041302,0.010000000000000009
8,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.1636788084759086,0.010000000000000009
9,24.32998509228053,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.4999999999999996,0.5651244671506697,0.010000000000000002
10,24.32998509228053,1.8000000000000005,true,5,8,3,3.577708763999664,0.15,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.4999999999999996,0.5904559534655186,0.01
11,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.22130548387267385,0.010000000000000009
12,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.2993914193845616,0.010000000000000002
13,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.13619579300044618,0.010000000000000005
14,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.26125980743123484,0.010000000000000005
15,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.09751884428272176,0.010000000000000009
16,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.2971797457509016,0.01
17,24.32998509228053,1.8000000000000016,true,5,8,3,3.577708763999664,0.15000000000000002,6,0.07363868580961325,0.02,1.0,0.21878406539233053,3.5,0.07807639746668481,0.010000000000000009
