rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000005,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.012066450279003271,0.010000000000000005
2,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.06895120298157208,0.01
3,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000008,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.0476216186973093,0.010000000000000004
4,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.0524052087209354,0.010000000000000002
5,22.698703590851455,1.8000000000000012,true,5,8,4,3.577708763999664,0.15,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.19280688491583062,0.01
6,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.06749829053372913,0.010000000000000002
7,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000008,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.12422937281652605,0.010000000000000005
8,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.2919358120723765,0.01
9,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000005,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.05054532994475323,0.010000000000000007
10,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.27990972437099537,0.010000000000000005
11,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000005,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.022512813940170007,0.010000000000000004
12,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.37996984894848745,0.010000000000000005
13,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000016,0.16259999174965695,0.010000000000000002
14,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.19193091832682163,0.010000000000000005
15,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.2384158838500199,0.010000000000000002
16,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.19117439673964992,0.010000000000000005
17,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.4872795366221093,0.010000000000000007
18,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.2378863187389997,0.010000000000000002
19,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000005,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.2643524050817601,0.010000000000000004
20,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.4441217059199174,0.010000000000000005
21,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000016,0.14089748187273649,0.010000000000000004
22,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000008,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.09281290533337122,0.010000000000000007
23,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000005,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.0024951017711018486,0.010000000000000002
24,22.698703590851455,1.8000000000000012,true,5,8,4,3.577708763999664,0.15,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.025456227962804945,0.010000000000000002
25,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000016,0.4419121624022969,0.010000000000000007
26,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.14563996418294545,0.010000000000000002
27,22.698703590851455,1.8000000000000012,true,5,8,4,3.577708763999664,0.15,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.12422937281652605,0.010000000000000007
28,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.0872207530357236,0.010000000000000007
29,22.698703590851455,1.8000000000000005,true,5,8,4,3.577708763999664,0.15000000000000008,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3000000000000001,0.12493902877929525,0.010000000000000005
30,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.30000000000000004,0.19519982972592098,0.010000000000000002
31,22.698703590851455,1.8000000000000007,true,5,8,4,3.577708763999664,0.15000000000000002,6,0.0627477679431669,0.02000000000000001,1.0,0.04962231281283795,0.3,0.1524991485314781,0.01
