rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,57.40799905896374,1.8000000000000005,true,5,8,2,3.5777087639996643,0.15,5,0.08237807675736607,0.02,0.9999999999999998,0.4264307414763128,1.3736783187528216,0.6941056650092974,0.010000000000000026
2,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000005,5,0.08237807675736607,0.020000000000000004,0.9999999999999998,0.4264307414763133,3.366898193903748,0.14534840313084474,0.01000000000000003
3,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000005,5,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631294,0.4077965550693958,0.0690694639862656,0.010000000000000012
4,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.1500000000000002,5,0.08237807675736607,0.020000000000000007,0.9999999999999999,0.42643074147631327,3.3722179309200753,0.28678139878901254,0.010000000000000077
5,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000013,5,0.08237807675736607,0.02000000000000001,0.9999999999999999,0.4264307414763132,0.31546857793180383,0.04248723498528581,0.010000000000000052
6,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000013,5,0.08237807675736605,0.020000000000000004,1.0,0.4264307414763128,0.3657085007867831,0.019401612557675557,0.010000000000000028
7,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000008,4,0.08237807675736605,0.020000000000000004,1.0,0.42643074147631305,3.177547850901635,0.6156536772436104,0.010000000000000075
8,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000008,5,0.08237807675736607,0.020000000000000007,0.9999999999999999,0.42643074147631305,0.6603496742562258,0.024875579045791088,0.010000000000000005
9,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000002,5,0.08237807675736608,0.02,0.9999999999999996,0.42643074147631305,1.673821637323794,0.2647986157264448,0.0100000000000001
10,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000022,4,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631327,2.580115712450166,0.6921736824541375,0.010000000000000023
11,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000008,5,0.08237807675736607,0.02,0.9999999999999999,0.42643074147631327,1.1371814960423794,0.5877069864501164,0.01000000000000001
12,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000002,4,0.08237807675736605,0.020000000000000007,1.0,0.4264307414763131,2.937165674205534,0.6410856078364704,0.010000000000000028
13,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000008,4,0.08237807675736605,0.02000000000000001,1.0,0.4264307414763133,2.7121246956816853,0.3557475233774742,0.010000000000000063
14,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000008,5,0.08237807675736607,0.020000000000000007,0.9999999999999998,0.4264307414763131,1.3548939185419018,0.07662676241996444,0.010000000000000037
15,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000002,5,0.08237807675736607,0.020000000000000007,0.9999999999999999,0.4264307414763133,3.0302814405607443,0.37069007085288713,0.010000000000000097
16,57.40799905896374,1.800000000000001,true,5,8,2,3.577708763999664,0.15000000000000016,5,0.08237807675736605,0.02000000000000001,1.0,0.42643074147631294,3.34985488857445,0.2315445120824738,0.010000000000000014
17,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.1500000000000001,5,0.08237807675736608,0.020000000000000004,0.9999999999999996,0.4264307414763134,1.8188917577585593,0.06080960292760178,0.010000000000000024
18,57.40799905896374,1.8000000000000005,true,5,8,2,3.577708763999664,0.15000000000000022,5,0.08237807675736607,0.020000000000000004,0.9999999999999999,0.4264307414763132,2.58552032184113,0.5043386744996512,0.010000000000000061
