rank,mass_kg,min_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781278,0.7878006056970621,0.10547514086458115,0.010000000000000021
2,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812785,2.979160833148054,0.2526938885240855,0.010000000000000057
3,44.37278321987317,1.8000000000000007,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965499,0.02,1.0,0.43538160047812424,0.9912909040216265,0.4391303772782233,0.010000000000000078
4,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812774,0.9723355739019077,0.44815085631371376,0.010000000000000049
5,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,0.7958995398568003,0.021782083701125388,0.01000000000000001
6,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812774,0.3914943645619886,0.00645280390657646,0.010000000000000002
7,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,1.550439395924031,0.3122091253903215,0.010000000000000012
8,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,0.3321248592974283,0.5411013563093561,0.010000000000000031
9,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,1.9693633051730945,0.021782083701125388,0.010000000000000005
10,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,0.9718075956043248,0.6997617564764842,0.010000000000000007
11,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,0.5188088017758585,0.6392376634441054,0.010000000000000094
12,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,2.2719696386856234,0.4017566634461245,0.010000000000000016
13,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15000000000000005,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.7838391634515531,0.29988983683650766,0.010000000000000002
14,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812785,1.960324822731185,0.010768361084288802,0.010000000000000078
15,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,2.705562975879541,0.06414894882379056,0.010000000000000026
16,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965511,0.02,1.0,0.43538160047812957,0.9344784914698665,0.24311955529166213,0.010000000000000066
17,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812957,1.2177016014320572,0.1248226292449291,0.010000000000000052
18,44.37278321987317,1.8000000000000007,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965499,0.02,1.0,0.43538160047812424,1.4837206401153127,0.296394942384241,0.010000000000000071
19,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781278,1.3612943878176464,0.022759668045981257,0.01000000000000001
20,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812785,1.0346687998689537,0.30121111004014267,0.010000000000000016
21,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,2.2099271592501877,0.18450557060456446,0.010000000000000064
22,44.37278321987317,1.8000000000000007,true,5,8,1,3.577708763999664,0.15000000000000005,6,0.08252998069965499,0.02,1.0,0.43538160047812424,0.7805718701328375,0.4515277071024417,0.010000000000000071
23,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,0.9069767556220021,0.12170777210412806,0.01000000000000008
24,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,0.3707298735189307,0.1222604910623404,0.010000000000000009
25,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965511,0.02,1.0,0.43538160047812957,0.7820491450851844,0.23932395073092455,0.010000000000000033
26,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,2.7764854118619096,0.686838885293863,0.010000000000000056
27,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15000000000000005,6,0.08252998069965511,0.02,1.0,0.4353816004781296,1.6307842163617643,0.19093296619632652,0.010000000000000031
28,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15000000000000005,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.8093018072633544,0.06084918204341067,0.010000000000000096
29,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781278,2.007348483716666,0.1795558089785562,0.010000000000000066
30,44.37278321987317,1.8000000000000005,true,5,8,1,3.577708763999664,0.1500000000000002,5,0.0825299806996551,0.02,1.0,0.4353816004781287,0.6188867746350093,0.08792363994799132,0.010000000000000024
31,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,0.6901666536033122,0.05689807074288062,0.010000000000000071
32,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812763,1.043004094210627,0.15328664049310853,0.010000000000000002
33,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.5579197925456201,0.302670274860699,0.010000000000000077
34,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812774,0.7791785697644001,0.5234546486133794,0.010000000000000026
35,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812774,0.9278042532140466,0.592150063607704,0.01000000000000007
36,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15000000000000005,6,0.08252998069965511,0.02,1.0,0.4353816004781296,3.4341147987733374,0.19967352755776896,0.010000000000000057
37,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.6403259657671221,0.5208126905115733,0.010000000000000005
38,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,0.40877821874233433,0.36347528936589624,0.010000000000000057
39,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,3.3695415429756217,0.36975511035012,0.010000000000000052
40,44.37278321987317,1.8000000000000007,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965499,0.02,1.0,0.43538160047812424,2.242786252789446,0.3882303946415504,0.010000000000000071
41,44.37278321987317,1.8000000000000005,true,5,8,1,3.577708763999664,0.1500000000000002,5,0.0825299806996551,0.02,1.0,0.4353816004781287,0.7005316339495691,0.22472694760626477,0.010000000000000007
42,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812774,0.9646380530777676,0.6997617564764842,0.010000000000000007
43,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812774,3.2288893969339916,0.22807081437943408,0.010000000000000061
44,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.9769456138034467,0.39492459820892134,0.010000000000000054
45,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15000000000000005,6,0.08252998069965511,0.02,1.0,0.4353816004781296,1.4960314428600412,0.13090969570318275,0.010000000000000021
46,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965511,0.02,1.0,0.43538160047812957,0.9019530456733984,0.5581129263396618,0.010000000000000012
47,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,0.4870019911584258,0.09568010557399846,0.010000000000000024
48,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.33409766444474953,0.28361929540647746,0.010000000000000037
49,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.6099603648975751,0.00801810885469266,0.010000000000000068
50,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,0.6269790918034002,0.22719593503371793,0.010000000000000047
51,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,2.743372805568046,0.09436097109603392,0.010000000000000056
52,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.43538160047812763,1.0812370757646825,0.09882943154640023,0.010000000000000052
53,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781277,1.0214533007919826,0.4821776439972324,0.010000000000000028
54,44.37278321987317,1.8000000000000018,true,5,8,1,3.577708763999664,0.15,6,0.08252998069965511,0.02,1.0,0.4353816004781296,0.9348480762781746,0.06699192517772284,0.010000000000000096
55,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.43538160047812946,0.33956907325604324,0.03463828260295785,0.010000000000000056
56,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781278,3.2626510794871026,0.15427549750570074,0.010000000000000002
57,44.37278321987317,1.800000000000001,true,5,8,1,3.577708763999664,0.15000000000000016,5,0.08252998069965509,0.02,1.0,0.4353816004781278,0.5811621961744193,0.5659262249081763,0.010000000000000044
58,44.37278321987317,1.8000000000000023,true,5,8,1,3.577708763999664,0.15000000000000016,6,0.08252998069965511,0.02,1.0,0.4353816004781296,1.6153121369393035,0.33286659174490435,0.010000000000000031
