config,beam,n_lines,knuckle_mass_kg,mass_kg,r_hub_m,n_rings,axial_idx
10kw,airfoil,3,0.1592617909903594,129.89986997019815,1.602108300168116,8,3
10kw,airfoil,4,0.0775200274337735,151.20129247751655,1.751248570553286,7,5
10kw,airfoil,5,0.1040905066564114,128.5357851133273,1.7784613678989316,5,5
10kw,airfoil,6,0.148734537190823,138.45193938824642,1.744071231143272,5,4
10kw,airfoil,7,0.1367187393826884,131.8703214901979,1.7134707478806963,5,5
10kw,airfoil,8,0.01,16.989026761878904,1.6,5,5
10kw,circular,3,0.0986631570140757,23.775074786293985,1.732553693300286,6,4
10kw,circular,4,0.0340801695030438,20.6980961371334,1.6742717095434632,12,5
10kw,circular,5,0.0254375608774234,10.066834024739476,1.7554714665124989,8,5
10kw,circular,6,0.1424082147849412,17.225001872621732,1.7749833541173423,6,3
10kw,circular,7,0.0664084678344273,16.36626097664966,1.7357070810537625,6,3
10kw,circular,8,0.01,2.807795734499085,1.6,5,5
10kw,elliptical,3,0.0378683492867219,26.17819747650617,1.735386808801478,8,5
10kw,elliptical,4,0.0340801695030438,20.427033703388727,1.6742717095434632,12,5
10kw,elliptical,5,0.1359680753450378,18.32564901755612,1.6577380346023582,5,3
10kw,elliptical,6,0.0377919575520853,17.05651405604261,1.6187911050057688,5,5
10kw,elliptical,7,0.0973269355365915,20.66627920045668,1.7301511292233092,7,1
10kw,elliptical,8,0.01,2.8077957344990847,1.6,5,5
50kw,airfoil,3,0.0301919107182953,601.7186725086896,4.963651639722037,6,3
50kw,airfoil,4,0.0175783446572336,614.8083942360093,5.308871470604062,5,4
50kw,airfoil,5,0.1626329570833285,565.400182845209,4.114176266138757,5,3
50kw,airfoil,6,0.0426121329345356,481.276254240456,5.252447497615703,5,4
50kw,airfoil,7,0.0106105970252877,475.7429100159602,5.262942038903699,5,3
50kw,airfoil,8,0.01,155.3742933209493,3.577708763999664,5,5
50kw,circular,3,0.1656792641621731,184.85359521527732,4.079434260398791,6,4
50kw,circular,4,0.1644091279026778,110.56066159622308,4.035897017479599,5,5
50kw,circular,5,0.0672040876320386,99.66410455951343,3.926331801739672,6,5
50kw,circular,6,0.1105687033670788,85.61823782290566,3.661878929593981,6,4
50kw,circular,7,0.0822519437043164,96.74907002902312,3.8413843402021937,6,3
50kw,circular,8,0.01,19.217949203490424,3.577708763999664,5,5
50kw,elliptical,3,0.1318924452693177,206.83259349300988,3.609666068594074,6,4
50kw,elliptical,4,0.0716599185323419,133.01823166768082,4.141021161532605,6,4
50kw,elliptical,5,0.0110388081989859,112.6130369332707,3.6328155906266937,5,3
50kw,elliptical,6,0.013489443864563,97.3152429371456,4.473085612554606,6,4
50kw,elliptical,7,0.1794219074984366,114.34106320750564,4.072300939654057,10,3
50kw,elliptical,8,0.01,19.217949203490424,3.577708763999664,5,5
