config,beam,axial,n_samples,feasible_frac,min_mass,p50_mass,best_n_rings,best_n_lines,best_r_hub
10kw,airfoil,linear,10000,0.1011,175.78652344163663,1052.165914034302,6,6,1.607287593859667
10kw,airfoil,elliptic,20000,0.0935,140.04815932621486,1076.3112126621686,6,6,1.612001592866024
10kw,airfoil,parabolic,20000,0.0935,96.3845552442574,1015.8967797477883,5,8,1.600579027655305
10kw,airfoil,trumpet,20000,0.09925,138.45193938824642,1060.51045402224,5,6,1.744071231143272
10kw,airfoil,straight_taper,10000,0.0941,128.5357851133273,958.2733613681684,5,5,1.7784613678989316
10kw,circular,linear,10000,0.6999,20.728579558055053,447.0787069632441,6,5,1.6421898333834144
10kw,circular,elliptic,20000,0.7023,19.700938687084594,509.0753788053097,6,5,1.6466315912790457
10kw,circular,parabolic,20000,0.69965,16.36626097664966,408.79416857372695,6,7,1.7357070810537625
10kw,circular,trumpet,20000,0.69815,21.7410537691853,496.1598100051343,5,6,1.927692328472098
10kw,circular,straight_taper,10000,0.7012,10.066834024739476,381.7158636400661,8,5,1.7554714665124989
10kw,elliptical,linear,10000,0.5621,18.90185241457901,444.5364427094714,6,5,1.6421898333834144
10kw,elliptical,elliptic,20000,0.56375,28.624223441825382,501.8005871149696,6,6,1.7432727101731014
10kw,elliptical,parabolic,20000,0.56015,17.06054189484338,406.8780511543597,6,8,1.9256590764689492
10kw,elliptical,trumpet,20000,0.5633,20.13543138838008,490.6350436803299,6,6,1.6376420423892617
10kw,elliptical,straight_taper,10000,0.5575,17.05651405604261,379.75066796149815,5,6,1.6187911050057688
50kw,airfoil,linear,10000,0.1216,494.75681583719097,4587.473838950793,5,6,5.060261783435428
50kw,airfoil,elliptic,20000,0.12395,580.2067009727995,4345.24452959964,5,6,5.004606983448655
50kw,airfoil,parabolic,20000,0.12085,475.7429100159602,4356.546476335597,5,7,5.262942038903699
50kw,airfoil,trumpet,20000,0.12605,481.276254240456,4476.834158859167,5,6,5.252447497615703
50kw,airfoil,straight_taper,10000,0.1221,641.3337467025369,4202.601515079256,6,7,4.595353832825274
50kw,circular,linear,10000,0.5594,159.48387330436708,2615.983846619369,7,7,3.904265893229295
50kw,circular,elliptic,20000,0.55915,164.48925006820602,3062.870762216168,5,5,3.679088722287004
50kw,circular,parabolic,20000,0.5557,96.74907002902312,2383.011257601147,6,7,3.8413843402021937
50kw,circular,trumpet,20000,0.56395,85.61823782290566,2931.0478677447536,6,6,3.661878929593981
50kw,circular,straight_taper,10000,0.5563,99.66410455951343,2209.997344572731,6,5,3.926331801739672
50kw,elliptical,linear,10000,0.4037,146.3081635976883,2698.075390201125,7,7,3.904265893229295
50kw,elliptical,elliptic,20000,0.4059,177.70335723551608,3042.7829733016115,8,8,3.8573924042615664
50kw,elliptical,parabolic,20000,0.397,112.6130369332707,2462.3329565577214,5,5,3.6328155906266937
50kw,elliptical,trumpet,20000,0.40545,97.3152429371456,2971.320273831715,6,6,4.473085612554606
50kw,elliptical,straight_taper,10000,0.3925,129.19547363963443,2325.7248815661346,6,7,4.264543909034755
