rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.07713891365197428,3.1943836773741685,0.08054258954704088,0.01000000000000003
2,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.009393896668946161,2.3146984922751463,0.3033070899388288,0.010000000000000111
3,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.09536896205740084,3.209707055396771,0.07746508166462969,0.010000000000000137
4,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.06362944624064032,2.232859518784823,0.06793729272090834,0.010000000000000092
5,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.09568878050672937,2.017397766686388,0.28087970349045455,0.010000000000000075
6,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.08528704271540363,3.4526634646286194,0.50957787668311,0.010000000000000123
7,95.7637637560041,1.8000000000000003,1.5,true,5,8,2,1.9939229340862807,0.9999999999999999,2,0.12,0.02358240967257427,0.2,0.19824840747941314,3.043294428780294,0.18778652106061072,0.010000000000000162
8,95.7637637560041,1.8000000000000003,1.5,true,5,8,2,1.9939229340862805,1.0,2,0.12,0.02358240967257427,0.2,0.024719291325196402,0.3265785316686557,0.006343081502697426,0.010000000000000134
9,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.016956367880056014,2.5678776831890313,0.23863199533898027,0.010000000000000012
10,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.07154325081152065,3.0654552090168536,0.1613059359210991,0.01000000000000006
11,95.7637637560041,1.8000000000000003,1.5,true,5,8,2,1.9939229340862807,0.9999999999999999,2,0.12,0.02358240967257427,0.2,0.3092485814851094,0.7156191544090018,0.09466033637948822,0.010000000000000129
12,95.7637637560041,1.8000000000000003,1.5,true,5,8,2,1.9939229340862805,1.0,2,0.12,0.02358240967257427,0.2,0.07918776472555229,0.5257172222213307,0.19398253271495045,0.010000000000000142
13,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.3150538665965489,2.663718565848952,0.4223159199227666,0.01000000000000002
14,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.010822759225302507,0.5257172222213307,0.006073620570309357,0.01000000000000003
15,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.011797185602749505,2.083293758026872,0.40530807910651623,0.010000000000000122
16,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.0018735491764082166,0.8831856440861279,0.3395560320773766,0.010000000000000024
17,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.024555363934881884,0.6543677124987803,0.07963196242724736,0.010000000000000078
18,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.10068948197360654,1.4881815087148478,0.12732384518871165,0.010000000000000085
19,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.1115818335000922,3.374669348145763,0.24312215045623875,0.010000000000000064
20,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.07489811177228592,0.5404364561317769,0.11142460150398965,0.010000000000000023
21,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.06429219437001085,3.117237440793444,0.5518285489766902,0.010000000000000068
22,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.08669607700935497,1.9633954010798806,0.610779875091209,0.0100000000000001
23,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.1333456246829332,2.124602444414898,0.3184966136790579,0.01000000000000001
24,95.7637637560041,1.8000000000000003,1.5,true,5,8,2,1.9939229340862805,1.0,2,0.12,0.02358240967257427,0.2,0.12033400952990626,3.435575021445592,0.15373328426328864,0.010000000000000129
25,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.06429219437001085,0.8584055855723959,0.03486432633419158,0.010000000000000021
26,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.3630110821315007,2.139229099701419,0.10177472019457715,0.010000000000000007
27,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.021252937237719025,1.6328470375801696,0.33207855557717714,0.010000000000000064
28,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.06996927758445551,1.6285862619452252,0.20938175723271954,0.01000000000000011
29,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.07884005946144791,2.3136908514250774,0.5128206139354793,0.010000000000000049
30,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.0018720294829267445,2.311192485247154,0.21575246731938902,0.010000000000000026
31,95.7637637560041,1.8000000000000003,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.12,0.02358240967257427,0.2,0.08148835251175135,2.663718565848952,0.6680871434852956,0.01000000000000002
32,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.016842281996655883,3.0528657464189575,0.06713949980823176,0.01000000000000003
33,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,2,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.06938559186467984,2.232859518784823,0.3824622525282652,0.010000000000000002
