rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.08219701075920507,2.4952230188082414,0.14172688991190358,0.010000000000000005
2,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.7961711308439329,1.198531774839196,0.09747392602453091,0.010000000000000037
3,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862807,0.9999999999999999,2,0.12,0.02358240967257427,0.2,0.4112432656637041,0.48393845603945773,0.07903021590450099,0.010000000000000165
4,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862805,1.0,2,0.12,0.02358240967257427,0.2,0.22780795470509602,0.874582815173716,0.008369733732736456,0.010000000000000146
5,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862805,1.0,2,0.12,0.02358240967257427,0.2,0.5971725402629235,2.2747245491584094,0.0009577696188718399,0.010000000000000132
6,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.12,0.02358240967257427,0.2,0.835317277003983,0.9903604353773157,0.13654027204237526,0.010000000000000148
7,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.4787753808024524,2.222787179151807,0.5638761694913912,0.010000000000000002
8,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.3833602168625997,3.2505691424628598,0.26569070821663554,0.010000000000000047
9,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.4519871112778185,3.283939636824346,0.2647666050069025,0.01000000000000011
10,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.12,0.02358240967257427,0.2,0.9995559765877784,2.0465426588912212,0.26041690747139423,0.01000000000000006
11,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.12,0.02358240967257427,0.2,0.8941200227215539,2.479480471407026,0.5254460861865247,0.010000000000000097
12,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.3357002385837725,2.0672952175899257,0.18242138312301018,0.010000000000000012
13,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.501880695959951,1.8819506728221986,0.45130861771978803,0.010000000000000144
14,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.281318646024658,1.8253869157079952,0.01459032719640608,0.010000000000000158
15,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.394184300150369,0.31623382910842335,0.38167690751773337,0.010000000000000064
16,95.7637637560041,1.8000000000000003,1.5000000000000004,true,5,8,5,1.9939229340862807,1.0,2,0.12,0.02358240967257427,0.2,0.5275493662161264,1.8026383868328282,0.3920288872851654,0.010000000000000042
17,95.7637637560041,1.8000000000000003,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.12,0.02358240967257427,0.2,0.7335489935466126,2.1265807580874676,0.3948871548891985,0.010000000000000129
