rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.01411194001535495,0.7738708759294612,0.5890051036789463,0.010000000000000012
2,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.10525637634247131,0.34495683246250686,0.6003025017387522,0.010000000000000021
3,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.04621729363450117,1.8923644809851934,0.43306022833586744,0.010000000000000007
4,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.06816540132619467,2.65274322360646,0.6256611514630896,0.010000000000000014
5,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.37967133431359723,0.40793644776574983,0.4595201032370838,0.010000000000000021
6,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.22522737225323217,2.169773784383381,0.0358615247059058,0.010000000000000005
7,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.1169243238402424,3.43193548876821,0.009839773403664348,0.010000000000000009
8,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.4041321190905836,2.1619101711078152,0.1787443316639445,0.010000000000000023
9,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.43056318172942487,1.988244082306622,0.37383787247832556,0.01
10,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.6124721130187358,3.484204136244327,0.21649498782543525,0.010000000000000014
11,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.16106128024055272,1.2580770244544008,0.6325250644235636,0.010000000000000023
12,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.1456034521459276,1.6639599156576605,0.6807913729021728,0.010000000000000005
13,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.6116421545345745,3.114484934372473,0.24941394682548085,0.010000000000000002
14,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.2395204733744625,0.9715977411939235,0.3410704459765831,0.010000000000000002
15,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.030937310501685657,2.22751394920524,0.4826987331677772,0.010000000000000005
16,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.20588816670830581,0.32358442669442855,0.6876636366087168,0.010000000000000016
17,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.22089313767295787,3.271279032908306,0.5415683918661537,0.010000000000000004
18,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.33376999901231,2.598042833136098,0.02566191571941215,0.010000000000000002
19,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.7646186868832514,2.3498535050481584,0.4179257806957516,0.010000000000000016
20,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.14786308536558684,2.574091287807736,0.3291702596364392,0.010000000000000018
21,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.4333999046556734,2.772164746321558,0.6761403626336232,0.010000000000000018
22,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.2539321267060406,2.750734835664069,0.4924785614201126,0.01
23,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.3169339108420015,2.3629179704040446,0.24555301503320814,0.010000000000000016
24,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.06342487020079011,1.9267245355570846,0.03087391650732904,0.010000000000000004
25,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.11236367070877917,0.9469511084576839,0.11590788295097176,0.010000000000000005
26,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.38086658784960237,1.5184212258773864,0.26494775947304533,0.010000000000000018
27,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.3314652625313419,0.7255954732621526,0.11023839754992698,0.010000000000000004
28,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.354653439338099,1.4392400432519257,0.37477120438131334,0.010000000000000004
29,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.4041321190905836,2.9814537797058906,0.16146025543627218,0.010000000000000005
30,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.10853146607778474,3.0222409612864336,0.6563960257006828,0.010000000000000004
31,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.14594160118976215,0.7701664047813344,0.6035934837965805,0.010000000000000016
32,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.5960487659677245,2.8102181582956223,0.5109812661635462,0.010000000000000005
33,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.0650551669710015,0.368182390989999,0.34892451917595185,0.010000000000000018
34,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.10547348718300228,2.1105717208849084,0.2890127825344631,0.01000000000000002
35,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.11958194475660194,1.1053319565246003,0.6833208617577267,0.010000000000000014
36,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.4886095233098045,2.3847780895721495,0.5406879826376776,0.010000000000000014
37,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.4344605181328537,2.218413582785798,0.47693584208618267,0.010000000000000004
38,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.19231144449744902,1.0479857175260674,0.5863755398371273,0.01000000000000001
39,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.07559034894452946,0.41533467792661805,0.08596346963071635,0.010000000000000005
40,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.3597061097895954,1.5297870832357388,0.3416342006045769,0.010000000000000021
41,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.2438507562733721,2.6005815515274042,0.33662750153534376,0.010000000000000018
42,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.11567961830596163,1.6218326986190728,0.6988210050263487,0.010000000000000004
43,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5133741938206529,2.2215555271998575,0.023552243551481666,0.010000000000000018
44,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.36956832148194396,3.139513860592452,0.5818900990590619,0.010000000000000023
45,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.42644818467937007,3.4644136882692314,0.08664433989183568,0.010000000000000007
46,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.07631620036958775,2.090266887096342,0.6576875759454911,0.01000000000000001
47,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.2853395865949186,2.5407119010205985,0.23411411351184225,0.010000000000000023
48,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.2768970764872815,2.5471099680949036,0.16491393583296282,0.010000000000000012
49,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.3927518575273212,2.9922299725633215,0.4261674516495643,0.010000000000000002
50,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.4041321190905836,2.4672312227150117,0.1787443316639445,0.010000000000000004
51,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.3396797908535497,0.889657035403873,0.648433233826653,0.010000000000000023
52,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.5867444178185117,1.074845624933125,0.2968745571530916,0.010000000000000004
53,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.3617477063712544,3.1612365171857992,0.5771163624963046,0.010000000000000005
54,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.5785925530592764,3.0516208270054057,0.6876636366087168,0.01000000000000001
55,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.07421312794132996,2.6832228629144526,0.6881015710928914,0.010000000000000002
56,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.010421004307294479,2.5322929044998417,0.0828971912992352,0.01000000000000001
57,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.39155279294371714,2.6148521083597545,0.6325250644235636,0.010000000000000004
58,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.07559034894452946,2.728361226321201,0.6232351217514603,0.010000000000000009
59,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.2676048364128929,1.348286751698979,0.2614564337340416,0.010000000000000016
60,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.20835397937525632,2.274056399082411,0.20998618240232417,0.010000000000000005
61,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.5473874240842211,3.208407773087268,0.31440063131666535,0.01000000000000001
62,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.277122883672893,2.9248546512947073,0.6303376956119523,0.01000000000000002
63,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.2833661585935891,2.879427865393546,0.6731757676391065,0.01000000000000001
64,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.040312365268753064,0.3752731389469136,0.550603281920223,0.010000000000000016
65,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.592841967428255,2.6307541920095945,0.024531297421028636,0.01000000000000002
66,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.42699361144538994,3.0637434623593385,0.1720730197484518,0.01000000000000001
67,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.04551246105927359,0.46932403157673885,0.2604578961593954,0.010000000000000009
68,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.09130517773418986,3.084419999514205,0.343344209084153,0.010000000000000021
69,15.435174011529034,1.8000000000000014,1.5,true,5,8,2,1.9939229340862805,0.9999999999999999,4,0.0420324822381946,0.02,1.0,0.016303756203743663,0.7401838737969917,0.6662509969110674,0.010000000000000023
70,15.435174011529034,1.8000000000000005,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.11958194475660194,0.5656282865737123,0.18919231116472096,0.010000000000000016
71,15.435174011529034,1.800000000000002,1.5,true,5,8,2,1.9939229340862803,1.0,2,0.0420324822381946,0.02,1.0,0.16190772284510835,1.09388713994649,0.0026445089889788193,0.010000000000000014
