rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,15.435174011529034,1.8000000000000014,1.5,true,5,8,3,1.9939229340862805,0.9999999999999999,5,0.0420324822381946,0.02,1.0,0.4482880198684688,1.5990191490339196,0.07748939716573583,0.010000000000000009
2,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.2913778088896304,1.4541992779424102,0.6062577596759763,0.01
3,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5871095258196687,0.8001679396141711,0.6559492192978102,0.010000000000000002
4,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.3920602470920642,0.6789189296969984,0.3603419368143096,0.010000000000000009
5,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.7739309729313766,0.47945057421267057,0.49555318127404896,0.01000000000000001
6,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.7695303457992351,0.7923269487921618,0.2563629993363623,0.010000000000000014
7,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.46480489045328066,1.000830116104775,0.3403982411442381,0.01000000000000001
8,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.4115102926477428,2.2495750088863598,0.258956548651372,0.010000000000000004
9,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.2630361232588674,0.7923269487921618,0.5214176244273246,0.010000000000000002
10,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.16169791133726563,2.7464612897462035,0.5975699744791048,0.010000000000000004
11,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.042032482238194606,0.02,1.0,0.5225998904262449,0.5026625762248701,0.39287677964491785,0.010000000000000007
