rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.03724962669503795,1.9076064399711474,0.6342240027430031,0.010000000000000004
2,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5600795668946924,1.4065133507533847,0.5136580789518945,0.010000000000000002
3,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.09782657024935203,1.7571485492236978,0.47533885504386725,0.010000000000000007
4,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.03355137155586241,0.9418827435665096,0.6589961782465366,0.010000000000000002
5,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.7743251903929718,0.6727958394330722,0.6840267361638134,0.010000000000000014
6,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.0384620203822017,1.830894450473965,0.6397417711028321,0.010000000000000004
7,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.07010110698249186,0.3163416167557991,0.6691443582689033,0.010000000000000007
8,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.14494554215909333,1.7615241455118826,0.6053258197314213,0.010000000000000012
9,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.015093527620554742,0.6771166365234722,0.6639077706266657,0.010000000000000009
10,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.5580985078400779,1.3079951208597622,0.6821565285888412,0.010000000000000007
11,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.9938490277177208,2.741771000407182,0.6188673489964158,0.010000000000000005
12,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.8966484442953238,3.1043139193093525,0.4810846258314838,0.01
13,15.435174011529034,1.8000000000000012,1.5,true,5,8,5,1.9939229340862816,0.9999999999999993,6,0.042032482238194606,0.02,1.0,0.18797833755310062,2.706982657655821,0.6642716223965354,0.010000000000000021
14,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,2,0.04203248223819459,0.02,1.0,0.004066868434509541,0.8108806666400692,0.6671878707915041,0.01000000000000002
15,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.44997090607344337,2.765167261195076,0.5610233940167235,0.01000000000000001
16,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.4459109889959415,1.1905135995449434,0.2684512887429924,0.01000000000000001
17,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.7674520980586927,2.7181355631438087,0.47533885504386725,0.010000000000000005
18,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.9876316760962842,2.9688508794746173,0.6922616928606266,0.010000000000000009
19,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.20849120198773632,1.8554674269609581,0.693736252576764,0.010000000000000005
20,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.8892679059207469,3.4596813970267597,0.6932080009297317,0.010000000000000005
21,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.25257166700157996,0.9203534556712063,0.6110058790674824,0.010000000000000005
22,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5698095081816833,0.7986212680603835,0.6851478192956896,0.010000000000000005
23,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.5058959782035493,1.1814354127449087,0.6751941738641241,0.01
24,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.6982590342449968,2.6978830146200936,0.47867033941636333,0.010000000000000005
25,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.9349906470051952,1.1510424018261172,0.6748710150346808,0.010000000000000014
26,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.07609090303621721,2.105105507798382,0.6059882353797948,0.01000000000000001
27,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.8158268193763608,2.9524734969230915,0.6836237693267944,0.010000000000000005
28,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.7265065841419687,2.374723209467768,0.6873209946127848,0.010000000000000016
29,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.7420714868032855,2.9564683417378568,0.6290029367369396,0.010000000000000004
30,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.43737462441654407,1.8151618758222248,0.4892180150633289,0.010000000000000005
31,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.23330598100034158,1.6573712362496167,0.5387100968141731,0.01000000000000001
32,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.0427355777090227,1.649678909025593,0.6783467981263315,0.010000000000000009
33,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.8070688232368302,1.2118597556774067,0.6680851810513,0.010000000000000004
34,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.2978391540117984,0.6740614236056566,0.5546907964875242,0.010000000000000009
35,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.1738403924392288,2.6557400037802052,0.6606217084679009,0.010000000000000002
36,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,2,0.04203248223819459,0.02,1.0,0.03409846842550825,1.412023743819521,0.6975664605081884,0.01000000000000002
37,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.21326835136020833,0.7968963165502582,0.6481897535014237,0.010000000000000007
38,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.42556854602516003,1.0968697108464416,0.5139938610465296,0.010000000000000007
39,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.81541955826001,1.461154319270722,0.6933285278388532,0.010000000000000009
40,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.3026869768116572,0.6637798317509174,0.5935629282885994,0.01000000000000001
41,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.10023649335616305,0.4847860710199435,0.5500971769247897,0.010000000000000023
42,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.7715616671285288,3.423429851383786,0.5016791558800151,0.01
43,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.560373050630074,0.6236366478876063,0.5798127930710255,0.010000000000000005
44,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.09879328974218436,3.477106320565954,0.650987511663745,0.010000000000000012
45,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.23914503846206742,0.4609688329651791,0.6168292712875142,0.010000000000000014
46,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.11981470989498905,0.6285199533435726,0.5402552424503512,0.010000000000000004
47,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.7273001838264366,0.6733454233306939,0.6702307898434539,0.010000000000000005
48,15.435174011529034,1.8000000000000014,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,6,0.0420324822381946,0.02,1.0,0.021313530300413053,0.3291560493740548,0.5595854755528842,0.010000000000000009
49,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862805,0.9999999999999999,2,0.0420324822381946,0.02,1.0,0.6425151294649746,0.6340591630819232,0.669891303539225,0.010000000000000012
50,15.435174011529034,1.8000000000000012,1.5,true,5,8,5,1.9939229340862816,0.9999999999999993,6,0.042032482238194606,0.02,1.0,0.30400727454820015,2.8510346202105765,0.6750442405118381,0.01000000000000002
51,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.5897598872966499,2.5532062217807274,0.5871054123797863,0.010000000000000009
52,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.13365118395166226,0.43650502610648256,0.6864619292806277,0.010000000000000007
53,15.435174011529034,1.8000000000000005,1.5,true,5,8,5,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.834317469284282,2.9839213810013296,0.6870725488570177,0.010000000000000007
