rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.3214537448335446,1.3354573505137979,0.3151866761791671,0.010000000000000002
2,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.0420324822381946,0.02,0.9999999999999999,0.771175286320589,1.3641695876038546,0.3149676338799415,0.010000000000000012
3,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.0420324822381946,0.02,0.9999999999999998,0.935056329483356,1.330804780237516,0.4131981536276742,0.010000000000000004
4,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862805,0.9999999999999999,2,0.042032482238194606,0.02,0.9999999999999997,0.8593733186180594,2.374175588425728,0.32959605574449896,0.01000000000000001
5,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.9481494537802193,2.4724540849974095,0.692212332653132,0.01000000000000001
6,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.9752868323287501,1.0503988056180975,0.545519627504589,0.01000000000000002
7,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000007,1.0,0.112563947760172,2.594660218841553,0.29816631984926045,0.010000000000000016
8,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.8730172770501113,2.1908546402688933,0.6629845713741563,0.010000000000000016
9,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.0420324822381946,0.02,0.9999999999999998,0.503418000840372,2.521547843884553,0.4949510177052926,0.010000000000000016
10,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.0420324822381946,0.02,0.9999999999999997,0.45991431104968805,1.0276831874075363,0.4967686135368817,0.010000000000000004
11,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.03603475890868296,1.2556005057075963,0.10946741632200904,0.010000000000000004
12,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.998767941711236,0.6955812684604005,0.46563945086942915,0.010000000000000005
13,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.4416340431309052,1.2342456839636298,0.6610065254798849,0.010000000000000016
14,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.020000000000000004,1.0,0.02848792536768844,0.6555012860435512,0.31780701717041043,0.010000000000000007
15,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.0420324822381946,0.02,0.9999999999999998,0.6772495362656379,1.37977077462233,0.2013286648209756,0.010000000000000012
16,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.0420324822381946,0.02,0.9999999999999998,0.01831897256869152,3.2503356515011133,0.629294813118988,0.010000000000000021
17,15.435174011529034,1.800000000000002,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.042032482238194606,0.02,0.9999999999999997,0.14029734462450993,1.342309176897222,0.1313978018561644,0.010000000000000002
18,15.435174011529034,1.8000000000000005,1.5,true,5,8,3,1.9939229340862803,1.0,2,0.04203248223819459,0.02,1.0,0.09214951050180017,1.499022773130637,0.2688329999272235,0.010000000000000005
