rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,400.71927525378663,1.8000000000000036,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.1628380096219711,0.020000000000000004,0.2,0.033336295274679933,0.6759545291446649,0.30704445055060303,0.010000000000003319
2,400.71927525378663,1.800000000000001,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.162838009621971,0.02000000000000002,0.19999999999999998,0.677276686642228,0.7270635779379414,0.10189830968426877,0.010000000000003333
3,400.71927525378663,1.8000000000000007,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.162838009621971,0.020000000000000025,0.19999999999999996,0.1734086868754766,3.1301513846851923,0.3585485461031398,0.010000000000003078
4,400.71927525378663,1.8000000000000014,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.16283800962197106,0.02000000000000001,0.19999999999999993,0.044762804569857845,1.0716945273079712,0.1587301324264283,0.010000000000003121
5,400.71927525378663,1.8000000000000007,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.162838009621971,0.020000000000000025,0.19999999999999996,0.03422478164398679,3.1301513846851923,0.42909612959850785,0.010000000000003078
6,400.71927525378663,1.8000000000000023,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.16283800962197106,0.02000000000000001,0.19999999999999998,0.24986655321026185,1.9888314263913323,0.47525356514838113,0.010000000000003242
7,400.71927525378663,1.8000000000000027,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.1628380096219711,0.02,0.19999999999999998,0.11753696436269839,2.583548257195636,0.2021168718920966,0.010000000000003114
8,400.71927525378663,1.8000000000000014,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.1628380096219711,0.020000000000000004,0.1999999999999999,0.159266102138463,2.5580825839221175,0.11269215822652812,0.010000000000003234
9,400.71927525378663,1.8000000000000014,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.16283800962197104,0.020000000000000007,0.2,0.8942838551921386,2.3216004903402925,0.25415408139677076,0.01000000000000657
10,400.71927525378663,1.8000000000000005,2.0642815650411737,true,5,8,3,5.366563145999495,1.0,2,0.162838009621971,0.020000000000000014,0.19999999999999998,0.044762804569857845,0.6071802280384287,0.15405373966152805,0.010000000000006561
