rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,1,4.458547222512757,1.0,2,0.08785687349603796,0.020000000000000046,1.0,0.5400821770883617,1.413717176439576,0.4903466613489342,0.010000000000000162
2,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,1,4.458547222512757,1.0,2,0.08785687349603796,0.02000000000000001,1.0,0.7029574466527329,2.678314318067386,0.22258273506495246,0.010000000000000276
3,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603791,0.02000000000000001,1.0,0.9201584642508219,1.0659661388708417,0.5127588015578465,0.010000000000000009
4,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999998,2,0.08785687349603796,0.020000000000000028,1.0,0.009199895514593298,3.145450115984825,0.4626856228620497,0.01000000000000004
5,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603792,0.02000000000000006,1.0,0.5770365224884368,1.672758475159445,0.6806559876933584,0.010000000000000196
6,145.88103063946073,1.800000000000003,1.5000000000000004,true,5,8,1,4.458547222512759,0.9999999999999996,6,0.08785687349603796,0.020000000000000035,1.0,0.1010027675812583,0.7419511709665272,0.5471199471466719,0.010000000000000142
7,145.88103063946073,1.800000000000004,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603796,0.020000000000000007,1.0,0.46986135440027044,2.3020182997087035,0.6741075698957635,0.010000000000000233
8,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.02000000000000001,1.0,0.9059146622552701,1.6322260225832783,0.5206434342131935,0.010000000000000057
9,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603791,0.020000000000000063,1.0,0.9909622271277512,3.0329008721165147,0.615016115290445,0.010000000000000123
10,145.88103063946073,1.800000000000004,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603796,0.02000000000000004,1.0,0.06568473183837253,1.1521267566760542,0.07853276421703928,0.010000000000000255
11,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603791,0.02000000000000002,1.0,0.8987172163374539,1.0373914606327403,0.6571617054898153,0.010000000000000026
12,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.020000000000000066,1.0,0.4478258142499055,2.286990045558177,0.07533267229493397,0.010000000000000096
13,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512757,1.0,2,0.08785687349603792,0.020000000000000018,1.0,0.6649110143793897,0.45683993674433077,0.4360575566098245,0.010000000000000016
14,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.020000000000000007,1.0,0.8987172163374539,0.8501334253344098,0.2504988857296442,0.010000000000000035
15,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603792,0.020000000000000004,1.0,0.6440585641175549,0.7572656152067099,0.5478085262125373,0.010000000000000293
16,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,1,4.458547222512757,1.0,2,0.08785687349603796,0.020000000000000042,1.0,0.869195247991454,0.46372598436742335,0.03580810656710269,0.010000000000000078
17,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603791,0.020000000000000018,1.0,0.8852710240783446,1.27428690372865,0.5501706877061946,0.010000000000000064
18,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999999,2,0.08785687349603791,0.020000000000000056,1.0,0.16450208900555952,1.0373914606327403,0.6266256974917392,0.010000000000000165
19,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.02000000000000004,1.0,0.6606917563206491,3.4580840880058634,0.003367929340728458,0.010000000000000196
20,145.88103063946073,1.800000000000001,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603792,0.020000000000000004,1.0,0.3133468055696627,0.508205478240365,0.5107568235940647,0.010000000000000007
21,145.88103063946073,1.8000000000000003,1.5000000000000004,true,5,8,1,4.458547222512759,0.9999999999999997,6,0.08785687349603792,0.02000000000000001,1.0,0.6194633583655027,2.6321168422173624,0.5973912579489135,0.010000000000000089
22,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603791,0.02000000000000002,1.0,0.3382152789259548,3.3005271876552618,0.535610561796304,0.01000000000000029
23,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512757,1.0,2,0.08785687349603791,0.020000000000000028,1.0,0.9872491422443654,0.35661807648732646,0.5854417926379445,0.010000000000000215
24,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603792,0.020000000000000014,1.0,0.9440264938518392,2.719567636781754,0.1546275032997921,0.010000000000000286
25,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,1,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.020000000000000046,1.0,0.7745477742790656,2.2101382489629042,0.024176072547182903,0.010000000000000054
26,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,1,4.458547222512758,1.0,2,0.08785687349603792,0.02000000000000002,1.0,0.8879510811711074,3.0373689659790815,0.5111500825999007,0.010000000000000106
