rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603791,0.02000000000000003,1.0,0.8086795420897548,3.3318805472352495,0.33828332988144655,0.010000000000000148
2,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603796,0.020000000000000046,1.0,0.7928901605093094,3.2870366449455597,0.08435726945986646,0.010000000000000083
3,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603796,0.02,1.0,0.17522202592927658,1.83178680100112,0.01805502637974793,0.010000000000000227
4,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.020000000000000018,1.0,0.9739844465577997,1.8935074792712197,0.25462960221610714,0.010000000000000089
5,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603791,0.020000000000000004,1.0,0.7765096904560147,3.0591330123867113,0.05300547729681797,0.010000000000000005
6,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,4,4.458547222512758,1.0,2,0.08785687349603791,0.02000000000000006,1.0,0.5048782324631735,3.1804906680394955,0.46089161847808696,0.010000000000000182
7,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603792,0.02000000000000006,1.0,0.5411244836042142,2.7090950087625285,0.12054389863057219,0.010000000000000078
8,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603792,0.02000000000000002,1.0,0.9837379012796108,2.788355921302084,0.18037012670817879,0.010000000000000264
9,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603792,0.020000000000000066,1.0,0.11634749340117034,1.7330751932956514,0.07559333142372501,0.010000000000000064
10,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512758,0.9999999999999999,2,0.08785687349603792,0.02000000000000001,1.0,0.8953971291781876,0.5586781173442076,0.07481140912320247,0.010000000000000262
11,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,4,4.458547222512758,1.0,2,0.08785687349603792,0.020000000000000046,1.0,0.7308041932850302,2.988945736527521,0.3503588165108511,0.0100000000000002
12,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603792,0.020000000000000035,1.0,0.11634749340117034,3.212939302266011,0.4899528357481103,0.010000000000000064
13,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603791,0.020000000000000028,1.0,0.7536197962918271,1.9086451597838943,0.3367748248806284,0.010000000000000099
14,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603791,0.020000000000000018,1.0,0.7824319543535964,2.9151452455749087,0.34314903695935706,0.010000000000000089
15,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,4,4.458547222512758,1.0,2,0.08785687349603791,0.020000000000000025,1.0,0.6481569911315606,1.1438061586446302,0.0366134990070693,0.010000000000000174
16,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603796,0.02000000000000001,1.0,0.227704369988748,2.7090950087625285,0.11986374810971395,0.010000000000000012
17,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,4,4.458547222512758,0.9999999999999998,2,0.08785687349603792,0.020000000000000025,1.0,0.8548308137850592,2.9358462159844576,0.13426171754145147,0.010000000000000016
18,145.88103063946073,1.800000000000004,1.5000000000000013,true,5,8,4,4.458547222512758,1.0,2,0.08785687349603796,0.020000000000000042,1.0,0.42316149822180793,2.292684960478281,0.25508126864416414,0.010000000000000184
19,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,4,4.458547222512757,1.0,2,0.08785687349603796,0.02000000000000003,1.0,0.2906263624916635,2.18790089500494,0.17170011105297223,0.010000000000000177
