rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,145.88103063946073,1.8000000000000023,1.5000000000000004,true,5,8,5,4.458547222512759,0.9999999999999996,2,0.08785687349603799,0.020000000000000046,0.9999999999999989,0.034579679511326025,0.6008683178083389,0.49562920348076095,0.01000000000000011
2,145.88103063946073,1.800000000000004,1.5000000000000013,true,5,8,5,4.458547222512758,1.0,2,0.087856873496038,0.020000000000000025,0.999999999999999,0.47824223684346867,1.6654242496238376,0.29090363014294174,0.010000000000000075
3,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,5,4.458547222512758,1.0,2,0.0878568734960379,0.020000000000000052,0.9999999999999999,0.27432057706934515,0.5884167096087983,0.2977190812075161,0.010000000000000234
4,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,5,4.458547222512758,1.0,2,0.08785687349603793,0.02000000000000001,0.9999999999999997,0.7265825212181103,1.8301525173625923,0.010659674276590023,0.010000000000000064
5,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,5,4.458547222512758,0.9999999999999999,2,0.08785687349603791,0.020000000000000042,1.0,0.8416431627155647,3.244203056079751,0.06253126844273804,0.010000000000000045
6,145.88103063946073,1.8000000000000023,1.5000000000000004,true,5,8,5,4.458547222512757,1.0,2,0.08785687349603795,0.02000000000000004,0.9999999999999994,0.9653901864801836,0.6844385754187291,0.17442817230045266,0.010000000000000026
7,145.88103063946073,1.8000000000000038,1.5000000000000004,true,5,8,5,4.458547222512757,1.0,2,0.08785687349603796,0.020000000000000025,1.0,0.7759703690064289,3.0044072234363046,0.17801951244832406,0.01000000000000024
8,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,5,4.458547222512757,1.0,2,0.08785687349603796,0.020000000000000004,0.999999999999999,0.4507741515449579,3.2266209286964522,0.040703131560635986,0.010000000000000014
9,145.88103063946073,1.8000000000000012,1.5000000000000004,true,5,8,5,4.458547222512759,0.9999999999999997,2,0.08785687349603796,0.020000000000000004,0.9999999999999996,0.9180341931868696,1.3913415764390202,0.46764527256748323,0.010000000000000278
10,145.88103063946073,1.8000000000000014,1.5000000000000013,true,5,8,5,4.458547222512758,1.0,2,0.08785687349603792,0.02000000000000002,1.0,0.6144074741894071,1.7363892370518188,0.14281280137723767,0.010000000000000248
