rank,mass_kg,min_fos,torsional_fos,feasible,n_rings,n_lines,axial_idx,r_hub_m,taper,worst_ring,Do_top_m,t_over_D,beam_aspect,Do_scale_exp,profile_exp,straight_frac,knuckle_mass_kg
1,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,5,0.08785687349603791,0.02,1.0,0.9209960027934563,1.836072242669186,0.1113689895031214,0.010000000000000134
2,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9986283530506282,2.424010612995682,0.25523772029717606,0.010000000000000132
3,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9222597343260833,3.292284555435028,0.02916103408040055,0.010000000000000142
4,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9992931720512714,2.6309739905545677,0.177234967453284,0.010000000000000056
5,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9766023795061037,3.3980792926682124,0.1298691456362388,0.01000000000000002
6,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,5,0.08785687349603791,0.02,1.0,0.882956151167442,1.762015926605957,0.04087331141403462,0.01000000000000022
7,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9878120941631465,3.0312355441606966,0.09145811803594348,0.010000000000000002
8,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999997,4,0.08785687349603791,0.02,1.0,0.977010329331796,2.116890798450613,0.48896604552758927,0.010000000000000188
9,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.8831371683988432,2.3652832516318636,0.009078274147710418,0.01000000000000001
10,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9490898712950548,2.3268912524878624,0.13806773976978265,0.010000000000000073
11,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9865483626305195,2.981316598912765,0.1736660734586643,0.010000000000000054
12,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.952741701164684,2.6067449208877145,0.21162976152829602,0.010000000000000231
13,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9871297229210692,2.4009475685510915,0.20856341785886942,0.010000000000000007
14,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999997,4,0.08785687349603791,0.02,1.0,0.9509138957362704,2.5255008736544062,0.012791214632796297,0.010000000000000217
15,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999996,4,0.08785687349603791,0.02,1.0,0.9444817231859428,3.334122284906001,0.09934357449802278,0.01000000000000021
16,145.8810306394607,1.8000000000000003,1.5000000000000004,true,5,8,4,4.458547222512759,0.9999999999999997,5,0.08785687349603791,0.02,1.0,0.9970896354064079,1.9602288760868625,0.26368155631624557,0.010000000000000253
