island,iteration,mass_kg
1,1,1.0e6
1,2,1.0e6
1,3,1.0e6
1,4,1.0e6
1,5,1.0e6
1,6,1.0e6
1,7,1.0e6
1,8,1.0e6
1,9,1.0e6
1,10,1.0e6
1,11,1.0e6
1,12,1.0e6
1,13,1.0e6
1,14,1.0e6
1,15,1.0e6
1,16,1.0e6
1,17,1.0e6
1,18,1.0e6
1,19,1.0e6
1,20,1.0e6
1,21,1.0e6
1,22,1.0e6
1,23,1.0e6
1,24,1.0e6
1,25,1.0e6
1,26,1.0e6
1,27,1.0e6
1,28,1.0e6
1,29,1.0e6
1,30,1.0e6
1,31,1.0e6
1,32,1.0e6
1,33,1.0e6
1,34,1.0e6
1,35,1.0e6
1,36,1.0e6
1,37,1.0e6
1,38,1.0e6
1,39,1.0e6
1,40,1.0e6
1,41,1.0e6
1,42,1.0e6
1,43,1.0e6
1,44,1.0e6
1,45,1.0e6
1,46,1.0e6
1,47,1.0e6
1,48,1.0e6
1,49,1.0e6
1,50,1.0e6
1,51,1.0e6
1,52,1.0e6
1,53,1.0e6
1,54,1.0e6
1,55,1.0e6
1,56,1.0e6
1,57,5092.410653258056
1,58,5092.410653258056
1,59,5092.410653258056
1,60,5092.410653258056
1,61,5092.410653258056
1,62,5092.410653258056
1,63,5092.410653258056
1,64,5092.410653258056
1,65,995.5242763255444
1,66,995.5242763255444
1,67,995.5242763255444
1,68,995.5242763255444
1,69,995.5242763255444
1,70,995.5242763255444
1,71,995.5242763255444
1,72,995.5242763255444
1,73,995.5242763255444
1,74,995.5242763255444
1,75,995.5242763255444
1,76,995.5242763255444
1,77,995.5242763255444
1,78,995.5242763255444
1,79,995.5242763255444
1,80,995.5242763255444
1,81,995.5242763255444
1,82,995.5242763255444
1,83,995.5242763255444
1,84,995.5242763255444
1,85,995.5242763255444
1,86,995.5242763255444
1,87,995.5242763255444
1,88,995.5242763255444
1,89,995.5242763255444
1,90,995.5242763255444
1,91,995.5242763255444
1,92,995.5242763255444
1,93,995.5242763255444
1,94,995.5242763255444
1,95,995.5242763255444
1,96,995.5242763255444
1,97,995.5242763255444
1,98,995.5242763255444
1,99,995.5242763255444
1,100,995.5242763255444
1,101,1.0e6
1,102,1.0e6
1,103,1.0e6
1,104,1.0e6
1,105,1.0e6
1,106,1.0e6
1,107,1.0e6
1,108,1.0e6
1,109,1.0e6
1,110,1.0e6
1,111,1.0e6
1,112,1.0e6
1,113,1.0e6
1,114,1.0e6
1,115,5517.933097907588
1,116,5517.933097907588
1,117,5517.933097907588
1,118,5517.933097907588
1,119,5517.933097907588
1,120,985.7981409774036
1,121,985.7981409774036
1,122,985.7981409774036
1,123,985.7981409774036
1,124,985.7981409774036
1,125,985.7981409774036
1,126,985.7981409774036
1,127,985.7981409774036
1,128,985.7981409774036
1,129,985.7981409774036
1,130,985.7981409774036
1,131,985.7981409774036
