island,iteration,fitness
1,1,-2.101125456834043
1,2,-2.101125456834043
1,3,-2.101125456834043
1,4,-2.101125456834043
1,5,-2.101125456834043
1,6,-2.101125456834043
1,7,-2.101125456834043
1,8,-2.101125456834043
1,9,-2.101125456834043
1,10,-2.101125456834043
1,11,-2.101125456834043
1,12,-2.101125456834043
1,13,-3.577993956954241
1,14,-3.577993956954241
1,15,-3.577993956954241
1,16,-3.577993956954241
1,17,-3.577993956954241
1,18,-3.577993956954241
1,19,-3.577993956954241
1,20,-3.577993956954241
1,21,-3.577993956954241
1,22,-3.577993956954241
1,23,-3.577993956954241
1,24,-3.577993956954241
1,25,-3.577993956954241
1,26,-3.577993956954241
1,27,-3.577993956954241
1,28,-3.577993956954241
1,29,-3.577993956954241
1,30,-3.577993956954241
2,1,2.911427566083976
2,2,2.911427566083976
2,3,-1.4169353977494494
2,4,-1.4169353977494494
2,5,-1.6713438778511263
2,6,-1.9047259255870967
2,7,-1.9047259255870967
2,8,-1.9991467193151973
2,9,-2.0170311703412658
2,10,-2.4679331708309054
2,11,-2.4679331708309054
2,12,-2.4679331708309054
2,13,-2.4679331708309054
2,14,-2.4679331708309054
2,15,-2.4679331708309054
2,16,-3.9669052823461963
2,17,-3.9669052823461963
2,18,-4.490695649074223
2,19,-4.490695649074223
2,20,-4.490695649074223
2,21,-4.490695649074223
2,22,-4.490695649074223
2,23,-4.490695649074223
2,24,-4.490695649074223
2,25,-4.490695649074223
2,26,-4.490695649074223
2,27,-4.673634510074788
2,28,-4.673634510074788
2,29,-4.673634510074788
2,30,-4.673634510074788
