# v12_5kw_v3 telemetry  length=21.0  min_clearance=1.5
island,gen,idx,fitness,status,P_kW,FoS,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,lam_top,lam_bot,clearance,tether
1,0,1,1.0e9,reject,0.0,0.0,6,0,0,0.91,0.63,15.0,15.0,0.519,0.1,3.63,21.0
1,0,2,1.0e9,reject,0.0,0.0,13,0,0,1.25,0.62,0.7,1.7,0.699,0.517,1.69,21.0
1,0,3,1.0e9,reject,0.0,0.0,9,0,0,2.1,0.36,15.6,17.4,0.17,0.711,7.65,21.0
1,0,4,1.0e9,clearance_reject,0.0,0.0,9,0,0,1.8,0.93,12.0,18.6,0.907,0.705,0.44,21.0
1,0,5,1.0e9,reject,0.0,0.0,7,0,0,0.58,0.32,1.5,11.1,0.562,0.379,2.4,21.0
1,0,6,1.0e9,clearance_reject,0.0,0.0,14,0,0,0.98,0.88,16.5,3.3,0.307,0.615,-2.49,21.0
1,0,7,1.0e9,reject,0.0,0.0,3,0,0,0.6,0.93,2.6,20.0,0.699,0.511,3.25,21.0
1,0,8,1.0e9,reject,0.0,0.0,6,0,0,1.05,0.32,11.5,3.1,0.732,0.975,5.48,21.0
1,0,9,1.0e9,clearance_reject,0.0,0.0,7,0,0,0.91,0.52,16.3,21.2,0.377,0.518,-1.34,21.0
1,0,10,5.183,ok,14.38,4.46,12,0,0,1.6,0.49,18.1,9.9,0.698,0.093,3.15,21.0
1,1,1,1.0e9,reject,0.0,0.0,16,0,0,0.91,0.63,3.5,17.5,0.881,0.348,5.12,21.0
1,1,2,1.0e9,reject,0.0,0.0,3,0,0,0.29,0.5,0.0,22.0,0.894,0.331,4.2,21.0
1,1,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,0.89,0.95,19.5,14.8,0.104,0.711,0.76,21.0
1,1,4,1.0e9,reject,0.0,0.0,9,0,0,0.64,0.93,2.7,7.4,0.65,0.579,5.48,21.0
1,1,5,1.0e9,reject,0.0,0.0,8,0,0,1.24,0.32,19.5,0.7,0.562,0.995,5.97,21.0
1,1,6,1.0e9,clearance_reject,0.0,0.0,5,0,0,0.99,0.88,16.5,22.0,0.93,0.615,0.63,21.0
1,1,7,1.0e9,clearance_reject,0.0,0.0,3,0,0,1.75,0.6,2.6,0.7,0.588,1.0,-2.76,21.0
1,1,8,1.0e9,reject,0.0,0.0,15,0,0,1.45,0.43,11.5,2.4,0.639,0.621,3.02,21.0
1,1,9,1.0e9,clearance_reject,0.0,0.0,11,0,0,1.22,0.52,8.6,21.2,0.12,0.714,-0.42,21.0
1,1,10,1.0e9,reject,0.0,0.0,16,0,0,1.23,0.63,1.0,13.5,0.849,0.194,3.74,21.0
1,2,1,1.0e9,reject,0.0,0.0,9,0,0,0.2,0.86,3.5,21.4,0.85,0.142,4.57,21.0
1,2,2,1.0e9,reject,0.0,0.0,5,0,0,0.2,0.95,0.0,22.0,0.858,0.111,5.13,21.0
1,2,3,1.0e9,clearance_reject,0.0,0.0,14,0,0,2.2,0.32,22.0,9.3,0.104,0.555,0.11,21.0
1,2,4,1.0e9,reject,0.0,0.0,16,0,0,0.48,0.68,15.7,22.0,0.545,0.05,5.41,21.0
1,2,5,1.0e9,clearance_reject,0.0,0.0,6,0,0,0.83,0.77,7.6,0.7,0.562,0.995,0.54,21.0
1,2,6,1.0e9,reject,0.0,0.0,16,0,0,0.99,0.74,10.4,18.5,0.93,0.615,3.29,21.0
1,2,7,5.717,ok,13.47,13.53,6,0,0,1.75,0.6,2.6,22.0,0.588,0.393,6.06,21.0
1,2,8,1.0e9,clearance_reject,0.0,0.0,14,0,0,1.41,0.43,16.8,13.7,0.639,0.41,-0.9,21.0
1,2,9,1.0e9,reject,0.0,0.0,16,0,0,2.2,0.32,22.0,17.9,0.154,0.168,2.75,21.0
1,2,10,1.138,ok,18.13,3.29,12,0,0,1.6,0.62,18.1,9.9,0.353,0.636,6.66,21.0
1,3,1,1.0e9,reject,0.0,0.0,9,0,0,0.2,0.95,0.0,22.0,1.0,0.05,3.88,21.0
1,3,2,1.0e9,reject,0.0,0.0,6,0,0,0.28,0.94,0.0,22.0,1.0,0.05,4.41,21.0
1,3,3,6.479,ok,8.6,1.5,6,0,0,2.2,0.69,4.2,19.2,0.739,0.129,5.45,21.0
1,3,4,1.0e9,reject,0.0,0.0,11,0,0,0.48,0.95,4.0,22.0,1.0,0.164,3.57,21.0
1,3,5,1.0e9,clearance_reject,0.0,0.0,6,0,0,1.96,0.6,5.5,22.0,0.588,0.995,-3.31,21.0
1,3,6,7.213,ok,21.11,5.9,10,0,0,1.1,0.9,11.2,14.4,0.549,0.503,5.84,21.0
1,3,7,-0.201,ok,15.11,3.2,16,0,0,1.87,0.32,22.0,12.9,0.185,0.05,7.41,21.0
1,3,8,1.0e9,clearance_reject,0.0,0.0,16,0,0,2.2,0.32,22.0,3.6,0.104,0.503,-1.44,21.0
1,3,9,1.0e9,reject,0.0,0.0,7,0,0,2.2,0.72,0.0,22.0,0.154,0.05,2.75,21.0
1,3,10,1.0e9,reject,0.0,0.0,9,0,0,0.2,0.62,1.0,22.0,0.353,0.718,3.41,21.0
1,4,1,1.0e9,reject,0.0,0.0,10,0,0,2.2,0.39,9.3,17.3,0.104,0.05,7.94,21.0
1,4,2,1.0e9,reject,0.0,0.0,10,0,0,0.28,0.32,12.0,11.4,0.418,0.129,6.46,21.0
1,4,3,1.0e9,reject,0.0,0.0,6,0,0,0.33,0.69,7.6,22.0,1.0,0.778,3.15,21.0
1,4,4,1.0e9,reject,0.0,0.0,8,0,0,0.48,0.54,9.3,10.6,0.414,1.0,6.61,21.0
1,4,5,4.109,ok,12.71,4.28,13,0,0,1.96,0.32,17.5,16.0,0.588,0.05,1.63,21.0
1,4,6,0.019,ok,15.74,2.47,16,0,0,1.73,0.32,22.0,0.0,0.26,0.963,6.99,21.0
1,4,7,1.0e9,clearance_reject,0.0,0.0,16,0,0,1.6,0.32,12.0,16.6,0.179,0.05,1.26,21.0
1,4,8,1.0e9,clearance_reject,0.0,0.0,16,0,0,1.68,0.32,22.0,4.9,0.311,0.503,-1.99,21.0
1,4,9,1.0e9,reject,0.0,0.0,7,0,0,2.2,0.72,22.0,22.0,0.154,0.401,7.78,21.0
1,4,10,1.0e9,reject,0.0,0.0,4,0,0,1.6,0.69,18.1,22.0,0.967,0.05,2.75,21.0
1,5,1,1.0e9,reject,0.0,0.0,10,0,0,0.4,0.32,12.0,17.3,0.337,0.05,6.84,21.0
1,5,2,1.0e9,reject,0.0,0.0,6,0,0,0.2,0.43,5.4,16.1,0.456,0.542,6.59,21.0
1,5,3,1.0e9,clearance_reject,0.0,0.0,16,0,0,2.2,0.69,22.0,19.2,0.243,1.0,-4.61,21.0
1,5,4,1.0e9,reject,0.0,0.0,10,0,0,2.2,0.54,22.0,22.0,0.104,0.05,2.21,21.0
1,5,5,1.0e9,clearance_reject,0.0,0.0,16,0,0,1.79,0.32,22.0,0.0,0.588,0.859,-3.73,21.0
1,5,6,0.577,ok,13.35,6.59,16,0,0,2.2,0.46,22.0,8.0,0.157,0.963,7.56,21.0
1,5,7,1.0e9,reject,0.0,0.0,4,0,0,1.87,0.32,5.4,16.1,0.185,0.74,7.75,21.0
1,5,8,1.0e9,reject,0.0,0.0,16,0,0,0.28,0.32,14.4,4.9,0.162,0.539,4.81,21.0
