island,iteration,fitness
1,1,-4.3432939992303154
1,2,-5.311575985550675
1,3,-5.311575985550675
1,4,-5.311575985550675
1,5,-5.5225267905029956
1,6,-5.5225267905029956
1,7,-5.5225267905029956
1,8,-5.5225267905029956
1,9,-5.5225267905029956
1,10,-5.918193550847306
1,11,-6.102737077038592
1,12,-6.102737077038592
1,13,-6.187263445060747
1,14,-6.187263445060747
1,15,-6.187263445060747
1,16,-6.187263445060747
1,17,-6.187263445060747
1,18,-6.187263445060747
1,19,-6.195440311790846
1,20,-6.195440311790846
1,21,-6.195440311790846
1,22,-6.229263763055633
1,23,-6.229263763055633
1,24,-6.229263763055633
1,25,-6.229263763055633
1,26,-6.229263763055633
1,27,-6.232781151114717
1,28,-6.232781151114717
1,29,-6.232781151114717
1,30,-6.232781151114717
2,1,-4.767392864064489
2,2,-5.384439345834275
2,3,-5.591661507913453
2,4,-5.591661507913453
2,5,-5.591661507913453
2,6,-5.761277567996801
2,7,-5.761277567996801
2,8,-5.761277567996801
2,9,-5.761277567996801
2,10,-5.761277567996801
2,11,-6.054198131546838
2,12,-6.164460632335964
2,13,-6.164460632335964
2,14,-6.164460632335964
2,15,-6.186007439918446
2,16,-6.186007439918446
2,17,-6.186007439918446
2,18,-6.197272289812222
2,19,-6.218773109216788
2,20,-6.218773109216788
2,21,-6.231864594120887
2,22,-6.231864594120887
2,23,-6.23378060413025
2,24,-6.23378060413025
2,25,-6.23378060413025
2,26,-6.23378060413025
2,27,-6.23378060413025
2,28,-6.23378060413025
2,29,-6.23378060413025
2,30,-6.23378060413025
3,1,-5.762115721534737
3,2,-5.762115721534737
3,3,-5.997785295341972
3,4,-6.089359552542944
3,5,-6.089359552542944
3,6,-6.110418921866813
3,7,-6.131063048262615
3,8,-6.131063048262615
3,9,-6.140823321566729
3,10,-6.140823321566729
3,11,-6.181044355636411
3,12,-6.181044355636411
3,13,-6.181044355636411
3,14,-6.181523466243699
3,15,-6.188271680437946
3,16,-6.188551106438404
3,17,-6.188551106438404
3,18,-6.191022817893819
3,19,-6.195285569995268
3,20,-6.198476035027484
3,21,-6.198476035027484
3,22,-6.209675917775014
3,23,-6.209675917775014
3,24,-6.209675917775014
3,25,-6.220776440454604
3,26,-6.220776440454604
3,27,-6.220776440454604
3,28,-6.220776440454604
3,29,-6.220776440454604
3,30,-6.220986488005549
