island,gen,idx,status,fitness,n_lines,rings,n_active,r_hub,r_bot,tether,m_airborne_kg,T_mass_1p5_N,T_rotary_actual_N,ratio
1,0,1,clearance_reject,1.0e9,6,7,3,0.914,0.914,25.0,79.63674540569396,1247.0617335110182,2224.412579644859,1.7837229063088762
1,0,2,ok,10.242,13,6,2,1.491,1.491,25.0,164.36053922311294,2573.783470434565,2224.412579644859,0.8642578543210873
1,0,3,clearance_reject,1.0e9,9,5,2,2.128,1.5,25.0,116.69834350613219,1827.423230435233,2224.412579644859,1.2172399598505026
1,0,4,clearance_reject,1.0e9,9,5,2,1.896,1.5,25.0,115.81567277048941,1813.6011575704695,2224.412579644859,1.2265169606666546
1,0,5,clearance_reject,1.0e9,7,7,2,0.982,0.982,25.0,91.32011486461556,1430.016007903687,2224.412579644859,1.555515859508249
1,0,6,clearance_reject,1.0e9,14,6,2,1.285,1.285,25.0,177.8972068040641,2785.7592368156,2224.412579644859,0.798494195136398
1,0,7,clearance_reject,1.0e9,3,6,2,0.996,0.996,25.0,42.89168863580413,671.657076276705,2224.412579644859,3.311827803521063
1,0,8,ok,5.459,6,5,1,1.337,1.337,25.0,78.65131085216476,1231.6304433907928,2224.412579644859,1.8060714490954322
1,0,9,clearance_reject,1.0e9,7,5,2,1.232,1.232,25.0,91.2346454841362,1428.6776107449416,2224.412579644859,1.556973079801401
1,0,10,ok,5.181,12,6,2,1.751,1.5,25.0,154.3189477000552,2416.5384139200055,2224.412579644859,0.9204954354673435
1,1,1,reject,1.0e9,16,15,2,0.914,0.914,25.0,201.4905899861066,3155.216893334596,2224.412579644859,0.7049951413305171
1,1,2,clearance_reject,1.0e9,3,8,3,0.764,0.764,25.0,43.11774829835427,675.1970295133742,2224.412579644859,3.2944644043354727
1,1,3,clearance_reject,1.0e9,14,6,2,1.218,1.218,25.0,178.02563404966656,2787.770327333114,2224.412579644859,0.7979181634280524
1,1,4,ok,1.377,9,8,1,1.033,1.033,25.0,117.18111052043203,1834.9830605948878,2224.412579644859,1.2122251302547289
1,1,5,ok,2.166,8,5,1,1.482,1.482,25.0,102.87750657981223,1610.9975494495643,2224.412579644859,1.3807672025353994
1,1,6,reject_twist,1.0e9,16,6,2,2.021,1.5,25.0,200.9536170235057,3146.808231853288,2224.412579644859,0.7068789756962116
1,1,7,clearance_reject,1.0e9,3,4,2,1.862,1.5,25.0,42.789378103770325,670.0549571948096,2224.412579644859,3.3197464711810802
1,1,8,reject,1.0e9,7,11,2,0.801,0.801,25.0,91.5180614440318,1433.1157278032367,2224.412579644859,1.5521513974691827
1,1,9,clearance_reject,1.0e9,11,5,2,1.463,1.463,25.0,139.98673284370247,2192.104873689748,2224.412579644859,1.0147382118177268
1,1,10,ok,7.387,11,8,1,0.962,0.962,25.0,141.1667354358609,2210.582977869271,2224.412579644859,1.0062560880609503
1,2,1,reject,1.0e9,16,13,1,0.791,0.791,25.0,202.72206749754844,3174.501062625732,2224.412579644859,0.700712501196952
1,2,2,reject,1.0e9,16,22,1,0.7,0.7,25.0,205.61572165552678,3219.813880873724,2224.412579644859,0.6908512920135761
1,2,3,reject,1.0e9,14,5,2,1.73,1.5,25.0,178.03624581228166,2787.9365009130984,2224.412579644859,0.7978706039094953
1,2,4,reject,1.0e9,16,15,1,0.708,0.708,25.0,203.16422761663335,3181.425014148192,2224.412579644859,0.6991874929481663
1,2,5,clearance_reject,1.0e9,13,5,2,1.634,1.5,25.0,164.43968310402985,2575.0228142177675,2224.412579644859,0.8638418919486677
1,2,6,ok,11.262,5,5,1,2.021,1.5,25.0,66.87954727128493,1047.2919722130864,2224.412579644859,2.1239660368486724
1,2,7,clearance_reject,1.0e9,16,5,2,1.862,1.5,25.0,201.57414333177496,3156.5252865839566,2224.412579644859,0.7047029178252378
1,2,8,ok,1.222,16,6,2,0.935,0.935,25.0,202.1754121087851,3165.940780393309,2224.412579644859,0.7026071344797918
1,2,9,reject,1.0e9,16,5,2,1.369,1.369,25.0,202.45880118888158,3170.378476530725,2224.412579644859,0.7016236692595088
1,2,10,clearance_reject,1.0e9,12,5,2,1.751,1.5,25.0,152.41041320995944,2386.6519548795263,2224.412579644859,0.932022189116026
1,3,1,reject,1.0e9,16,12,1,0.847,0.847,25.0,200.8381864237702,3145.0006606991296,2224.412579644859,0.7072852503472526
1,3,2,clearance_reject,1.0e9,16,11,3,0.908,0.908,25.0,201.70306244447195,3158.544079433207,2224.412579644859,0.7042525048578787
1,3,3,reject,1.0e9,16,5,2,1.73,1.5,25.0,200.628886326867,3141.7231518012145,2224.412579644859,0.7080231045722655
