island,iteration,fitness
1,1,-4.44734527651906
1,2,-5.091586521311771
1,3,-5.091586521311771
1,4,-5.091586521311771
1,5,-5.532860421092483
1,6,-5.532860421092483
1,7,-5.532860421092483
1,8,-5.532860421092483
1,9,-5.532860421092483
1,10,-5.8197043029000834
1,11,-6.1531758885271435
1,12,-6.1531758885271435
1,13,-6.19768455418277
1,14,-6.19768455418277
1,15,-6.19768455418277
1,16,-6.2368405367426405
1,17,-6.2368405367426405
1,18,-6.2368405367426405
1,19,-6.238120782240765
1,20,-6.245856125482691
1,21,-6.245856125482691
1,22,-6.245856125482691
1,23,-6.245856125482691
1,24,-6.247584269277358
1,25,-6.249680007926001
