# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=edd7f5f720bb6959c41a83eae025ca003ecca871
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
1,0,1,37.232,ok,5.92,5.96,504.73,25.11,false,9.2,6,8,1,2.775,0.575,0.0,0.0,0.6,0.6,18.8,0.045644,0.055,1.0,1.0,2.775128,0.575109,2.0,6.0,0.0,0.0,0.0,0.0,0.6,0.6
1,0,2,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.01,13,9,3,2.964,0.565,0.7,1.7,0.704,0.553,18.8,0.030744,0.045191,0.758585,0.599726,2.963651,0.565345,1.703194,13.435913,0.355172,7.074586,0.664082,1.745346,0.704107,0.553011
1,0,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.49,9,7,2,4.79,0.324,15.6,17.4,0.185,0.732,18.8,0.057306,0.046571,0.859694,0.712225,4.790167,0.323812,1.979974,9.054623,-0.224953,14.806448,15.647996,17.418231,0.185074,0.732341
1,0,4,1.0e9,reject,0.0,0.0,1260.77,9.79,false,2.56,9,6,2,4.126,0.844,12.0,18.6,0.908,0.727,18.8,0.032928,0.033945,0.609891,0.836613,4.125963,0.843564,1.863496,9.456987,-0.408605,0.843332,12.014329,18.570685,0.908403,0.727088
1,0,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.74,7,12,3,1.507,0.294,1.5,11.1,0.57,0.425,18.8,0.034387,0.033334,1.46488,0.733047,1.50719,0.294392,2.260835,7.352579,0.277284,15.600769,1.502012,11.057303,0.570346,0.425161
1,0,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.53,14,7,2,2.375,0.804,16.5,3.3,0.32,0.643,18.8,0.06369,0.044376,1.274712,0.928781,2.374521,0.803778,2.111536,13.721637,0.58814,12.247538,16.462607,3.284944,0.319807,0.643085
1,0,7,1.0e9,reject,-0.0,-0.0,328.31,9958.81,false,3.1,3,8,2,1.549,0.844,2.6,20.0,0.704,0.547,18.8,0.037572,0.077596,0.939138,1.190203,1.54871,0.843663,2.263407,3.421737,0.131726,1.599757,2.591921,20.000249,0.7042,0.547297
1,0,8,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.22,6,8,2,2.523,0.288,11.5,3.1,0.737,0.977,18.8,0.023246,0.036254,0.824905,0.930243,2.523491,0.287596,2.533613,5.693487,-0.743872,6.410558,11.542103,3.086393,0.736588,0.976672
1,0,9,1.0e9,reject,0.0,0.0,319.54,482.93,false,2.23,7,7,2,2.224,0.473,16.3,21.2,0.389,0.553,18.8,0.03037,0.043044,1.013776,0.855108,2.22435,0.473466,2.681302,6.530598,-0.347853,15.450987,16.268161,21.161055,0.388614,0.553423
1,0,10,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.35,12,8,3,3.711,0.444,18.1,9.9,0.704,0.16,18.8,0.063688,0.078603,1.388267,0.626234,3.710549,0.443545,1.802154,12.168023,-0.534672,17.637366,18.080918,9.91502,0.703688,0.159943
