# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=cb12183c434d8c286317644b296571640ee30d72
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
3,0,1,120.117,ok,5.1,5.13,1683.58,7.18,false,2.89,6,9,3,2.4,0.575,0.0,0.0,0.7,0.7,18.8,0.08,0.055,1.0,1.0,2.4,0.575109,2.0,6.0,0.0,3.0,0.0,0.0,0.7,0.7
3,0,2,1.0e9,reject,4.44,4.45,824.35,0.22,false,4.06,8,14,2,3.028,0.403,13.7,11.1,0.698,0.644,18.8,0.040684,0.028097,1.47403,0.851933,3.02822,0.402691,1.853249,8.150479,0.589508,2.015664,13.669428,11.097415,0.697842,0.643746
3,0,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.78,6,24,3,0.73,0.33,14.7,18.4,0.493,0.446,18.8,0.123087,0.049025,1.369977,1.418004,0.729616,0.330261,2.168644,6.149998,0.781968,2.562138,14.745838,18.437356,0.492613,0.446281
3,0,4,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,4.88,9,13,3,1.577,0.431,15.0,19.9,0.769,0.591,18.8,0.074603,0.029415,0.736725,0.839895,1.576663,0.431042,2.224327,8.517234,-0.486877,2.734434,14.996878,19.888051,0.769049,0.590769
3,0,5,1.0e9,reject,0.0,0.0,0.0,Inf,false,5.89,7,18,2,2.354,0.714,0.5,16.8,0.153,0.779,18.8,0.107954,0.064313,1.261985,1.094271,2.353638,0.713707,1.212553,6.784474,-0.36579,1.78763,0.523624,16.778294,0.152634,0.779376
3,0,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.0,4,5,3,2.803,0.768,16.9,11.4,0.305,0.687,18.8,0.088758,0.076428,1.277018,1.103742,2.803212,0.76777,2.248114,3.867893,-0.55143,2.724918,16.907542,11.39585,0.305285,0.687274
3,0,7,1.0e9,reject,2.87,2.86,5996.08,2.33,false,1.71,8,9,3,3.391,0.558,9.8,12.4,0.705,0.953,18.8,0.114451,0.075896,1.021998,1.121466,3.391301,0.558405,1.393381,8.314432,0.262004,2.783694,9.840789,12.350279,0.704573,0.952882
3,0,8,141.755,ok,5.7,6.25,1921.08,8.91,false,1.91,5,6,3,2.405,0.65,16.6,3.0,0.971,0.938,18.8,0.081874,0.052719,1.455847,0.57627,2.404689,0.65031,2.305163,4.55101,-0.411551,2.749205,16.551721,3.021236,0.970914,0.937882
3,0,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.61,9,17,1,1.771,0.458,11.1,14.6,0.753,0.831,18.8,0.10467,0.053036,1.210931,0.969385,1.771131,0.458477,2.274399,8.715401,-0.734774,1.30913,11.086261,14.590707,0.752782,0.830921
3,0,10,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.1,9,5,3,3.625,0.756,11.3,1.4,0.687,0.174,18.8,0.079772,0.039327,1.1451,1.248696,3.62547,0.755549,1.646772,8.947104,0.673999,2.808418,11.326199,1.434673,0.687123,0.174369
3,1,1,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.89,6,24,2,0.7,0.288,14.6,0.0,0.537,0.887,18.8,0.139804,0.055,1.414177,1.0,0.7,0.287554,2.590041,6.0,-0.1639,1.555497,14.58474,0.0,0.536698,0.887098
3,1,2,1.0e9,reject,2.73,2.72,3596.93,8.14,false,5.35,5,17,2,2.939,0.816,0.0,2.6,0.14,0.857,18.8,0.111794,0.0825,1.449292,1.208178,2.9394,0.816204,1.052956,5.0,-0.019402,1.976567,0.0,2.628951,0.14,0.857089
3,1,3,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,3.38,6,12,2,3.043,0.33,0.0,22.0,0.493,0.79,18.8,0.130723,0.080513,0.958759,1.475321,3.043202,0.330261,2.168644,6.0,0.104972,1.811735,0.0,22.0,0.492613,0.78986
3,1,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.24,9,4,3,3.697,0.431,11.3,14.9,0.932,0.14,18.8,0.092899,0.029415,0.804928,0.839895,3.697454,0.431042,2.224327,9.0,0.760249,2.694111,11.326199,14.868019,0.931651,0.14
3,1,5,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,2.88,3,7,3,1.99,0.648,9.4,10.4,0.314,1.0,18.8,0.088909,0.0825,1.180673,0.938611,1.989514,0.64796,2.482654,3.0,-0.8,2.852126,9.387065,10.443243,0.313836,1.0
3,1,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.3,4,4,3,3.781,0.863,10.1,0.0,0.374,0.687,18.8,0.068529,0.060346,1.123515,1.226742,3.781257,0.862663,1.795334,4.0,0.627468,3.0,10.114047,0.0,0.373993,0.687274
3,1,7,1.0e9,reject,4.36,3.62,1291.39,5.97,false,1.98,3,6,3,2.524,0.661,0.0,12.4,0.705,1.0,18.8,0.071015,0.071797,0.98275,0.982456,2.524498,0.66071,2.118724,3.0,-0.037185,3.0,0.0,12.350279,0.704573,1.0
3,1,8,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,5.68,5,11,2,1.639,0.583,15.6,3.0,0.343,1.0,18.8,0.102678,0.081404,1.298394,0.921525,1.638542,0.582868,2.635796,5.0,-0.8,1.908452,15.574307,3.021236,0.343293,1.0
3,1,9,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,2.99,3,8,3,1.781,0.458,9.4,15.3,0.598,1.0,18.8,0.068386,0.077114,1.210931,0.825011,1.780705,0.458477,2.8,3.0,-0.8,3.0,9.387065,15.335716,0.597969,1.0
3,1,10,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.22,3,6,3,3.437,0.756,11.3,0.0,0.687,0.174,18.8,0.03,0.054564,1.13943,0.899771,3.437143,0.755549,1.762217,3.0,0.53316,3.0,11.326199,0.0,0.687123,0.174369
3,2,1,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-0.68,3,4,3,3.035,0.631,0.0,0.0,0.7,0.235,18.8,0.03,0.032181,1.144357,0.424845,3.035268,0.630867,2.703345,3.0,0.0,3.0,0.0,0.0,0.7,0.235091
3,2,2,1.0e9,reject,3.08,3.22,2562.18,0.8,false,3.51,5,10,2,2.939,0.589,0.0,17.4,0.391,1.0,18.8,0.097995,0.0825,1.092481,1.435716,2.9394,0.588821,2.079004,5.0,-0.504606,2.370586,0.0,17.437647,0.391399,1.0
3,2,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.28,4,5,3,4.226,0.863,4.5,0.0,0.438,0.687,18.8,0.070101,0.057165,0.986978,1.320953,4.226322,0.862663,1.387678,4.0,0.8,3.0,4.497089,0.0,0.437781,0.687274
3,2,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.3,3,6,3,3.216,0.808,2.4,3.0,0.932,0.832,18.8,0.056017,0.058175,0.804928,0.920751,3.216441,0.807947,1.747017,3.0,0.664266,3.0,2.417964,2.974526,0.931651,0.831856
3,2,5,1.0e9,reject,4.2,4.2,2326.66,7.2,false,1.93,6,8,3,2.924,0.687,1.8,0.0,0.872,1.0,18.8,0.088909,0.044678,0.865263,0.953246,2.924288,0.686671,1.718356,6.0,0.531493,3.0,1.832102,0.0,0.872058,1.0
3,2,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-1.87,6,4,3,4.32,0.863,0.0,0.0,0.5,0.687,18.8,0.077184,0.04368,0.858349,1.427664,4.32,0.862663,1.795334,6.0,0.8,3.0,0.0,0.0,0.500001,0.687274
3,2,7,1.0e9,reject,0.0,0.0,0.0,Inf,false,2.76,8,11,3,3.257,0.746,0.0,0.0,0.906,1.0,18.8,0.095388,0.03068,0.740818,1.09615,3.25746,0.746209,1.188982,8.0,0.8,3.0,0.0,0.0,0.905512,1.0
3,2,8,51.285,ok,5.02,5.06,551.61,3.69,false,2.47,5,7,3,2.405,0.791,12.7,1.7,0.702,0.938,18.8,0.03,0.052719,1.176645,0.797956,2.404689,0.791386,2.086142,5.0,-0.411551,3.0,12.729762,1.726633,0.702296,0.937882
3,2,9,1.0e9,reject_twist,0.0,0.0,0.0,Inf,true,3.48,3,7,3,1.781,0.829,17.9,1.7,0.602,0.491,18.8,0.03,0.058072,1.325115,0.768998,1.780705,0.828686,2.8,3.0,-0.410648,3.0,17.871143,1.726633,0.602146,0.490774
3,2,10,25958.905,ok,5.42,5.48,475.84,3.44,false,3.41,3,7,3,1.898,0.79,9.6,3.9,1.0,0.726,18.8,0.034391,0.058664,0.987283,0.623085,1.897537,0.789623,2.508672,3.0,0.011372,3.0,9.630496,3.905687,1.0,0.725885
3,3,1,1.0e9,reject,1.71,1.67,2036.15,0.09,false,2.16,7,7,2,3.686,0.626,0.0,0.0,0.14,0.902,18.8,0.08,0.072691,1.12863,1.6,3.686153,0.625846,2.1117,7.0,-0.412758,2.370586,0.0,0.0,0.14,0.902165
3,3,2,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.24,8,6,3,4.32,0.734,0.0,0.0,0.548,0.975,18.8,0.116638,0.034969,0.781716,1.474597,4.32,0.733999,1.256127,8.0,0.8,3.0,0.0,0.0,0.548069,0.974981
3,3,3,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,-2.02,4,4,3,3.777,0.863,4.5,2.1,0.438,0.687,18.8,0.048358,0.051074,0.922865,1.253096,3.777122,0.862663,2.213202,4.0,0.524994,3.0,4.497089,2.06507,0.437781,0.687274
3,3,4,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.45,8,6,3,4.32,0.863,0.0,0.0,0.384,0.897,18.8,0.10515,0.028389,0.804928,1.6,4.32,0.862663,1.227527,8.0,0.8,3.0,0.0,0.0,0.38403,0.89717
3,3,5,1.0e9,reject,4.39,4.43,1692.45,7.82,false,3.32,7,11,3,2.924,0.863,8.0,1.1,0.907,1.0,18.8,0.06416,0.029255,0.865263,0.969959,2.924288,0.862663,1.242784,7.0,0.531493,3.0,7.950655,1.078407,0.906946,1.0
3,3,6,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.06,3,6,3,3.305,0.863,11.5,0.0,0.325,0.653,18.8,0.03,0.04368,1.164227,1.087955,3.304855,0.862663,1.795334,3.0,-0.145966,3.0,11.546863,0.0,0.325239,0.652873
3,3,7,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,0.11,8,5,3,3.535,0.716,3.3,0.9,0.906,0.891,18.8,0.095388,0.042383,0.864602,1.310277,3.534796,0.716495,1.773705,8.0,0.663642,3.0,3.25811,0.889518,0.905512,0.891472
