# v13_5kw_masslift telemetry  length=18.8  window=40.0  min_clearance=1.5  lift=mass-aware-const-tension  margin=1.5  era=post-4ce9fd0_daisy-anchored-5kw  git=1c9f9cbf4eac8f6d7909ab4d6cb5ee62417cb979
island,gen,idx,fitness,status,P_mean,P_end,T_lift,FoS,twist_crossed,clearance,n_lines,rings,n_active,r_hub,r_bot,bank_top,bank_bot,blade_scale_top,blade_scale_bottom,tether,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
2,0,1,62.141,ok,5.25,5.31,508.81,3.38,false,4.12,6,13,3,2.4,0.575,0.0,0.0,0.7,0.7,18.8,2.4,0.575109,1.5,6.0,0.0,3.0,0.0,0.0,0.7,0.7
2,0,2,57.223,ok,5.5,5.56,635.83,3.63,false,5.58,8,12,2,2.593,0.814,6.2,0.7,0.713,0.449,18.8,2.59343,0.813968,1.547141,8.444566,0.162371,1.891713,6.167532,0.71657,0.713083,0.448767
2,0,3,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.65,7,16,1,2.854,0.526,20.0,14.7,0.174,0.613,18.8,2.85425,0.52587,1.940456,6.630925,-0.649759,1.390381,19.997336,14.717308,0.174293,0.612866
2,0,4,1.0e9,reject,0.0,0.0,0.0,Inf,false,8.83,6,16,1,1.564,0.753,1.7,6.1,0.16,0.907,18.8,1.563943,0.752635,1.581908,5.520886,0.36017,1.381093,1.733308,6.083771,0.160219,0.90688
2,0,5,1.0e9,clearance_reject,NaN,NaN,NaN,NaN,false,1.38,7,6,3,3.367,0.787,5.5,18.4,0.328,0.42,18.8,3.366846,0.786722,1.675044,6.787863,0.785935,2.62113,5.548828,18.446071,0.328077,0.419779
2,0,6,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.56,6,21,2,1.432,0.536,12.1,1.9,0.462,0.423,18.8,1.431825,0.535819,1.560326,6.172195,0.149092,2.108484,12.121556,1.910181,0.462495,0.423356
2,0,7,1.0e9,reject,3.96,3.99,952.71,4.89,false,4.33,7,16,2,3.524,0.604,2.7,16.7,0.841,0.642,18.8,3.524479,0.604167,1.216772,6.900884,-0.46998,2.043409,2.725048,16.685155,0.841248,0.641792
2,0,8,1.0e9,reject,3.05,3.06,424.27,9.28,false,3.32,7,14,3,3.449,0.69,14.4,5.3,0.446,0.557,18.8,3.449023,0.690089,1.034783,6.762722,0.003195,2.853335,14.447133,5.325109,0.445771,0.556702
2,0,9,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.04,7,9,3,2.032,0.832,14.4,21.1,0.284,0.505,18.8,2.032032,0.831593,2.003319,6.839698,0.568802,2.615583,14.377172,21.085445,0.284034,0.504992
2,0,10,1.0e9,reject,0.0,0.0,0.0,Inf,false,7.04,6,24,3,1.311,0.409,13.6,7.6,0.645,0.153,18.8,1.310999,0.409485,1.591644,6.214142,0.616574,2.647012,13.581622,7.639814,0.645448,0.152816
2,1,1,1.0e9,reject,2.33,2.34,469.91,1.25,false,4.19,7,20,2,3.992,0.488,18.2,0.0,0.373,0.628,18.8,3.991644,0.488327,1.0,7.0,-0.8,2.044765,18.15615,0.0,0.373348,0.627893
2,1,2,1.0e9,reject,0.0,0.0,0.0,Inf,false,4.12,7,9,2,2.932,0.667,9.6,22.0,0.14,0.461,18.8,2.932482,0.666793,2.1,7.0,0.309082,1.552732,9.602155,22.0,0.14,0.460796
2,1,3,1.0e9,reject,2.7,2.69,659.34,2.74,false,1.72,7,5,2,4.32,0.634,20.0,15.5,0.702,0.511,18.8,4.32,0.63426,1.940456,7.0,-0.649759,2.237557,19.997336,15.496208,0.701621,0.511487
