t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,4.343212,0.001587,0.000502,0.0029,1451.253,281.790,1799.145,46.423,-112.525,6.612,328.746,1808.824
0.0100,4.343182,0.002000,0.000552,0.0032,1450.750,275.280,1958.113,46.423,-278.506,-154.442,321.152,1969.103
0.0200,4.343190,0.003239,0.000703,0.0040,1450.253,276.879,1570.922,46.423,109.787,218.993,323.018,1580.369
0.0300,4.343089,0.005291,0.000851,0.0049,1450.023,255.043,1820.512,46.423,-161.869,-36.483,297.546,1830.378
0.0400,4.343100,0.008205,0.001051,0.0060,1449.934,257.325,1502.012,46.423,158.824,264.980,300.211,1509.705
0.0500,4.343141,0.012048,0.001261,0.0072,1449.822,266.268,2088.110,46.423,-418.443,-274.635,310.646,2099.994
0.0600,4.343193,0.016845,0.001500,0.0086,1449.698,277.683,1690.055,46.423,-9.097,103.560,323.965,1699.920
0.0700,4.343221,0.022551,0.001709,0.0098,1449.508,283.830,2115.136,46.423,-428.221,-295.288,331.139,2126.199
0.0800,4.343142,0.029233,0.001949,0.0112,1449.755,266.496,1518.756,46.423,151.073,245.009,310.923,1526.617
0.0900,4.343161,0.036954,0.002181,0.0125,1449.970,270.667,1796.313,46.423,-122.099,8.761,315.794,1806.937
0.1000,4.343092,0.045625,0.002393,0.0137,1450.516,255.675,1681.685,46.423,-21.916,98.673,298.310,1691.753
0.1100,4.343198,0.055143,0.002617,0.0150,1450.792,278.822,1798.353,46.423,-115.162,8.517,325.317,1807.825
0.1200,4.343160,0.065534,0.002841,0.0163,1451.367,270.648,1937.469,46.423,-261.877,-141.992,315.788,1947.106
0.1300,4.343248,0.076779,0.003079,0.0176,1451.758,289.681,1784.905,46.423,-89.889,30.126,337.998,1795.199
0.1400,4.343179,0.088749,0.003250,0.0186,1452.420,274.699,1926.578,46.423,-245.882,-118.077,320.527,1937.915
0.1500,4.343188,0.101369,0.003439,0.0197,1453.119,276.738,1589.825,46.423,93.609,198.837,322.911,1598.044
0.1600,4.343146,0.114665,0.003608,0.0207,1453.999,267.544,1856.235,46.423,-181.115,-55.720,312.191,1866.151
0.1699,4.343179,0.128629,0.003810,0.0218,1454.877,274.937,1681.686,46.423,1.704,120.190,320.823,1691.406
0.1799,4.343224,0.143188,0.003993,0.0229,1455.686,284.709,1984.389,46.423,-290.416,-158.076,332.231,1995.328
0.1899,4.343235,0.158366,0.004214,0.0241,1456.597,292.234,1792.263,46.423,-89.855,16.916,341.015,1801.550
0.1999,4.343243,0.174259,0.004424,0.0253,1457.523,301.094,1873.512,46.423,-161.318,-50.810,351.357,1883.790
0.2099,4.343198,0.190828,0.004619,0.0265,1458.677,299.887,1725.838,46.423,-13.698,82.013,349.952,1735.664
0.2199,4.343215,0.208092,0.004830,0.0277,1459.831,305.590,1780.178,46.423,-61.181,38.043,356.614,1790.029
0.2299,4.343207,0.226132,0.005067,0.0290,1461.115,305.755,1822.718,46.423,-102.272,-6.569,356.817,1832.495
0.2399,4.343257,0.244902,0.005309,0.0304,1462.336,311.459,1830.005,46.423,-102.633,-0.206,363.486,1839.997
0.2499,4.343266,0.264330,0.005539,0.0317,1463.646,308.037,1921.268,46.423,-196.009,-86.247,359.511,1931.726
0.2599,4.343290,0.284448,0.005793,0.0332,1464.984,304.102,1797.587,46.423,-74.924,37.020,354.941,1807.369
0.2699,4.343263,0.305211,0.005991,0.0343,1466.461,293.542,1840.598,46.423,-127.018,-5.743,342.636,1850.781
0.2799,4.343258,0.326496,0.006178,0.0354,1468.010,292.423,1758.688,46.423,-44.678,72.918,341.342,1768.271
0.2899,4.343273,0.348288,0.006376,0.0365,1469.584,295.767,1866.219,46.423,-147.291,-23.938,345.255,1876.164
0.2999,4.343295,0.370559,0.006593,0.0378,1471.189,316.042,1853.413,46.423,-112.606,-6.265,368.912,1863.609
0.3099,4.343331,0.393208,0.006790,0.0389,1472.742,340.186,1907.116,46.423,-140.611,-48.348,397.079,1917.543
0.3199,4.343334,0.416163,0.006977,0.0400,1474.375,357.258,1859.220,46.423,-74.009,-4.689,416.992,1868.948
0.3299,4.343339,0.439429,0.007151,0.0410,1476.047,372.047,1833.085,46.423,-31.414,26.431,434.241,1843.019
0.3399,4.343327,0.462996,0.007312,0.0419,1477.794,381.359,1831.521,46.423,-18.791,29.675,445.102,1841.818
0.3499,4.343341,0.486847,0.007487,0.0429,1479.541,391.346,1841.258,46.423,-16.794,23.683,456.755,1851.114
0.3599,4.343365,0.510987,0.007684,0.0440,1481.296,399.719,1914.336,46.423,-79.744,-41.024,466.532,1924.324
0.3699,4.343397,0.535418,0.007910,0.0453,1483.041,406.252,1897.233,46.423,-54.364,-15.394,474.170,1907.538
0.3799,4.343412,0.560138,0.008119,0.0465,1484.808,405.707,1914.274,46.423,-70.183,-26.296,473.556,1924.823
0.3899,4.343417,0.585143,0.008325,0.0477,1486.628,399.560,1862.530,46.423,-22.765,23.480,466.413,1872.364
0.3999,4.343418,0.610461,0.008518,0.0488,1488.499,387.995,1870.689,46.423,-40.618,19.152,452.953,1880.663
0.4099,4.343426,0.636073,0.008716,0.0499,1490.406,373.549,1874.012,46.423,-56.480,22.098,436.136,1884.324
0.4199,4.343449,0.661916,0.008920,0.0511,1492.302,357.461,1911.465,46.423,-108.125,-7.829,417.405,1921.689
0.4299,4.343475,0.687941,0.009138,0.0524,1494.200,340.819,1936.822,46.423,-148.226,-26.578,398.027,1947.014
0.4399,4.343500,0.714083,0.009347,0.0536,1496.091,374.056,1933.135,46.423,-109.411,-15.449,436.799,1943.458
0.4499,4.343510,0.740231,0.009515,0.0545,1498.002,402.315,1917.588,46.423,-63.695,3.033,469.752,1927.861
0.4599,4.343517,0.766320,0.009660,0.0553,1499.918,427.164,1909.341,46.423,-28.681,14.525,498.723,1919.499
0.4699,4.343523,0.792310,0.009793,0.0561,1501.843,448.469,1912.489,46.423,-8.601,15.021,523.559,1922.644
0.4799,4.343541,0.818121,0.009921,0.0568,1503.732,467.552,1940.006,46.423,-15.145,-5.282,545.805,1950.246
0.4899,4.343566,0.843689,0.010065,0.0577,1505.583,483.757,1959.192,46.423,-16.276,-16.688,564.702,1969.553
0.4999,4.343589,0.869000,0.010217,0.0585,1507.405,495.218,1955.738,46.423,0.462,-7.024,578.072,1966.071
0.5098,4.343509,0.894045,0.010647,0.0610,1509.213,493.965,1962.857,46.423,-6.102,-10.170,576.629,1973.227
0.5198,4.343195,0.918835,0.012111,0.0694,1511.011,479.985,1946.600,46.423,-2.027,7.363,560.387,1956.819
0.5298,4.342673,0.943377,0.014712,0.0843,1512.797,461.209,1955.585,46.423,-28.002,1.392,538.612,1965.875
0.5398,4.342156,0.967622,0.017625,0.1010,1514.552,449.259,1957.051,46.423,-39.664,5.286,524.841,1967.384
0.5498,4.341990,0.991474,0.019215,0.1101,1516.255,452.523,1985.662,46.423,-63.307,-15.810,528.802,1996.072
0.5598,4.342648,1.014838,0.017247,0.0988,1517.922,476.890,1975.323,46.423,-26.934,-1.691,557.249,1985.644
0.5698,4.343550,1.037750,0.012813,0.0734,1519.557,453.748,1974.678,46.423,-47.796,7.929,530.065,1985.113
