t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,4.343213,0.001587,0.000502,0.0029,1451.253,281.997,1802.316,46.423,-115.490,3.628,328.987,1812.009
0.0100,4.343183,0.002000,0.000553,0.0032,1450.782,275.538,1961.252,46.423,-281.354,-157.253,321.453,1972.257
0.0200,4.343192,0.003238,0.000704,0.0040,1450.332,277.419,1577.517,46.423,103.811,213.143,323.648,1586.993
0.0300,4.343093,0.005290,0.000852,0.0049,1450.150,255.793,1831.226,46.423,-171.705,-46.246,298.422,1841.120
0.0400,4.343102,0.008204,0.001053,0.0060,1450.114,257.931,1502.667,46.423,158.955,264.652,300.918,1510.352
0.0500,4.343146,0.012047,0.001263,0.0072,1450.044,267.464,2098.505,46.423,-427.420,-283.121,312.041,2110.454
0.0600,4.343193,0.016842,0.001502,0.0086,1449.979,277.607,1690.961,46.423,-9.798,102.534,323.877,1700.811
0.0700,4.343221,0.022544,0.001711,0.0098,1449.843,283.855,2107.621,46.423,-420.346,-287.861,331.168,2118.624
0.0800,4.343145,0.029221,0.001952,0.0112,1450.133,267.261,1524.643,46.423,146.327,240.506,311.815,1532.520
0.0900,4.343167,0.036936,0.002185,0.0125,1450.383,272.040,1790.058,46.423,-114.058,16.131,317.395,1800.605
0.1000,4.343096,0.045599,0.002398,0.0137,1450.968,256.612,1697.418,46.423,-36.260,85.001,299.403,1707.551
0.1100,4.343204,0.055108,0.002624,0.0150,1451.279,280.104,1793.912,46.423,-108.952,14.153,326.812,1803.331
0.1200,4.343166,0.065487,0.002848,0.0163,1451.884,271.947,1950.023,46.423,-272.615,-152.169,317.304,1959.689
0.1300,4.343251,0.076717,0.003087,0.0177,1452.314,290.444,1783.542,46.423,-87.207,32.355,338.888,1793.800
0.1400,4.343185,0.088670,0.003258,0.0187,1453.000,276.099,1934.290,46.423,-251.614,-123.518,322.160,1945.643
0.1500,4.343193,0.101269,0.003449,0.0198,1453.728,277.909,1588.370,46.423,96.844,201.513,324.278,1596.537
0.1600,4.343157,0.114543,0.003619,0.0207,1454.620,270.067,1849.291,46.423,-171.027,-45.994,315.135,1859.123
0.1699,4.343188,0.128479,0.003821,0.0219,1455.519,276.819,1692.193,46.423,-6.279,112.751,323.020,1701.947
0.1799,4.343234,0.143006,0.004005,0.0229,1456.341,286.859,1989.305,46.423,-292.529,-160.380,334.739,2000.225
0.1899,4.343243,0.158151,0.004228,0.0242,1457.268,293.698,1794.609,46.423,-90.066,16.381,342.724,1803.859
0.1999,4.343252,0.174004,0.004439,0.0254,1458.206,302.770,1865.175,46.423,-150.622,-40.482,353.312,1875.371
0.2099,4.343212,0.190528,0.004635,0.0266,1459.358,302.216,1744.078,46.423,-28.928,68.456,352.670,1753.968
0.2199,4.343226,0.207741,0.004848,0.0278,1460.518,307.694,1778.436,46.423,-56.647,42.433,359.070,1788.220
0.2299,4.343220,0.225726,0.005085,0.0291,1461.801,307.955,1820.674,46.423,-97.342,-1.224,359.384,1830.398
0.2399,4.343271,0.244432,0.005328,0.0305,1463.017,313.833,1835.563,46.423,-105.136,-1.817,366.258,1845.548
0.2499,4.343280,0.263788,0.005559,0.0319,1464.320,310.315,1927.656,46.423,-199.445,-89.040,362.170,1938.092
0.2599,4.343302,0.283828,0.005813,0.0333,1465.652,306.031,1812.846,46.423,-87.586,25.386,357.192,1822.670
0.2699,4.343279,0.304504,0.006013,0.0345,1467.111,297.039,1837.944,46.423,-120.218,0.463,346.717,1848.070
0.2799,4.343272,0.325692,0.006199,0.0355,1468.646,295.508,1765.658,46.423,-47.927,69.688,344.942,1775.235
0.2899,4.343291,0.347380,0.006400,0.0367,1470.196,299.629,1866.211,46.423,-142.809,-19.797,349.762,1876.109
0.2999,4.343314,0.369537,0.006618,0.0379,1471.772,319.546,1848.162,46.423,-103.267,3.157,373.002,1858.280
0.3099,4.343347,0.392060,0.006814,0.0390,1473.303,343.263,1908.548,46.423,-138.405,-45.782,400.670,1918.947
0.3199,4.343353,0.414879,0.007002,0.0401,1474.898,360.923,1872.096,46.423,-82.698,-12.203,421.269,1881.850
0.3299,4.343356,0.437997,0.007178,0.0411,1476.538,375.384,1837.401,46.423,-31.902,26.067,438.135,1847.311
0.3399,4.343347,0.461403,0.007336,0.0420,1478.242,384.885,1849.855,46.423,-33.151,16.777,449.217,1860.226
0.3499,4.343362,0.485080,0.007514,0.0431,1479.943,395.064,1849.712,46.423,-21.127,19.929,461.094,1859.557
0.3599,4.343385,0.509032,0.007712,0.0442,1481.653,403.257,1907.213,46.423,-68.726,-30.059,470.661,1917.126
0.3699,4.343418,0.533263,0.007936,0.0455,1483.345,409.755,1902.420,46.423,-55.744,-15.654,478.258,1912.742
0.3799,4.343434,0.557768,0.008148,0.0467,1485.053,409.352,1908.816,46.423,-60.834,-16.545,477.811,1919.279
0.3899,4.343439,0.582547,0.008351,0.0478,1486.813,402.934,1871.781,46.423,-28.458,19.356,470.351,1881.626
0.3999,4.343441,0.607622,0.008544,0.0490,1488.619,391.461,1876.762,46.423,-43.106,18.428,456.999,1886.754
0.4099,4.343448,0.632976,0.008740,0.0501,1490.457,376.632,1887.080,46.423,-66.413,14.209,439.736,1897.445
0.4199,4.343471,0.658543,0.008944,0.0512,1492.280,360.519,1915.942,46.423,-109.566,-7.737,420.976,1926.148
0.4299,4.343498,0.684275,0.009162,0.0525,1494.101,345.592,1931.309,46.423,-138.040,-16.827,403.596,1941.441
0.4399,4.343523,0.710106,0.009367,0.0537,1495.909,378.309,1940.278,46.423,-112.484,-17.627,441.761,1950.648
0.4499,4.343535,0.735922,0.009535,0.0546,1497.727,406.931,1920.131,46.423,-61.895,5.615,475.140,1930.398
0.4599,4.343540,0.761662,0.009675,0.0554,1499.557,431.292,1913.533,46.423,-29.107,14.686,503.541,1923.675
0.4699,4.343548,0.787286,0.009806,0.0562,1501.381,452.768,1921.883,46.423,-14.157,11.043,528.575,1932.105
0.4799,4.343566,0.812713,0.009933,0.0569,1503.170,471.654,1942.203,46.423,-13.802,-2.993,550.592,1952.452
0.4899,4.343589,0.837880,0.010071,0.0577,1504.920,487.317,1961.947,46.423,-16.134,-15.530,568.856,1972.308
0.4999,4.343612,0.862776,0.010220,0.0586,1506.629,498.738,1967.383,46.423,-8.439,-13.831,582.181,1977.796
0.5098,4.343521,0.887386,0.010686,0.0612,1508.325,496.598,1960.863,46.423,-2.364,-4.630,579.703,1971.225
0.5198,4.343186,0.911724,0.012239,0.0701,1510.005,481.708,1948.184,46.423,-2.895,9.346,562.404,1958.422
0.5298,4.342650,0.935792,0.014923,0.0855,1511.666,463.055,1954.266,46.423,-25.969,6.531,540.777,1964.579
0.5398,4.342132,0.959537,0.017860,0.1023,1513.289,451.693,1961.289,46.423,-42.731,5.035,527.694,1971.656
0.5498,4.341987,0.982862,0.019360,0.1109,1514.861,455.589,1993.625,46.423,-69.598,-20.537,532.391,2004.088
0.5598,4.342699,1.005675,0.017151,0.0983,1516.390,481.398,1977.898,46.423,-26.533,-1.488,562.508,1988.297
0.5698,4.343577,1.028028,0.012702,0.0728,1517.884,454.309,1983.407,46.423,-57.638,1.379,530.711,1993.929
0.5798,4.343670,1.050072,0.011398,0.0653,1519.374,408.468,1955.551,46.423,-74.132,22.166,477.158,1965.830
0.5898,4.343681,1.071741,0.011095,0.0636,1520.831,429.839,1971.991,46.423,-67.745,9.308,502.031,1982.311
0.5998,4.343694,1.092956,0.011069,0.0634,1522.246,460.382,1990.262,46.423,-54.057,-4.026,537.621,2000.678
0.6098,4.343697,1.113630,0.011136,0.0638,1523.590,486.607,2009.716,46.423,-45.942,-15.482,568.181,2020.231
0.6198,4.343180,1.133705,0.012794,0.0733,1524.876,477.447,2021.965,46.423,-66.066,-27.163,557.513,2032.495
0.6298,4.341418,1.153224,0.019954,0.1143,1526.094,420.824,2055.036,46.423,-154.541,-67.793,491.614,2065.663
0.6398,4.338078,1.172192,0.035387,0.2028,1527.179,336.803,2131.949,46.423,-314.391,-146.119,393.877,2142.921
