t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,4.343212,0.001599,0.000285,0.0016,1451.254,281.793,1799.118,46.423,-112.494,6.635,328.748,1808.796
0.0100,4.343182,0.002016,0.000330,0.0019,1450.752,275.291,1958.142,46.423,-278.523,-154.458,321.163,1969.132
0.0200,4.343190,0.003265,0.000434,0.0025,1450.256,276.912,1571.120,46.423,109.624,218.835,323.056,1580.568
0.0300,4.343089,0.005331,0.000518,0.0030,1450.027,255.059,1820.427,46.423,-161.765,-36.382,297.563,1830.296
0.0400,4.343100,0.008269,0.000644,0.0037,1449.940,257.339,1502.336,46.423,158.519,264.677,300.224,1510.036
0.0500,4.343141,0.012155,0.000770,0.0044,1449.832,266.283,2086.390,46.423,-416.699,-273.016,310.659,2098.267
0.0600,4.343194,0.017015,0.000911,0.0052,1449.713,277.815,1691.337,46.423,-10.233,102.572,324.114,1701.210
0.0700,4.343222,0.022805,0.001030,0.0059,1449.532,283.833,2116.787,46.423,-429.845,-296.724,331.136,2127.879
0.0800,4.343143,0.029605,0.001174,0.0067,1449.788,266.681,1518.257,46.423,151.789,245.841,311.130,1526.172
0.0900,4.343161,0.037492,0.001315,0.0075,1450.019,270.681,1796.052,46.423,-121.775,8.770,315.799,1806.627
0.1000,4.343093,0.046377,0.001432,0.0082,1450.583,255.967,1683.640,46.423,-23.514,97.330,298.636,1693.727
0.1100,4.343198,0.056155,0.001575,0.0090,1450.884,278.800,1797.867,46.423,-114.606,9.422,325.276,1807.430
0.1200,4.343163,0.066868,0.001706,0.0098,1451.486,271.092,1933.479,46.423,-257.324,-137.782,316.288,1943.129
0.1300,4.343249,0.078508,0.001857,0.0106,1451.914,289.867,1789.536,46.423,-94.178,25.430,338.194,1799.753
0.1400,4.343181,0.090944,0.001945,0.0111,1452.616,275.153,1931.002,46.423,-249.657,-121.448,321.031,1942.409
0.1500,4.343190,0.104081,0.002065,0.0118,1453.364,276.999,1590.929,46.423,93.011,198.794,323.188,1599.250
0.1600,4.343151,0.117960,0.002168,0.0124,1454.292,268.461,1849.694,46.423,-173.364,-48.785,313.232,1859.492
0.1699,4.343181,0.132578,0.002298,0.0132,1455.235,275.099,1687.532,46.423,-3.621,114.847,320.980,1697.236
0.1799,4.343229,0.147860,0.002411,0.0138,1456.106,287.587,1973.561,46.423,-276.291,-146.180,335.552,1984.538
0.1899,4.343240,0.163831,0.002553,0.0146,1457.088,299.868,1808.167,46.423,-97.634,2.816,349.881,1817.520
0.1999,4.343250,0.180595,0.002684,0.0154,1458.088,309.837,1868.389,46.423,-146.887,-44.120,361.514,1878.672
0.2099,4.343204,0.198111,0.002799,0.0160,1459.328,308.688,1733.193,46.423,-11.601,76.634,360.176,1743.025
0.2199,4.343221,0.216414,0.002943,0.0169,1460.573,315.331,1781.334,46.423,-51.853,39.327,367.930,1791.284
0.2299,4.343217,0.235589,0.003094,0.0177,1461.955,316.298,1831.914,46.423,-100.085,-12.629,369.065,1841.763
0.2399,4.343266,0.255581,0.003250,0.0186,1463.285,322.104,1816.796,46.423,-77.830,14.648,375.846,1826.719
0.2499,4.343275,0.276344,0.003396,0.0195,1464.711,318.552,1939.597,46.423,-202.758,-100.277,371.712,1950.286
0.2599,4.343303,0.297923,0.003566,0.0204,1466.176,315.031,1786.795,46.423,-52.011,50.376,367.617,1796.462
0.2699,4.343278,0.320245,0.003678,0.0211,1467.788,298.054,1855.849,46.423,-136.430,-16.487,347.822,1866.029
0.2799,4.343271,0.343196,0.003805,0.0218,1469.490,294.890,1754.393,46.423,-36.436,81.618,344.139,1764.178
0.2899,4.343291,0.366771,0.003939,0.0226,1471.206,302.974,1889.450,46.423,-161.693,-40.324,353.576,1899.632
0.2999,4.343314,0.390917,0.004082,0.0234,1472.978,329.116,1848.165,46.423,-92.494,1.513,384.075,1857.956
0.3099,4.343355,0.415537,0.004216,0.0242,1474.694,356.424,1917.095,46.423,-132.401,-50.744,415.931,1927.609
0.3199,4.343354,0.440580,0.004338,0.0249,1476.521,374.656,1857.126,46.423,-52.371,4.969,437.199,1867.254
0.3299,4.343367,0.466047,0.004460,0.0256,1478.366,392.614,1842.617,46.423,-18.060,24.160,458.147,1852.383
0.3399,4.343355,0.491917,0.004569,0.0262,1480.315,403.414,1849.226,46.423,-11.920,18.675,470.744,1859.335
0.3499,4.343376,0.518177,0.004701,0.0269,1482.259,416.117,1844.860,46.423,7.092,31.063,485.566,1854.986
0.3599,4.343396,0.544852,0.004841,0.0277,1484.237,425.201,1937.137,46.423,-74.122,-53.099,496.169,1947.424
0.3699,4.343439,0.571943,0.005012,0.0287,1486.195,434.677,1896.845,46.423,-22.397,-4.183,507.234,1907.044
0.3799,4.343455,0.599441,0.005155,0.0295,1488.196,434.198,1933.748,46.423,-57.778,-33.948,506.689,1944.261
0.3899,4.343464,0.627366,0.005306,0.0304,1490.262,428.442,1858.277,46.423,14.003,41.554,499.992,1868.335
0.3999,4.343468,0.655737,0.005441,0.0312,1492.387,416.450,1903.036,46.423,-40.622,3.490,486.024,1913.406
0.4099,4.343483,0.684514,0.005593,0.0320,1494.555,401.956,1878.806,46.423,-28.719,31.521,469.139,1888.961
0.4199,4.343512,0.713640,0.005745,0.0329,1496.711,384.758,1948.774,46.423,-113.728,-25.750,449.103,1959.302
0.4299,4.343542,0.743027,0.005905,0.0338,1498.885,375.116,1947.419,46.423,-119.842,-18.986,437.875,1957.630
0.4399,4.343576,0.772589,0.006054,0.0347,1501.048,404.536,1955.836,46.423,-96.675,-16.673,472.197,1966.332
0.4499,4.343585,0.802218,0.006170,0.0353,1503.255,436.763,1935.806,46.423,-42.212,5.741,509.785,1946.285
0.4599,4.343601,0.831825,0.006278,0.0360,1505.442,467.175,1930.386,46.423,-4.192,16.489,545.252,1940.527
0.4699,4.343610,0.861353,0.006379,0.0366,1507.658,492.562,1949.992,46.423,3.804,1.729,574.856,1960.211
0.4799,4.343639,0.890755,0.006501,0.0372,1509.831,517.342,1956.671,46.423,24.079,5.387,603.755,1967.159
0.4899,4.343546,0.919987,0.006953,0.0398,1511.968,534.501,2001.944,46.423,-1.899,-27.991,623.782,2012.627
0.4999,4.342751,0.949076,0.009664,0.0554,1514.083,543.156,1971.380,46.423,39.436,7.285,633.992,1981.584
0.5098,4.340682,0.978103,0.016532,0.0947,1516.199,543.643,2004.431,46.423,8.988,-18.237,634.873,2015.048
0.5198,4.337079,1.007098,0.028319,0.1623,1518.333,538.918,1968.550,46.423,42.278,21.682,629.928,1979.203
0.5298,4.331977,1.036040,0.044786,0.2566,1520.450,531.741,1996.857,46.423,8.910,1.317,622.391,2007.411
0.5398,4.325767,1.064831,0.064541,0.3698,1522.551,533.716,2002.283,46.423,7.561,5.312,625.805,2012.764
0.5498,4.319200,1.093333,0.085082,0.4875,1524.593,619.492,2026.234,46.423,71.427,-5.696,727.633,2036.951
0.5598,4.313418,1.121363,0.102753,0.5887,1526.582,694.647,2048.904,46.423,125.902,-22.031,817.148,2059.816
0.5698,4.309933,1.148736,0.113037,0.6477,1528.493,745.180,2025.954,46.423,201.295,-3.458,877.407,2036.614
0.5798,4.310336,1.175374,0.111146,0.6368,1530.373,753.080,2019.805,46.423,217.224,-16.032,886.641,2030.318
0.5898,4.316043,1.201361,0.092735,0.5313,1532.234,706.259,1972.187,46.423,219.882,1.520,830.324,1982.606
0.5998,4.327855,1.226919,0.054649,0.3131,1534.108,593.529,1954.778,46.423,126.437,-22.000,695.700,1965.109
0.6098,4.340193,1.252473,0.011517,0.0660,1536.011,377.373,2021.288,46.423,-154.326,63.018,440.853,2031.940
0.6198,4.337013,1.278293,0.027886,0.1598,1537.879,510.584,2043.679,46.423,-41.640,27.624,596.796,2054.301
0.6298,4.327353,1.303808,0.059988,0.3437,1539.693,563.422,2148.989,46.423,-92.298,-94.108,660.005,2159.907
0.6398,4.312787,1.328991,0.105247,0.6030,1541.401,552.878,2071.766,46.423,-23.910,-27.679,649.987,2082.337
0.6498,4.293150,1.353893,0.163682,0.9378,1543.143,616.212,2072.245,46.423,40.687,-30.662,728.174,2082.932
0.6598,4.268443,1.378446,0.233899,1.3401,1544.924,819.122,1940.999,46.423,376.625,104.949,974.032,1951.037
0.6698,4.239006,1.402509,0.313275,1.7949,1546.658,1047.218,2037.247,46.423,510.206,33.607,1254.614,2047.761
0.6798,4.206073,1.425767,0.397298,2.2763,1548.226,1292.383,2081.547,46.423,712.639,18.037,1561.411,2092.081
0.6898,4.171973,1.447795,0.479511,2.7474,1549.469,1534.481,2216.343,46.423,821.184,-86.664,1870.210,2227.479
