t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,4.343214,0.001587,0.000502,0.0029,1451.253,282.075,1803.508,46.423,-116.604,2.506,329.078,1813.206
0.0100,4.343184,0.002000,0.000553,0.0032,1450.744,275.622,1961.660,46.423,-281.717,-157.658,321.551,1972.665
0.0200,4.343193,0.003238,0.000704,0.0040,1450.233,277.603,1579.603,46.423,101.809,211.200,323.862,1589.091
0.0300,4.343093,0.005290,0.000852,0.0049,1449.985,255.857,1831.332,46.423,-171.914,-46.500,298.496,1841.231
0.0400,4.343102,0.008204,0.001053,0.0060,1449.880,257.917,1501.248,46.423,160.127,265.820,300.902,1508.937
0.0500,4.343146,0.012047,0.001263,0.0072,1449.741,267.448,2098.578,46.423,-427.812,-283.395,312.022,2110.551
0.0600,4.343193,0.016842,0.001503,0.0086,1449.606,277.753,1692.714,46.423,-11.779,100.656,324.047,1702.583
0.0700,4.343221,0.022545,0.001712,0.0098,1449.402,283.819,2107.562,46.423,-420.764,-288.321,331.127,2118.584
0.0800,4.343146,0.029224,0.001954,0.0112,1449.621,267.535,1520.013,46.423,150.721,244.843,312.135,1527.898
0.0900,4.343167,0.036942,0.002186,0.0125,1449.806,272.020,1792.145,46.423,-116.742,13.750,317.372,1802.739
0.1000,4.343096,0.045607,0.002399,0.0137,1450.326,256.657,1692.953,46.423,-32.393,88.689,299.455,1703.078
0.1100,4.343205,0.055118,0.002625,0.0150,1450.569,280.249,1798.040,46.423,-113.646,9.919,326.981,1807.518
0.1200,4.343166,0.065501,0.002849,0.0163,1451.112,271.905,1945.367,46.423,-268.774,-148.387,317.255,1955.062
0.1300,4.343252,0.076734,0.003088,0.0177,1451.476,290.588,1787.240,46.423,-91.599,28.420,339.056,1797.561
0.1400,4.343185,0.088690,0.003260,0.0187,1452.102,276.063,1931.299,46.423,-249.557,-121.588,322.118,1942.675
0.1500,4.343195,0.101291,0.003451,0.0198,1452.764,278.245,1586.243,46.423,98.343,203.211,324.669,1594.447
0.1600,4.343157,0.114566,0.003620,0.0207,1453.598,270.018,1847.751,46.423,-170.558,-45.386,315.079,1857.631
0.1699,4.343189,0.128504,0.003823,0.0219,1454.436,277.000,1689.302,46.423,-4.289,114.916,323.231,1699.092
0.1799,4.343233,0.143032,0.004007,0.0230,1455.201,286.711,1992.151,46.423,-296.663,-164.050,334.566,2003.159
0.1899,4.343244,0.158176,0.004230,0.0242,1456.070,293.827,1787.456,46.423,-83.983,22.407,342.874,1796.725
0.1999,4.343252,0.174030,0.004440,0.0254,1456.951,302.805,1867.723,46.423,-154.391,-43.826,353.354,1877.996
0.2099,4.343212,0.190557,0.004637,0.0266,1458.047,302.315,1739.129,46.423,-25.190,72.184,352.786,1749.067
0.2199,4.343227,0.207772,0.004849,0.0278,1459.152,307.799,1780.698,46.423,-60.171,39.378,359.191,1790.567
0.2299,4.343219,0.225759,0.005086,0.0291,1460.384,308.054,1816.183,46.423,-94.169,1.793,359.500,1825.948
0.2399,4.343271,0.244470,0.005330,0.0305,1461.544,314.129,1836.073,46.423,-106.824,-3.238,366.602,1846.142
0.2499,4.343279,0.263830,0.005560,0.0319,1462.799,310.458,1924.145,46.423,-197.312,-87.147,362.336,1934.656
0.2599,4.343302,0.283874,0.005814,0.0333,1464.080,306.376,1811.259,46.423,-87.227,25.684,357.594,1821.155
0.2699,4.343278,0.304553,0.006013,0.0345,1465.490,296.900,1837.027,46.423,-121.061,-0.138,346.554,1847.228
0.2799,4.343272,0.325745,0.006199,0.0355,1466.977,295.497,1761.026,46.423,-44.975,72.831,344.929,1770.666
0.2899,4.343289,0.347433,0.006398,0.0367,1468.481,299.378,1865.501,46.423,-144.065,-20.615,349.469,1875.493
0.2999,4.343314,0.369589,0.006616,0.0379,1470.011,318.890,1843.053,46.423,-100.575,6.539,372.238,1853.233
0.3099,4.343346,0.392109,0.006810,0.0390,1471.497,342.518,1909.485,46.423,-141.893,-48.353,399.800,1919.987
0.3199,4.343352,0.414925,0.006999,0.0401,1473.049,360.195,1868.176,46.423,-81.355,-10.265,420.420,1878.014
0.3299,4.343354,0.438039,0.007172,0.0411,1474.646,374.676,1836.867,46.423,-33.967,24.761,437.310,1846.873
0.3399,4.343345,0.461443,0.007331,0.0420,1476.311,384.225,1846.235,46.423,-32.122,18.206,448.446,1856.687
0.3499,4.343360,0.485120,0.007509,0.0430,1477.972,394.617,1847.607,46.423,-21.442,20.171,460.572,1857.554
0.3599,4.343382,0.509075,0.007706,0.0442,1479.644,402.864,1903.173,46.423,-67.088,-28.303,470.202,1913.169
0.3699,4.343416,0.533313,0.007930,0.0454,1481.299,409.585,1898.684,46.423,-54.223,-14.144,478.060,1909.092
0.3799,4.343431,0.557830,0.008142,0.0466,1482.974,409.247,1906.635,46.423,-60.837,-16.721,477.687,1917.213
0.3899,4.343436,0.582624,0.008344,0.0478,1484.701,403.050,1868.297,46.423,-26.969,20.374,470.485,1878.237
0.3999,4.343437,0.607719,0.008536,0.0489,1486.477,391.752,1875.945,46.423,-44.139,16.733,457.337,1886.041
0.4099,4.343444,0.633095,0.008732,0.0500,1488.286,377.235,1883.122,46.423,-64.024,15.527,440.437,1893.580
0.4199,4.343468,0.658684,0.008935,0.0512,1490.080,361.360,1913.951,46.423,-108.934,-8.266,421.955,1924.271
0.4299,4.343494,0.684436,0.009151,0.0524,1491.875,344.715,1926.278,46.423,-136.112,-14.648,402.573,1936.506
0.4399,4.343519,0.710286,0.009353,0.0536,1493.656,375.786,1936.555,46.423,-113.536,-16.789,438.819,1947.021
0.4499,4.343530,0.736119,0.009519,0.0545,1495.452,404.318,1916.482,46.423,-63.136,6.178,472.091,1926.857
0.4599,4.343535,0.761872,0.009656,0.0553,1497.259,428.759,1910.930,46.423,-31.335,14.336,500.586,1921.191
0.4699,4.343542,0.787508,0.009785,0.0561,1499.061,450.340,1919.404,46.423,-16.427,10.347,525.743,1929.732
0.4799,4.343560,0.812948,0.009912,0.0568,1500.830,469.458,1939.266,46.423,-15.400,-3.235,548.031,1949.627
0.4899,4.343583,0.838133,0.010049,0.0576,1502.562,485.343,1959.217,46.423,-17.736,-16.062,566.552,1969.699
0.4999,4.343607,0.863053,0.010197,0.0584,1504.254,497.206,1960.732,46.423,-5.695,-10.664,580.392,1971.238
0.5098,4.343523,0.887697,0.010629,0.0609,1505.937,495.832,1956.815,46.423,-1.469,-3.921,578.806,1967.288
0.5198,4.343197,0.912081,0.012136,0.0695,1507.607,481.323,1943.408,46.423,-0.902,10.639,561.949,1953.758
0.5298,4.342654,0.936212,0.014837,0.0850,1509.259,462.336,1952.737,46.423,-27.565,4.524,539.929,1963.172
0.5398,4.342100,0.960036,0.017922,0.1027,1510.878,449.816,1957.303,46.423,-43.032,5.139,525.499,1967.779
0.5498,4.341878,0.983454,0.019768,0.1133,1512.445,452.035,1990.697,46.423,-72.641,-21.098,528.250,2001.283
0.5598,4.342461,1.006365,0.018117,0.1038,1513.973,475.309,1975.331,46.423,-32.472,-2.421,555.440,1985.836
0.5698,4.343515,1.028782,0.013192,0.0756,1515.463,463.185,1978.021,46.423,-45.797,5.530,541.096,1988.660
0.5798,4.343656,1.050886,0.011499,0.0659,1516.954,409.911,1950.538,46.423,-70.096,23.416,478.850,1960.931
0.5898,4.343670,1.072618,0.011093,0.0636,1518.412,424.693,1965.062,46.423,-68.380,11.765,496.031,1975.457
