t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,4.343212,0.001597,0.000503,0.0029,1451.254,281.790,1799.126,46.423,-112.506,6.632,328.745,1808.805
0.0100,4.343182,0.002013,0.000554,0.0032,1450.751,275.271,1958.000,46.423,-278.400,-154.340,321.142,1968.987
0.0200,4.343190,0.003263,0.000706,0.0040,1450.255,276.912,1571.656,46.423,109.088,218.351,323.057,1581.107
0.0300,4.343089,0.005324,0.000853,0.0049,1450.025,255.031,1819.810,46.423,-161.177,-35.795,297.533,1829.680
0.0400,4.343100,0.008251,0.001055,0.0060,1449.937,257.321,1502.788,46.423,158.047,264.224,300.206,1510.488
0.0500,4.343140,0.012128,0.001270,0.0073,1449.829,266.157,2085.391,46.423,-415.828,-272.287,310.517,2097.240
0.0600,4.343194,0.016981,0.001513,0.0087,1449.707,277.937,1692.250,46.423,-11.029,102.011,324.261,1702.139
0.0700,4.343221,0.022752,0.001725,0.0099,1449.525,283.673,2115.458,46.423,-428.683,-295.618,330.956,2126.566
0.0800,4.343143,0.029536,0.001976,0.0113,1449.776,266.733,1515.320,46.423,154.765,248.372,311.199,1523.182
0.0900,4.343159,0.037414,0.002218,0.0127,1450.008,270.348,1805.132,46.423,-131.199,0.013,315.422,1815.762
0.1000,4.343094,0.046272,0.002436,0.0140,1450.566,256.203,1676.020,46.423,-15.673,104.703,298.927,1686.047
0.1100,4.343197,0.056002,0.002668,0.0153,1450.862,278.574,1808.835,46.423,-125.823,-0.889,325.029,1818.510
0.1200,4.343162,0.066668,0.002909,0.0167,1451.457,271.082,1914.371,46.423,-238.255,-120.092,316.296,1923.851
0.1300,4.343247,0.078243,0.003157,0.0181,1451.879,289.492,1803.882,46.423,-108.935,11.307,337.780,1814.118
0.1400,4.343179,0.090589,0.003340,0.0191,1452.575,274.834,1913.228,46.423,-232.243,-104.680,320.686,1924.622
