t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,5.909923,0.002456,0.000022,0.0001,1467.562,109.037,1649.667,15.923,-88.991,-0.125,127.206,1792.304
0.0100,5.909906,0.003129,0.000148,0.0008,1468.603,106.444,1678.957,15.923,-119.833,-24.363,124.181,1816.401
0.0200,5.909941,0.005066,0.000395,0.0023,1469.745,111.936,1681.406,15.923,-115.647,-16.427,130.588,1810.585
0.0300,5.909882,0.008199,0.000666,0.0038,1471.231,102.599,1586.901,15.923,-28.994,59.108,119.698,1707.881
0.0400,5.909782,0.012570,0.000962,0.0055,1473.234,88.057,1578.588,15.923,-33.220,54.660,102.734,1703.380
0.0500,5.909858,0.018217,0.001248,0.0072,1475.001,105.652,1730.094,15.923,-165.363,-67.827,123.264,1872.468
0.0600,5.910018,0.024977,0.001474,0.0084,1476.246,129.986,1758.166,15.923,-167.856,-76.892,151.654,1902.557
0.0699,5.909972,0.032585,0.001652,0.0095,1477.905,129.907,1613.361,15.923,-21.472,46.745,151.563,1741.484
0.0799,5.909812,0.040850,0.001802,0.0103,1480.237,115.468,1570.634,15.923,9.148,76.245,134.719,1693.743
0.0899,5.909813,0.049758,0.001968,0.0113,1482.467,117.420,1677.305,15.923,-93.340,-9.808,136.999,1808.876
0.0999,5.909938,0.059480,0.002178,0.0125,1484.320,132.734,1732.616,15.923,-131.484,-52.233,154.868,1870.584
0.1099,5.909968,0.070100,0.002389,0.0137,1486.271,136.798,1665.981,15.923,-58.835,-0.964,159.614,1800.853
0.1199,5.909903,0.081421,0.002530,0.0145,1488.414,126.024,1646.612,15.923,-48.096,19.790,147.048,1779.480
0.1299,5.909889,0.093184,0.002632,0.0151,1490.477,118.495,1688.814,15.923,-95.765,-4.746,138.267,1823.921
0.1399,5.909916,0.105362,0.002738,0.0157,1492.468,123.611,1684.021,15.923,-83.864,2.296,144.238,1817.731
0.1499,5.909904,0.117901,0.002827,0.0162,1494.599,128.421,1657.051,15.923,-49.954,17.097,149.850,1787.667
0.1599,5.909898,0.130829,0.002943,0.0169,1496.793,137.972,1685.319,15.923,-66.477,-9.791,160.993,1818.368
