t,z_gap,hub_lat,bear_perp,tilt_deg,F_thrust,F_bridle,F_trpt,F_grav,F_pred,F_meas,cone_total,topbay
0.0000,5.901042,0.002591,0.000008,0.0000,1389.129,121.710,1584.188,14.585,-87.934,-0.185,141.991,1720.448
0.0100,5.901034,0.003291,0.000154,0.0009,1390.331,120.464,1620.392,14.585,-124.182,-28.927,140.537,1752.227
0.0200,5.901067,0.005297,0.000551,0.0032,1391.665,125.823,1605.476,14.585,-102.572,-6.091,146.790,1728.189
0.0300,5.901001,0.008542,0.001089,0.0062,1393.356,115.141,1531.335,14.585,-37.423,49.964,134.330,1647.842
0.0400,5.900930,0.013110,0.001741,0.0100,1395.461,103.921,1532.724,14.585,-47.927,40.186,121.245,1654.486
0.0500,5.901002,0.019036,0.002428,0.0139,1397.382,115.431,1646.463,14.585,-148.236,-49.169,134.678,1782.155
0.0600,5.901131,0.026065,0.003024,0.0173,1398.855,136.052,1694.551,14.585,-174.229,-75.799,158.741,1832.310
0.0700,5.901089,0.033897,0.003526,0.0202,1400.676,129.425,1559.734,14.585,-44.218,38.703,151.017,1682.306
0.0800,5.900942,0.042383,0.003959,0.0227,1403.123,113.111,1506.057,14.585,-4.408,76.254,131.989,1623.709
0.0900,5.900943,0.051396,0.004322,0.0248,1405.501,112.296,1622.812,14.585,-119.600,-18.113,131.045,1750.011
0.1000,5.901075,0.060858,0.004628,0.0265,1407.427,127.230,1674.742,14.585,-154.670,-57.217,148.475,1808.529
0.1100,5.901111,0.070773,0.004929,0.0282,1409.338,133.014,1602.798,14.585,-75.031,3.609,155.229,1732.329
0.1200,5.901027,0.081243,0.005253,0.0301,1411.624,119.697,1576.293,14.585,-59.556,28.899,139.700,1702.707
0.1299,5.900990,0.092167,0.005532,0.0317,1414.026,123.385,1613.081,14.585,-90.255,3.859,144.006,1740.959
0.1399,5.901038,0.103414,0.005766,0.0330,1416.226,137.336,1635.506,14.585,-96.529,-11.350,160.283,1764.030
0.1499,5.901060,0.114805,0.005914,0.0339,1418.448,147.110,1614.440,14.585,-63.467,1.572,171.685,1741.666
0.1599,5.901035,0.126207,0.006005,0.0344,1420.797,150.507,1611.641,14.585,-54.922,0.449,175.645,1739.593
0.1699,5.901052,0.137652,0.006084,0.0349,1423.015,157.622,1638.739,14.585,-72.688,-9.348,183.943,1770.493
0.1799,5.901072,0.149125,0.006157,0.0353,1425.139,163.622,1639.780,14.585,-65.603,-2.092,190.943,1771.798
0.1899,5.901049,0.160775,0.006283,0.0360,1427.414,164.373,1616.237,14.585,-39.035,12.612,191.818,1744.121
0.1999,5.901033,0.172647,0.006408,0.0367,1429.790,164.700,1618.244,14.585,-38.338,8.138,192.200,1744.712
0.2099,5.901055,0.184573,0.006495,0.0372,1432.068,167.421,1647.240,14.585,-62.336,-12.091,195.378,1776.354
0.2199,5.901081,0.196549,0.006573,0.0377,1434.243,168.929,1649.353,14.585,-60.766,-6.687,197.141,1781.898
0.2299,5.901070,0.208306,0.006531,0.0374,1436.446,163.420,1637.231,14.585,-51.950,5.928,190.717,1770.077
0.2399,5.901063,0.219803,0.006485,0.0372,1438.659,157.068,1649.446,14.585,-68.304,-3.328,183.310,1780.201
0.2499,5.901075,0.231275,0.006497,0.0372,1440.835,152.271,1647.866,14.585,-69.344,-0.178,177.719,1776.342
0.2599,5.901070,0.242789,0.006544,0.0375,1443.043,145.619,1639.116,14.585,-65.039,7.496,169.964,1767.666
0.2699,5.901061,0.254447,0.006626,0.0380,1445.297,138.079,1645.058,14.585,-76.268,3.930,161.173,1776.698
0.2799,5.901082,0.266035,0.006632,0.0380,1447.443,130.787,1670.726,14.585,-107.080,-11.999,152.672,1805.620
0.2899,5.901112,0.277375,0.006602,0.0378,1449.465,140.777,1678.923,14.585,-103.267,-13.428,164.322,1812.260
0.2999,5.901095,0.288571,0.006583,0.0377,1451.578,147.248,1645.480,14.585,-61.239,13.364,171.867,1774.465
0.3099,5.901060,0.299664,0.006539,0.0375,1453.805,150.530,1636.988,14.585,-47.237,19.099,175.689,1765.725
0.3199,5.901071,0.310524,0.006462,0.0370,1455.939,156.871,1674.954,14.585,-76.728,-8.935,183.081,1808.113
0.3299,5.901115,0.321260,0.006458,0.0370,1457.904,166.604,1694.579,14.585,-84.655,-20.175,194.432,1830.306
0.3399,5.901127,0.332003,0.006498,0.0372,1459.865,172.219,1671.738,14.585,-54.239,1.629,200.980,1804.923
0.3499,5.901097,0.342804,0.006537,0.0375,1461.953,171.972,1656.935,14.585,-37.594,14.212,200.689,1787.609
0.3599,5.901081,0.353454,0.006484,0.0372,1464.061,170.762,1669.918,14.585,-49.680,4.194,199.275,1801.459
0.3699,5.901101,0.363776,0.006390,0.0366,1465.858,171.441,1686.036,14.585,-63.321,-6.212,200.067,1819.610
0.3799,5.901123,0.373857,0.006336,0.0363,1467.577,171.366,1688.055,14.585,-63.696,-6.147,199.981,1822.461
0.3898,5.901123,0.383894,0.006338,0.0363,1469.306,168.508,1683.658,14.585,-60.429,-0.474,196.649,1817.644
0.3998,5.901115,0.393890,0.006327,0.0362,1471.040,163.449,1683.046,14.585,-63.142,3.051,190.751,1816.362
0.4098,5.901112,0.403720,0.006286,0.0360,1472.760,157.455,1684.939,14.585,-69.309,3.149,183.761,1818.090
0.4198,5.901115,0.413438,0.006263,0.0359,1474.471,150.892,1687.905,14.585,-77.126,0.485,176.108,1821.332
0.4298,5.901123,0.423018,0.006229,0.0357,1476.146,143.871,1694.592,14.585,-89.160,-3.528,167.922,1828.899
0.4398,5.901135,0.432438,0.006201,0.0355,1477.777,137.068,1696.285,14.585,-96.025,-1.727,159.988,1830.813
0.4498,5.901134,0.441733,0.006171,0.0354,1479.390,136.981,1697.276,14.585,-95.491,0.704,159.885,1832.316
0.4598,5.901125,0.450834,0.006106,0.0350,1481.014,143.289,1694.214,14.585,-84.495,3.244,167.240,1828.360
0.4698,5.901127,0.459774,0.006057,0.0347,1482.618,150.359,1698.745,14.585,-80.352,0.497,175.483,1832.816
0.4798,5.901137,0.468577,0.006016,0.0345,1484.179,157.158,1705.631,14.585,-78.879,-3.569,183.410,1840.262
0.4898,5.901142,0.477231,0.005984,0.0343,1485.720,162.013,1704.777,14.585,-71.629,-0.912,189.071,1839.961
0.4998,5.901140,0.485870,0.005995,0.0343,1487.259,166.001,1704.310,14.585,-65.635,1.673,193.719,1839.879
0.5098,5.901142,0.494427,0.005969,0.0342,1488.779,168.868,1710.082,14.585,-67.020,-1.151,197.061,1845.862
0.5198,5.901146,0.502743,0.005903,0.0338,1490.269,169.883,1710.911,14.585,-65.344,-0.938,198.244,1845.532
0.5298,5.901145,0.510868,0.005845,0.0335,1491.748,169.150,1706.811,14.585,-60.498,3.102,197.387,1841.659
0.5398,5.901142,0.518827,0.005784,0.0331,1493.217,166.831,1711.494,14.585,-66.030,0.434,194.683,1846.821
0.5498,5.901148,0.526689,0.005762,0.0330,1494.650,164.949,1719.288,14.585,-74.274,-3.447,192.488,1856.128
0.5598,5.901159,0.534535,0.005772,0.0331,1496.051,162.782,1721.777,14.585,-77.529,-2.895,189.963,1858.286
0.5698,5.901157,0.542252,0.005744,0.0329,1497.454,157.537,1716.857,14.585,-76.450,1.479,183.848,1852.266
0.5798,5.901149,0.549809,0.005696,0.0326,1498.865,150.226,1711.820,14.585,-77.313,5.874,175.321,1846.714
0.5898,5.901149,0.557228,0.005645,0.0323,1500.251,142.653,1721.799,14.585,-93.480,-0.891,166.488,1858.052
0.5998,5.901157,0.564474,0.005596,0.0321,1501.588,140.580,1732.293,14.585,-104.710,-7.374,164.070,1869.726
0.6098,5.901166,0.571620,0.005581,0.0320,1502.903,142.008,1724.717,14.585,-94.392,0.478,165.735,1861.550
0.6198,5.901164,0.578650,0.005544,0.0318,1504.179,141.644,1722.661,14.585,-91.424,4.046,165.309,1858.528
0.6298,5.901155,0.585526,0.005490,0.0315,1505.351,146.315,1726.438,14.585,-89.356,0.076,170.756,1862.567
0.6398,5.901156,0.592338,0.005473,0.0314,1506.507,152.157,1727.253,14.585,-83.173,0.894,177.568,1863.747
0.6497,5.901166,0.599088,0.005457,0.0313,1507.629,158.012,1733.056,14.585,-81.999,-1.989,184.395,1870.393
0.6597,5.901170,0.605674,0.005417,0.0310,1508.730,161.802,1736.764,14.585,-80.817,-3.916,188.814,1874.275
0.6697,5.901168,0.612111,0.005374,0.0308,1509.821,163.704,1730.915,14.585,-71.975,1.897,191.030,1867.603
0.6797,5.901162,0.618429,0.005329,0.0305,1510.907,163.995,1730.187,14.585,-69.870,3.362,191.367,1866.731
0.6897,5.901162,0.624667,0.005300,0.0304,1511.982,163.831,1734.968,14.585,-73.740,-0.253,191.175,1871.893
0.6997,5.901168,0.630838,0.005283,0.0303,1513.030,163.327,1739.822,14.585,-78.050,-2.770,190.588,1877.492
0.7097,5.901173,0.636865,0.005247,0.0301,1514.056,161.345,1738.503,14.585,-77.687,-0.545,188.277,1875.906
0.7197,5.901171,0.642796,0.005227,0.0299,1515.073,157.691,1739.293,14.585,-81.113,0.301,184.016,1876.815
0.7297,5.901168,0.648684,0.005212,0.0299,1516.092,152.714,1737.313,14.585,-83.092,2.283,178.212,1874.448
0.7397,5.901168,0.654452,0.005170,0.0296,1517.090,146.976,1741.816,14.585,-92.334,-0.788,171.520,1879.208
0.7497,5.901170,0.660084,0.005133,0.0294,1518.069,142.580,1743.816,14.585,-97.752,-1.772,166.393,1881.503
0.7597,5.901173,0.665614,0.005103,0.0292,1519.030,143.018,1743.361,14.585,-95.898,-0.077,166.903,1881.108
0.7697,5.901173,0.671038,0.005071,0.0291,1519.977,142.987,1743.964,14.585,-95.584,0.631,166.866,1881.787
0.7797,5.901173,0.676400,0.005055,0.0290,1520.915,142.969,1746.273,14.585,-96.975,-0.360,166.844,1884.217
0.7897,5.901172,0.681693,0.005031,0.0288,1521.845,143.648,1745.914,14.585,-95.005,0.169,167.636,1883.473
0.7997,5.901172,0.686886,0.005005,0.0287,1522.761,148.980,1746.709,14.585,-89.554,0.309,173.853,1884.512
0.8097,5.901173,0.692007,0.004981,0.0285,1523.664,153.380,1749.583,14.585,-87.124,-1.256,178.984,1887.692
0.8197,5.901174,0.697007,0.004942,0.0283,1524.548,156.504,1750.442,14.585,-83.976,-0.908,182.626,1888.758
0.8297,5.901175,0.701890,0.004908,0.0281,1525.416,158.483,1749.736,14.585,-80.422,0.671,184.933,1887.902
0.8397,5.901174,0.706728,0.004893,0.0280,1526.279,159.530,1750.565,14.585,-79.342,0.609,186.153,1888.488
0.8497,5.901172,0.711506,0.004871,0.0279,1527.136,159.224,1750.817,14.585,-79.042,0.601,185.796,1888.815
0.8597,5.901174,0.716210,0.004852,0.0278,1527.978,158.186,1753.086,14.585,-81.507,-0.202,184.586,1891.408
0.8697,5.901175,0.720855,0.004836,0.0277,1528.806,156.071,1756.264,14.585,-85.973,-2.021,182.119,1894.934
0.8797,5.901176,0.725391,0.004806,0.0275,1529.619,152.698,1754.563,14.585,-86.831,0.106,178.185,1893.037
0.8897,5.901175,0.729858,0.004789,0.0274,1530.424,148.352,1753.802,14.585,-89.611,1.610,173.117,1891.985
0.8996,5.901173,0.734260,0.004763,0.0273,1531.224,142.955,1755.534,14.585,-95.940,0.423,166.822,1893.853
0.9096,5.901173,0.738573,0.004735,0.0271,1532.010,142.914,1756.993,14.585,-96.654,-0.303,166.774,1895.517
0.9196,5.901175,0.742824,0.004720,0.0270,1532.779,143.307,1759.124,14.585,-97.622,-0.882,167.232,1897.919
0.9296,5.901176,0.747009,0.004701,0.0269,1533.539,143.480,1759.870,14.585,-97.436,-1.049,167.433,1898.633
0.9396,5.901175,0.751125,0.004684,0.0268,1534.291,143.297,1758.631,14.585,-95.628,0.873,167.220,1897.231
0.9496,5.901174,0.755196,0.004668,0.0267,1535.036,143.052,1759.363,14.585,-95.860,0.552,166.934,1897.928
0.9596,5.901172,0.759184,0.004637,0.0266,1535.772,145.760,1761.340,14.585,-94.394,-0.725,170.091,1900.136
0.9696,5.901174,0.763081,0.004611,0.0264,1536.489,149.666,1762.189,14.585,-90.619,-0.603,174.645,1901.069
0.9796,5.901175,0.766933,0.004598,0.0263,1537.199,152.713,1763.120,14.585,-87.793,-0.574,178.199,1902.121
0.9896,5.901174,0.770722,0.004578,0.0262,1537.899,154.443,1762.741,14.585,-84.984,0.283,180.216,1901.569
0.9996,5.901173,0.774461,0.004562,0.0261,1538.593,155.137,1763.194,14.585,-84.049,0.442,181.024,1902.155
1.0096,5.901173,0.778154,0.004547,0.0261,1539.279,154.907,1764.215,14.585,-84.614,-0.085,180.756,1903.008
1.0196,5.901173,0.781787,0.004530,0.0260,1539.954,153.612,1765.266,14.585,-86.285,-0.300,179.246,1904.446
1.0296,5.901174,0.785376,0.004521,0.0259,1540.619,151.515,1765.484,14.585,-87.935,0.274,176.801,1904.441
1.0396,5.901173,0.788899,0.004499,0.0258,1541.275,148.016,1766.934,14.585,-92.228,-0.514,172.719,1906.233
1.0496,5.901172,0.792341,0.004474,0.0256,1541.921,143.735,1766.605,14.585,-95.533,0.277,167.726,1905.622
1.0596,5.901172,0.795744,0.004464,0.0256,1542.561,142.796,1767.592,14.585,-96.820,-0.103,166.631,1906.769
1.0696,5.901172,0.799111,0.004452,0.0255,1543.192,142.852,1768.413,14.585,-96.954,-0.234,166.696,1907.550
1.0796,5.901172,0.802420,0.004438,0.0254,1543.815,142.782,1769.525,14.585,-97.512,-0.821,166.615,1908.933
1.0896,5.901172,0.805686,0.004426,0.0254,1544.428,142.839,1768.847,14.585,-96.165,0.586,166.680,1908.045
1.0996,5.901172,0.808890,0.004406,0.0252,1545.033,142.767,1770.551,14.585,-97.336,-0.599,166.596,1910.008
1.1096,5.901171,0.812032,0.004387,0.0251,1545.629,142.618,1770.233,14.585,-96.570,0.280,166.423,1909.405
1.1196,5.901171,0.815130,0.004371,0.0250,1546.219,143.691,1770.334,14.585,-95.009,0.384,167.673,1909.698
1.1296,5.901170,0.818171,0.004351,0.0249,1546.798,147.008,1772.569,14.585,-93.348,-0.751,171.541,1912.023
1.1396,5.901171,0.821178,0.004343,0.0249,1547.371,149.651,1772.384,14.585,-89.948,-0.292,174.623,1911.913
1.1496,5.901172,0.824157,0.004335,0.0248,1547.935,151.374,1772.337,14.585,-87.612,0.589,176.632,1911.781
1.1595,5.901170,0.827078,0.004316,0.0247,1548.493,151.712,1773.420,14.585,-87.799,-0.252,177.026,1912.897
1.1695,5.901169,0.829962,0.004306,0.0247,1549.046,151.132,1773.702,14.585,-88.109,0.005,176.349,1913.223
1.1795,5.901169,0.832808,0.004292,0.0246,1549.591,149.652,1773.566,14.585,-88.908,0.377,174.623,1913.060
1.1895,5.901170,0.835599,0.004277,0.0245,1550.124,147.230,1775.978,14.585,-93.210,-0.780,171.798,1915.736
1.1995,5.901170,0.838357,0.004269,0.0245,1550.654,143.936,1775.278,14.585,-95.273,-0.167,167.957,1914.862
1.2095,5.901169,0.841070,0.004255,0.0244,1551.174,142.296,1775.115,14.585,-96.229,0.730,166.044,1914.750
1.2195,5.901168,0.843743,0.004244,0.0243,1551.691,142.156,1776.495,14.585,-97.233,-0.346,165.880,1916.115
1.2295,5.901168,0.846393,0.004238,0.0243,1552.201,142.102,1777.287,14.585,-97.570,-0.548,165.817,1917.075
1.2395,5.901168,0.848994,0.004224,0.0242,1552.701,142.167,1776.326,14.585,-96.042,0.666,165.894,1915.974
1.2495,5.901168,0.851546,0.004211,0.0241,1553.194,142.166,1778.277,14.585,-97.503,-0.388,165.891,1918.123
1.2595,5.901167,0.854059,0.004197,0.0240,1553.683,141.986,1778.412,14.585,-97.328,-0.385,165.681,1918.179
1.2695,5.901167,0.856521,0.004179,0.0239,1554.162,141.922,1778.068,14.585,-96.568,0.365,165.606,1917.856
1.2795,5.901167,0.858956,0.004171,0.0239,1554.637,142.269,1778.609,14.585,-96.288,0.327,166.011,1918.353
1.2895,5.901167,0.861366,0.004162,0.0238,1555.104,145.376,1780.313,14.585,-94.419,-0.736,169.634,1920.297
1.2995,5.901166,0.863733,0.004150,0.0238,1555.566,147.448,1779.745,14.585,-91.315,0.010,172.051,1919.588
1.3095,5.901167,0.866073,0.004142,0.0237,1556.021,148.689,1779.982,14.585,-89.856,0.367,173.498,1919.892
1.3195,5.901166,0.868381,0.004130,0.0237,1556.471,148.766,1781.003,14.585,-90.351,-0.320,173.586,1920.944
1.3295,5.901165,0.870646,0.004118,0.0236,1556.915,147.913,1781.073,14.585,-90.829,-0.025,172.592,1920.990
1.3395,5.901165,0.872885,0.004110,0.0235,1557.353,146.180,1781.309,14.585,-92.361,0.107,170.571,1921.303
1.3495,5.901165,0.875090,0.004099,0.0235,1557.784,143.518,1782.199,14.585,-95.481,-0.220,167.466,1922.196
1.3595,5.901165,0.877266,0.004094,0.0235,1558.210,141.615,1782.164,14.585,-96.923,0.093,165.246,1922.204
1.3695,5.901165,0.879423,0.004089,0.0234,1558.632,141.606,1782.787,14.585,-97.135,-0.013,165.236,1922.815
1.3795,5.901164,0.881539,0.004076,0.0234,1559.047,141.443,1782.948,14.585,-97.042,-0.073,165.046,1922.991
1.3895,5.901164,0.883619,0.004067,0.0233,1559.456,141.447,1783.062,14.585,-96.743,0.354,165.050,1923.108
1.3995,5.901164,0.885671,0.004057,0.0232,1559.860,141.401,1784.393,14.585,-97.716,-0.604,164.997,1924.544
1.4095,5.901163,0.887680,0.004044,0.0232,1560.257,141.341,1784.225,14.585,-97.212,-0.038,164.927,1924.356
1.4194,5.901163,0.889661,0.004035,0.0231,1560.649,141.350,1783.983,14.585,-96.569,0.379,164.937,1924.073
1.4294,5.901163,0.891618,0.004026,0.0231,1561.036,141.276,1785.188,14.585,-97.461,-0.158,164.850,1925.370
1.4394,5.901162,0.893542,0.004016,0.0230,1561.418,141.412,1785.297,14.585,-97.052,-0.264,165.009,1925.452
1.4494,5.901162,0.895447,0.004010,0.0230,1561.794,144.083,1785.472,14.585,-94.180,0.170,168.124,1925.697
1.4594,5.901162,0.897321,0.003999,0.0229,1562.165,145.736,1785.779,14.585,-92.462,0.021,170.051,1925.954
1.4694,5.901162,0.899163,0.003989,0.0229,1562.531,146.409,1786.682,14.585,-92.327,-0.340,170.836,1926.996
1.4794,5.901162,0.900989,0.003984,0.0228,1562.893,146.243,1786.003,14.585,-91.451,0.401,170.642,1926.155
1.4894,5.901161,0.902783,0.003973,0.0228,1563.250,145.018,1787.072,14.585,-93.389,-0.123,169.213,1927.409
1.4994,5.901161,0.904555,0.003968,0.0227,1563.602,142.982,1787.132,14.585,-95.132,-0.034,166.839,1927.346
1.5094,5.901161,0.906311,0.003964,0.0227,1563.949,140.963,1787.811,14.585,-97.483,-0.205,164.484,1928.226
1.5194,5.901161,0.908039,0.003957,0.0227,1564.293,140.918,1787.749,14.585,-97.123,-0.030,164.431,1927.971
1.5294,5.901160,0.909741,0.003950,0.0226,1564.631,140.852,1788.058,14.585,-97.160,0.076,164.354,1928.481
1.5394,5.901160,0.911419,0.003942,0.0226,1564.965,140.814,1788.055,14.585,-96.862,0.246,164.309,1928.281
1.5494,5.901159,0.913059,0.003931,0.0225,1565.293,140.724,1789.017,14.585,-97.585,-0.325,164.204,1929.484
1.5594,5.901159,0.914680,0.003925,0.0225,1565.617,140.729,1788.805,14.585,-97.044,0.153,164.211,1929.104
1.5694,5.901159,0.916277,0.003917,0.0224,1565.936,140.695,1789.397,14.585,-97.352,-0.148,164.170,1929.859
1.5794,5.901159,0.917846,0.003909,0.0224,1566.250,140.651,1789.336,14.585,-97.019,0.216,164.119,1929.673
1.5894,5.901159,0.919399,0.003902,0.0224,1566.561,140.620,1790.087,14.585,-97.491,-0.265,164.083,1930.580
1.5994,5.901158,0.920924,0.003893,0.0223,1566.868,140.899,1790.012,14.585,-96.830,0.070,164.408,1930.386
1.6094,5.901158,0.922426,0.003885,0.0223,1567.169,143.024,1790.183,14.585,-94.574,0.107,166.886,1930.675
1.6194,5.901158,0.923912,0.003879,0.0222,1567.467,144.253,1790.641,14.585,-93.506,0.079,168.320,1931.069
1.6294,5.901158,0.925374,0.003871,0.0222,1567.761,144.502,1790.939,14.585,-93.261,-0.123,168.610,1931.458
1.6394,5.901158,0.926819,0.003866,0.0222,1568.051,143.885,1791.148,14.585,-93.797,0.074,167.890,1931.623
1.6494,5.901157,0.928251,0.003862,0.0221,1568.338,142.362,1791.382,14.585,-95.268,-0.032,166.113,1931.895
1.6594,5.901157,0.929660,0.003856,0.0221,1568.620,140.334,1791.683,14.585,-97.313,-0.019,163.749,1932.208
1.6693,5.901157,0.931053,0.003853,0.0221,1568.899,140.316,1791.832,14.585,-97.202,0.043,163.727,1932.363
1.6793,5.901157,0.932425,0.003846,0.0220,1569.174,140.251,1792.277,14.585,-97.438,-0.144,163.651,1932.838
1.6893,5.901156,0.933770,0.003839,0.0220,1569.445,140.210,1792.058,14.585,-96.988,0.228,163.603,1932.587
1.6993,5.901156,0.935099,0.003834,0.0220,1569.711,140.187,1792.640,14.585,-97.327,-0.003,163.576,1933.211
1.7093,5.901156,0.936406,0.003827,0.0219,1569.975,140.120,1792.876,14.585,-97.365,-0.098,163.499,1933.458
1.7193,5.901156,0.937689,0.003820,0.0219,1570.234,140.099,1793.098,14.585,-97.350,-0.043,163.474,1933.689
1.7293,5.901155,0.938958,0.003815,0.0219,1570.490,140.073,1793.216,14.585,-97.237,0.063,163.444,1933.828
1.7393,5.901155,0.940203,0.003806,0.0218,1570.741,140.047,1793.635,14.585,-97.432,-0.140,163.413,1934.230
1.7493,5.901155,0.941429,0.003800,0.0218,1570.990,139.963,1793.880,14.585,-97.512,-0.151,163.314,1934.558
1.7593,5.901155,0.942640,0.003794,0.0217,1571.234,140.548,1793.501,14.585,-96.303,0.325,163.997,1934.053
1.7693,5.901154,0.943831,0.003787,0.0217,1571.475,142.143,1794.264,14.585,-95.230,-0.065,165.856,1934.983
1.7793,5.901154,0.945011,0.003783,0.0217,1571.714,142.920,1794.473,14.585,-94.424,-0.102,166.763,1935.084
1.7893,5.901154,0.946176,0.003778,0.0216,1571.949,142.720,1794.557,14.585,-94.473,-0.022,166.530,1935.290
1.7993,5.901154,0.947326,0.003774,0.0216,1572.180,141.667,1794.589,14.585,-95.327,0.176,165.301,1935.198
1.8093,5.901154,0.948464,0.003771,0.0216,1572.410,139.776,1795.241,14.585,-97.640,-0.282,163.097,1936.019
1.8193,5.901154,0.949587,0.003766,0.0216,1572.636,139.772,1794.774,14.585,-96.952,0.329,163.091,1935.382
1.8293,5.901153,0.950690,0.003761,0.0215,1572.858,139.714,1795.447,14.585,-97.460,-0.130,163.023,1936.238
1.8393,5.901153,0.951781,0.003758,0.0215,1573.078,139.691,1795.560,14.585,-97.376,0.014,162.997,1936.213
1.8493,5.901153,0.952850,0.003752,0.0215,1573.294,139.622,1795.806,14.585,-97.474,-0.199,162.917,1936.607
1.8593,5.901153,0.953905,0.003748,0.0215,1573.507,139.616,1795.683,14.585,-97.144,0.248,162.909,1936.344
1.8693,5.901152,0.954944,0.003742,0.0214,1573.717,139.578,1796.010,14.585,-97.299,-0.047,162.865,1936.797
1.8793,5.901152,0.955963,0.003736,0.0214,1573.924,139.543,1796.229,14.585,-97.347,0.086,162.824,1936.946
1.8893,5.901152,0.956966,0.003730,0.0214,1574.127,139.510,1796.449,14.585,-97.396,-0.114,162.785,1937.239
1.8993,5.901152,0.957955,0.003725,0.0213,1574.328,139.479,1796.666,14.585,-97.444,0.003,162.749,1937.427
1.9093,5.901152,0.958925,0.003718,0.0213,1574.526,139.447,1796.567,14.585,-97.179,0.069,162.711,1937.339
1.9193,5.901151,0.959887,0.003714,0.0213,1574.720,140.244,1797.030,14.585,-96.650,0.024,163.641,1937.829
1.9292,5.901151,0.960836,0.003709,0.0213,1574.913,141.358,1797.087,14.585,-95.400,-0.089,164.940,1937.878
1.9392,5.901151,0.961773,0.003705,0.0212,1575.102,141.594,1797.405,14.585,-95.293,-0.037,165.215,1938.240
1.9492,5.901151,0.962703,0.003703,0.0212,1575.290,140.959,1797.148,14.585,-95.484,0.160,164.475,1937.924
1.9592,5.901151,0.963619,0.003699,0.0212,1575.474,139.381,1797.865,14.585,-97.594,-0.190,162.635,1938.735
1.9692,5.901150,0.964523,0.003696,0.0212,1575.657,139.266,1797.397,14.585,-97.058,0.198,162.500,1938.178
1.9792,5.901150,0.965416,0.003693,0.0212,1575.836,139.251,1797.926,14.585,-97.424,0.022,162.483,1938.795
1.9892,5.901150,0.966295,0.003689,0.0211,1576.014,139.199,1797.908,14.585,-97.280,0.034,162.422,1938.719
