t,bridle_l1,bridle_l2,bridle_l3,cyan,topbay,hub_lat
0.050,47.4881,90.0395,78.6563,185.0188,595.9798,0.01167
0.100,46.3743,108.5687,51.2332,179.9572,550.6290,0.04329
0.150,74.7765,112.5625,17.4857,181.5799,490.3879,0.09361
0.200,123.5963,86.5267,3.8488,188.3570,500.1102,0.16329
0.250,160.9881,34.1318,29.3710,196.4658,529.5521,0.24894
0.300,162.6215,0.0000,97.6305,214.3865,560.9324,0.35048
0.350,107.2356,0.0000,174.1630,224.8866,568.7496,0.46388
0.400,24.1340,22.2315,222.2967,239.2776,577.3140,0.58757
0.450,0.0000,119.1410,205.9617,255.9957,574.9277,0.71690
0.500,0.0000,0.0000,0.0000,283.4583,598.8661,0.84850
0.550,0.0000,0.0000,0.0000,307.1682,526.3103,0.96687
0.600,0.0000,0.0000,0.0000,357.3638,560.9436,1.06868
0.650,0.0000,0.0000,0.0000,487.0114,644.9938,1.15263
0.700,0.0000,0.0000,0.0000,396.3823,463.9178,1.18580
0.750,0.0000,0.0000,0.0000,90.4139,454.6081,1.19206
0.800,0.0000,0.0000,0.0000,603.6538,921.9038,1.21011
0.850,0.0000,0.0000,0.0000,209.1661,268.5044,1.20105
0.900,0.0000,0.0000,0.0000,66.9495,672.6114,1.19203
0.950,0.0000,0.0000,0.0000,220.2139,613.7847,1.22301
1.000,0.0000,0.0000,0.0000,159.6681,589.1513,1.29218
1.050,0.0000,0.0000,0.0000,223.1689,918.9148,1.40733
1.100,0.0000,0.0000,0.0000,196.9173,545.2350,1.49893
1.150,0.0000,0.0000,0.0000,245.8426,290.4225,1.56096
1.200,0.0000,0.0000,0.0000,120.0648,397.7419,1.63106
1.250,0.0000,0.0000,0.0000,405.2638,1017.7907,1.71097
1.300,0.0000,0.0000,0.0000,128.4758,415.7015,1.74737
1.350,0.0000,55.4789,0.0000,406.9217,1229.2624,1.81640
1.400,0.0000,0.0000,0.0000,335.2902,228.7174,1.90145
1.450,0.0000,0.0000,0.0000,355.7636,386.5764,1.94534
1.500,0.0000,0.0000,0.0000,97.3099,320.5376,1.97634
1.550,181.8445,0.0000,102.3763,385.0498,1356.9552,2.00143
1.600,0.0000,0.0000,13.3193,77.2416,113.0523,1.99070
1.650,0.0000,0.0000,0.0000,266.2509,328.7075,1.98529
1.700,0.0000,0.0000,0.0000,210.2599,300.6586,1.98884
1.750,0.0000,0.0000,0.0000,98.2831,204.2496,2.01798
1.800,0.0000,0.0000,0.0000,332.4305,830.6441,2.06932
1.850,0.0000,0.0000,0.0000,215.1642,398.9481,2.06365
1.900,0.0000,0.0000,0.0000,202.3678,449.9887,2.01408
1.950,0.0000,0.0000,0.0000,100.6143,503.2094,1.96464
2.000,0.0000,0.0000,0.0000,166.5016,494.8893,1.89999
2.050,0.0000,0.0000,0.0000,123.6781,716.3282,1.81472
2.100,0.0000,0.0000,0.0000,162.7402,755.0670,1.73296
2.150,0.0000,0.0000,0.0000,254.7779,410.5775,1.66146
2.200,0.0000,0.0000,0.0000,224.2894,623.4792,1.58612
2.250,0.0000,0.0000,0.0000,100.7832,328.5371,1.50703
2.300,0.0000,0.0000,0.0000,430.7646,626.7634,1.43039
2.350,0.0000,150.0692,154.1931,236.4534,146.3924,1.35546
2.400,0.0000,149.8285,23.2483,135.4851,645.9845,1.30736
2.450,0.0000,63.3676,0.0000,220.6139,654.4594,1.26802
2.500,0.0000,0.0000,0.0000,222.1641,947.0463,1.25552
2.550,0.0000,0.0000,0.0000,107.2657,617.7071,1.29093
2.600,0.0000,0.0000,0.0000,359.7129,707.1559,1.34358
2.650,0.0000,0.0000,0.0000,434.3929,580.8980,1.37132
2.700,0.0000,0.0000,0.0000,604.0379,407.5778,1.37163
2.750,0.0000,0.0000,0.0000,78.3922,774.1549,1.36381
2.800,0.0000,0.0000,0.0000,477.6856,485.4085,1.34147
2.850,0.0000,0.0000,0.0000,336.3796,640.8004,1.28180
2.900,0.0000,0.0000,0.0000,33.2458,491.7435,1.22697
2.950,0.0000,0.0000,0.0000,411.9246,357.4427,1.22751
3.000,0.0000,0.0000,0.0000,163.1309,455.7966,1.26482
3.050,0.0000,0.0000,0.0000,259.3806,559.0122,1.33307
3.100,0.0000,0.0000,0.0000,304.9026,715.4565,1.40164
3.150,0.0000,0.0000,0.0000,467.9798,517.4771,1.41840
3.200,0.0000,0.0000,0.0000,0.0000,237.6003,1.36792
3.250,0.0000,0.0000,0.0000,110.9309,614.4595,1.30864
3.300,0.0000,0.0000,0.0000,181.1189,583.4295,1.23160
3.350,0.0000,0.0000,0.0000,114.1522,496.4628,1.16528
3.400,0.0000,0.0000,0.0000,158.8092,439.3158,1.12548
3.450,0.0000,0.0000,0.0000,188.6071,449.3340,1.09785
3.500,0.0000,0.0000,0.0000,167.3788,513.3982,1.10785
3.550,0.0000,0.0000,0.0000,505.4407,410.2072,1.17796
3.600,0.0000,0.0000,0.0000,297.5003,640.2615,1.24983
3.650,0.0000,0.0000,0.0000,92.9647,396.6492,1.28341
3.700,0.0000,0.0000,0.0000,275.6747,767.1247,1.31413
3.750,0.0000,0.0000,0.0000,267.2957,869.0330,1.30993
3.800,0.0000,0.0000,0.0000,197.6029,841.3163,1.31343
3.850,0.0000,0.0000,0.0000,171.5799,448.1605,1.35179
3.900,0.0000,0.0000,0.0000,274.6561,341.3848,1.40284
3.950,0.0000,0.0000,0.0000,88.7402,613.5041,1.48554
4.000,0.0000,0.0000,0.0000,526.8116,1074.8200,1.62122
4.050,0.0000,0.0000,0.0000,236.7330,256.8731,1.72389
4.100,0.0000,0.0000,0.0000,99.4627,383.6447,1.81587
4.150,0.0000,0.0000,0.0000,419.2295,423.8336,1.85664
4.200,0.0000,0.0000,0.0000,193.0934,496.3678,1.80838
4.250,0.0000,0.0000,0.0000,123.8998,666.2431,1.75283
4.300,0.0000,0.0000,0.0000,251.5669,708.4117,1.72586
4.350,0.0000,0.0000,0.0000,195.2419,509.7434,1.73788
4.400,0.0000,0.0000,0.0000,331.5224,594.0153,1.77176
4.450,0.0000,0.0000,0.0000,386.1387,480.9940,1.82025
4.500,0.0000,0.0000,0.0000,184.9155,630.7878,1.86271
4.550,0.0000,0.0000,0.0000,77.6082,114.8796,1.87974
4.600,0.0000,0.0000,0.0000,880.1345,1069.4306,1.87440
4.650,0.0000,0.0000,0.0000,182.1119,1028.6241,1.77887
4.700,0.0000,0.0000,0.0000,67.4272,1008.6640,1.68136
4.750,0.0000,0.0000,0.0000,256.2102,410.3298,1.60497
4.800,0.0000,0.0000,0.0000,297.4304,568.7682,1.52532
4.850,0.0000,0.0000,0.0000,115.8391,583.3359,1.44173
4.900,0.0000,0.0000,0.0000,65.7053,538.1345,1.39623
4.951,10.3340,0.0000,165.4063,386.9757,1005.9200,1.39322
5.001,27.7853,1.8686,208.6626,226.5861,663.8795,1.41861
5.051,0.0000,0.0000,0.0000,140.4026,760.9894,1.46572
5.101,0.0000,0.0000,0.0000,408.3895,1318.2468,1.51623
5.151,0.0000,0.0000,0.0000,233.6202,296.9349,1.50346
5.201,0.0000,0.0000,0.0000,90.3149,1492.4764,1.49172
5.251,0.0000,0.0000,0.0000,427.1380,454.4400,1.47467
5.301,0.0000,0.0000,0.0000,231.4014,95.8718,1.42768
5.351,0.0000,0.0000,0.0000,92.4906,446.1802,1.37967
5.401,0.0000,0.0000,0.0000,590.2308,784.5315,1.37173
5.451,0.0000,0.0000,0.0000,483.6668,960.9083,1.38607
5.501,0.0000,0.0000,0.0000,34.3969,181.4597,1.39688
5.551,0.0000,0.0000,0.0000,67.0420,373.5015,1.43254
5.601,0.0000,0.0000,0.0000,350.0431,660.1866,1.45478
5.651,0.0000,0.0000,0.0000,282.2951,397.1865,1.46926
5.701,0.0000,0.0000,0.0000,385.7770,626.8441,1.47663
5.751,0.0000,0.0000,0.0000,238.4109,588.4912,1.43076
5.801,0.0000,0.0000,0.0000,99.0704,219.7707,1.35453
5.851,0.0000,0.0000,0.0000,87.5138,418.6250,1.29207
5.901,0.0000,0.0000,0.0000,447.5354,643.7003,1.26893
5.951,0.0000,0.0000,0.0000,89.6349,266.0444,1.28017
6.001,0.0000,0.0000,0.0000,393.8187,772.9635,1.32044
6.051,0.0000,0.0000,0.0000,172.1752,761.9994,1.33271
6.101,0.0000,0.0000,0.0000,183.5552,468.9548,1.34531
6.151,0.0000,0.0000,0.0000,370.5957,1072.3267,1.37716
6.201,0.0000,0.0000,0.0000,339.3519,455.0404,1.37347
6.251,0.0000,0.0000,0.0000,96.9908,210.9740,1.32561
6.301,0.0000,0.0000,0.0000,72.1348,533.8419,1.28452
6.351,0.0000,0.0000,0.0000,379.4742,408.6457,1.28747
6.401,0.0000,58.4416,0.0000,313.7196,870.6087,1.32770
6.451,0.0000,0.0000,0.0000,201.2503,548.8553,1.38830
6.501,0.0000,0.0000,0.0000,280.9112,225.7132,1.40976
6.551,0.0000,0.0000,0.0000,135.4545,599.4297,1.40723
6.601,0.0000,0.0000,0.0000,433.7801,1383.4768,1.41658
6.651,0.0000,0.0000,0.0000,352.3557,366.3935,1.39631
6.701,0.0000,0.0000,0.0000,47.9336,281.0620,1.36327
6.751,0.0000,0.0000,0.0000,85.8202,616.0198,1.37043
6.801,0.0000,0.0000,0.0000,155.4717,515.4068,1.41129
6.851,0.0000,0.0000,0.0000,304.6893,413.3736,1.47573
6.901,0.0000,0.0000,0.0000,324.0254,315.7823,1.50851
6.951,0.0000,0.0000,0.0000,524.4557,563.6319,1.47662
7.001,0.0000,0.0000,0.0000,62.5565,813.4221,1.40839
7.051,0.0000,0.0000,0.0000,464.9996,506.3364,1.36376
7.101,17.3501,0.0000,0.0000,210.1972,447.9030,1.31924
7.151,0.0000,0.0000,0.0000,112.4918,486.6691,1.29309
7.201,0.0000,0.0000,0.0000,173.8613,569.6686,1.27344
7.251,0.0000,0.0000,0.0000,85.4293,384.7981,1.27965
7.301,0.0000,0.0000,0.0000,238.1386,429.7004,1.33949
7.351,0.0000,0.0000,0.0000,343.8713,794.9999,1.41451
7.401,0.0000,0.0000,0.0000,232.9853,704.2486,1.46229
7.451,0.0000,0.0000,0.0000,82.3907,438.3052,1.47449
7.501,0.0000,0.0000,0.0000,590.1178,479.3574,1.47890
7.551,0.0000,0.0000,0.0000,214.4452,480.0162,1.44885
7.601,0.0000,0.0000,0.0000,217.2826,498.6590,1.42347
7.651,0.0000,0.0000,0.0000,440.9025,848.5804,1.42278
7.701,0.0000,0.0000,0.0000,295.4146,442.9726,1.41971
7.751,0.0000,0.0000,0.0000,224.4296,312.9175,1.43800
7.801,0.0000,0.0000,0.0000,461.6330,750.1347,1.49981
7.851,0.0000,0.0000,0.0000,561.8785,632.3545,1.54217
7.901,0.0000,0.0000,0.0000,0.0000,391.4923,1.55205
7.951,0.0000,0.0000,0.0000,84.2596,911.9572,1.57158
8.001,0.0000,0.0000,0.0000,392.8152,664.3913,1.52098
8.051,0.0000,0.0000,0.0000,108.1966,973.6588,1.43697
8.101,0.0000,0.0000,0.0000,158.8991,798.5393,1.35913
8.151,0.0000,0.0000,0.0000,313.4533,448.8528,1.28514
8.201,0.0000,0.0000,0.0000,273.1321,318.7641,1.20744
8.251,0.0000,0.0000,0.0000,59.2486,539.1189,1.15679
8.301,0.0000,0.0000,0.0000,163.4137,287.1911,1.18057
8.351,0.0000,0.0000,0.0000,100.6824,262.9854,1.26413
8.401,0.0000,0.0000,0.0000,200.1162,893.2511,1.38572
8.451,0.0000,0.0000,0.0000,234.0932,285.9583,1.48059
8.501,0.0000,0.0000,0.0000,480.5155,215.5361,1.50054
8.551,0.0000,0.0000,0.0000,253.0440,769.3137,1.43887
8.601,0.0000,0.0000,0.0000,532.6141,676.3419,1.37526
8.651,0.0000,0.0000,0.0000,345.5586,748.6166,1.28374
8.701,0.0000,0.0000,0.0000,34.8506,493.0330,1.16519
8.751,0.0000,0.0000,0.0000,101.9422,520.0038,1.05063
8.801,0.0000,0.0000,0.0000,341.3971,619.3798,0.98309
8.851,0.0000,0.0000,0.0000,129.8806,492.6874,1.01005
8.901,0.0000,0.0000,0.0000,261.8993,629.5868,1.09872
8.951,0.0000,0.0000,0.0000,510.7462,504.0892,1.15579
9.001,0.0000,0.0000,0.0000,84.8711,714.2463,1.15504
9.051,0.0000,0.0000,0.0000,272.7035,622.5777,1.12909
9.101,0.0000,0.0000,0.0000,258.9299,336.7786,1.09351
9.151,0.0000,0.0000,0.0000,157.4974,573.9025,1.08931
9.201,0.0000,0.0000,0.0000,159.3811,394.0042,1.09752
9.251,0.0000,0.0000,0.0000,61.8568,461.1410,1.09337
9.301,0.0000,0.0000,0.0000,363.7163,548.9632,1.11572
9.351,0.0000,0.0000,0.0000,270.9896,310.4180,1.20309
9.401,0.0000,0.0000,0.0000,562.6497,484.9609,1.34873
9.451,0.0000,0.0000,0.0000,82.7440,317.1786,1.49025
9.501,0.0000,0.0000,0.0000,816.1258,971.8143,1.61629
