t,bridle_l1,bridle_l2,bridle_l3,cyan,topbay,hub_lat
0.050,81.8209,111.6266,117.3216,266.6381,659.2856,0.01209
0.100,65.3070,135.6031,97.5338,263.0589,523.6239,0.04594
0.150,91.0094,164.1990,67.7461,280.0409,493.2797,0.10249
0.200,143.5099,156.3392,37.9650,290.1254,586.1878,0.17688
0.250,200.0131,106.6915,37.4766,297.3015,606.6796,0.26931
0.300,225.8837,37.6462,89.4065,307.5695,583.1193,0.37895
0.350,193.8955,0.0000,178.1111,321.5911,578.1442,0.49966
0.400,113.0615,11.0508,263.5965,342.8088,592.5405,0.62892
0.450,18.3590,99.8165,295.6046,369.2716,605.9084,0.76537
0.500,0.0000,220.2958,236.6149,395.3025,617.3780,0.90119
0.550,0.0000,16.2118,0.0000,426.6545,661.1311,1.03109
0.600,108.6048,329.5417,0.0000,441.5927,695.1346,1.14580
0.650,0.0000,0.0000,0.0000,444.3203,697.5510,1.24626
0.700,0.0000,0.0000,0.0000,503.9693,697.0367,1.30862
0.750,0.0000,0.0000,0.0000,314.0811,378.4850,1.32692
0.800,0.0000,0.0000,0.0000,638.5459,542.3133,1.35838
0.850,0.0000,0.0000,0.0000,456.3744,387.9160,1.37474
0.900,0.0000,0.0000,0.0000,284.8809,278.5950,1.34401
0.950,0.0000,0.0000,0.0000,107.5396,528.3725,1.31834
1.000,0.0000,0.0000,0.0000,222.0781,434.9356,1.27158
1.050,0.0000,0.0000,0.0000,102.5661,523.7126,1.24074
1.100,0.0000,0.0000,0.0000,271.8074,1091.3403,1.26749
1.150,0.0000,0.0000,0.0000,196.0328,361.5599,1.31234
1.200,0.0000,0.0000,0.0000,269.7513,1099.6425,1.35662
1.250,0.0000,0.0000,0.0000,326.4430,516.3476,1.37503
1.300,0.0000,0.0000,0.0000,407.1349,1298.1845,1.37742
1.350,0.0000,0.0000,0.0000,139.5267,190.3040,1.37591
1.400,0.0000,0.0000,0.0000,263.8317,683.5109,1.40481
1.450,0.0000,0.0000,0.0000,272.9737,447.3330,1.42906
1.500,0.0000,0.0000,0.0000,202.7991,1022.6646,1.44508
1.550,0.0000,0.0000,0.0000,337.7309,600.9131,1.45379
1.600,0.0000,0.0000,0.0000,285.6922,749.6396,1.44053
1.650,0.0000,0.0000,0.0000,238.8858,307.5394,1.44482
1.700,0.0000,0.0000,0.0000,351.8747,463.3193,1.46658
1.750,0.0000,0.0000,0.0000,318.7786,628.7282,1.48065
1.800,0.0000,0.0000,0.0000,320.0715,506.6820,1.48202
1.850,0.0000,0.0000,0.0000,299.2930,426.9129,1.45674
1.900,0.0000,0.0000,0.0000,295.1198,678.9081,1.40964
1.950,14.3078,107.8251,0.0000,334.2098,492.1256,1.38347
2.000,0.0000,0.0000,0.0000,233.5523,815.5626,1.37770
2.050,83.7388,0.0000,0.0000,292.4498,90.8071,1.37157
2.100,197.1507,77.6033,78.2941,316.6388,564.2337,1.35912
2.150,0.0000,0.0000,0.0000,254.8562,427.1863,1.31441
2.200,0.0000,0.0000,0.0000,339.7844,530.4972,1.27495
2.250,0.0000,0.0000,0.0000,261.4576,597.7127,1.26739
2.300,0.0000,0.0000,0.0000,273.0498,525.7461,1.28705
2.350,0.0000,0.0000,0.0000,311.6773,359.2771,1.28839
2.400,0.0000,0.0000,0.0000,324.4227,715.6377,1.27347
2.450,0.0000,0.0000,0.0000,360.6135,866.0615,1.25403
2.500,0.0000,0.0000,0.0000,312.7485,448.9851,1.25657
2.550,0.0000,0.0000,0.0000,357.3664,631.7727,1.27302
2.600,0.0000,0.0000,0.0000,180.1408,495.0530,1.29575
2.650,0.0000,0.0000,0.0000,374.2123,645.8489,1.29827
2.700,0.0000,0.0000,0.0000,308.5466,440.7314,1.26037
2.750,0.0000,0.0000,0.0000,140.8432,309.1491,1.21527
2.800,0.0000,0.0000,0.0000,393.0416,1251.1866,1.20147
2.850,0.0000,0.0000,0.0000,231.4358,580.0870,1.20662
2.900,0.0000,0.0000,0.0000,218.2110,449.1602,1.23145
2.950,0.0000,0.0000,0.0000,401.6113,616.5271,1.26784
3.000,0.0000,0.0000,0.0000,258.7686,505.2848,1.27522
3.050,0.0000,0.0000,0.0000,187.0949,506.7984,1.26655
3.100,0.0000,0.0000,0.0000,410.7432,606.2278,1.25785
3.150,0.0000,0.0000,0.0000,250.4041,135.3172,1.23433
3.200,0.0000,0.0000,0.0000,124.0342,251.7285,1.22780
3.250,0.0000,0.0000,0.0000,453.4259,605.8948,1.26602
3.300,0.0000,0.0000,0.0000,302.7204,661.5831,1.31659
3.350,0.0000,0.0000,0.0000,164.2398,344.1422,1.34861
3.400,0.0000,0.0000,0.0000,439.2213,1258.3341,1.36754
3.450,0.0000,0.0000,0.0000,248.1629,279.8450,1.34349
3.500,0.0000,0.0000,0.0000,143.0460,334.1492,1.34368
3.550,0.0000,0.0000,0.0000,273.3532,215.1828,1.38729
3.600,0.0000,0.0000,0.0000,326.1428,363.6205,1.43977
3.650,0.0000,0.0000,0.0000,371.4523,526.1845,1.48822
3.700,0.0000,0.0000,0.0000,331.1976,980.0288,1.51631
3.750,0.0000,0.0000,0.0000,266.6756,502.7588,1.52136
3.800,0.0000,0.0000,0.0000,227.9569,662.5116,1.54570
3.850,0.0000,0.0000,0.0000,370.8437,787.5983,1.58508
3.900,0.0000,0.0000,0.0000,197.6485,709.3933,1.62108
3.950,0.0000,0.0000,0.0000,461.9664,539.8921,1.65933
4.000,0.0000,0.0000,0.0000,365.8016,605.6242,1.66300
4.050,0.0000,0.0000,0.0000,326.0958,564.6031,1.63784
4.100,0.0000,0.0000,0.0000,124.4457,564.7637,1.62356
4.150,0.0000,0.0000,0.0000,292.3107,1033.6718,1.62429
4.200,0.0000,0.0000,0.0000,291.3169,511.4348,1.63091
4.250,0.0000,0.0000,0.0000,181.2665,474.7827,1.65760
4.300,0.0000,0.0000,0.0000,227.6007,108.6440,1.66865
4.350,0.0000,0.0000,0.0000,373.0126,0.0000,1.66233
4.400,0.0000,0.0000,0.0000,187.2584,734.8570,1.64069
4.450,0.0000,0.0000,0.0000,251.0236,262.6842,1.61866
4.500,0.0000,0.0000,0.0000,372.0841,630.6287,1.57967
4.550,0.0000,0.0000,0.0000,209.6384,356.5647,1.53856
4.600,0.0000,0.0000,0.0000,295.3882,812.1133,1.50760
4.650,0.0000,0.0000,0.0000,246.1376,43.5696,1.45241
4.700,0.0000,0.0000,0.0000,205.2179,432.2683,1.40364
4.750,0.0000,0.0000,0.0000,474.0810,759.7730,1.39061
4.800,0.0000,0.0000,0.0000,360.8827,1119.1523,1.38539
4.850,0.0000,0.0000,0.0000,212.2926,95.9202,1.37643
4.900,0.0000,0.0000,0.0000,658.1254,443.7807,1.37873
4.951,0.0000,0.0000,0.0000,228.0264,820.3397,1.33599
5.001,0.0000,0.0000,0.0000,288.5428,481.2574,1.27988
5.051,0.0000,0.0000,5.1715,497.0190,901.2075,1.25652
5.101,0.0000,0.0000,0.0000,251.7053,1030.7327,1.27821
5.151,0.0000,0.0000,0.0000,280.7862,356.4919,1.31375
5.201,0.0000,0.0000,0.0000,279.3352,1128.2851,1.34596
5.251,0.0000,0.0000,0.0000,377.2024,381.6129,1.33798
5.301,0.0000,0.0000,0.0000,364.6899,671.0160,1.30395
5.351,0.0000,0.0000,0.0000,147.0836,730.3953,1.28299
5.401,0.0000,0.0000,0.0000,288.5508,1222.1855,1.31675
5.451,0.0000,0.0000,0.0000,306.6184,919.2948,1.37853
5.501,0.0000,0.0000,0.0000,131.4154,585.6736,1.42813
5.551,0.0000,0.0000,0.0000,369.1463,351.8279,1.45422
5.601,0.0000,0.0000,0.0000,275.2436,689.3335,1.40769
5.651,0.0000,0.0000,0.0000,168.1438,288.2520,1.32952
5.701,0.0000,0.0000,0.0000,467.2299,1635.8802,1.28632
5.751,0.0000,0.0000,0.0000,209.7487,335.8439,1.28676
5.801,0.0000,0.0000,0.0000,241.0745,274.4753,1.30810
5.851,0.0000,0.0000,0.0000,364.5697,589.2724,1.32765
5.901,0.0000,0.0000,0.0000,416.9869,798.3642,1.32131
5.951,0.0000,0.0000,0.0000,167.2969,202.4747,1.29417
6.001,0.0000,0.0000,0.0000,421.1945,822.6108,1.29953
6.051,0.0000,0.0000,0.0000,310.2355,1132.5735,1.30886
6.101,0.0000,0.0000,0.0000,165.5177,462.3360,1.31225
6.151,0.0000,0.0000,0.0000,349.0763,794.7164,1.31774
6.201,0.0000,0.0000,0.0000,256.1400,472.5976,1.28197
6.251,0.0000,0.0000,0.0000,207.1333,252.5709,1.25178
6.301,0.0000,0.0000,0.0000,605.2956,416.8500,1.27376
6.351,0.0000,0.0000,0.0000,260.4512,502.4177,1.32459
6.401,0.0000,0.0000,0.0000,294.9165,1019.1772,1.38081
6.451,0.0000,0.0000,0.0000,443.6006,504.1630,1.41349
6.501,0.0000,0.0000,0.0000,322.0647,497.4428,1.38831
6.551,0.0000,0.0000,0.0000,178.1009,691.3029,1.36813
6.601,0.0000,0.0000,0.0000,452.6013,257.3331,1.39602
6.651,0.0000,0.0000,0.0000,245.4072,944.7042,1.44577
6.701,0.0000,0.0000,0.0000,393.7984,976.2081,1.50006
6.751,0.0000,0.0000,0.0000,460.9339,710.4798,1.51868
6.801,0.0000,0.0000,0.0000,241.0690,656.5618,1.50705
6.851,0.0000,0.0000,0.0000,245.2115,252.6151,1.52847
6.901,0.0000,0.0000,0.0000,294.5890,422.4537,1.58629
6.951,0.0000,0.0000,0.0000,400.9607,643.1919,1.64939
7.001,0.0000,0.0000,0.0000,342.5201,403.7527,1.70253
7.051,0.0000,0.0000,0.0000,390.3137,227.1348,1.71350
7.101,0.0000,0.0000,0.0000,151.4950,460.7813,1.64862
7.151,0.0000,0.0000,0.0000,379.0413,611.2756,1.58805
7.201,0.0000,0.0000,0.0000,424.7610,777.0686,1.55368
7.251,0.0000,0.0000,0.0000,137.6954,159.9505,1.54159
7.301,0.0000,0.0000,0.0000,335.2924,988.4838,1.56003
7.351,0.0000,0.0000,0.0000,350.3228,274.2543,1.56657
7.401,0.0000,0.0000,0.0000,299.7313,1079.8629,1.55645
7.451,0.0000,0.0000,0.0000,339.1063,760.6700,1.55144
7.501,0.0000,0.0000,0.0000,305.5250,683.0049,1.54573
7.551,0.0000,0.0000,0.0000,336.7510,374.7524,1.54084
7.601,0.0000,0.0000,0.0000,205.3783,703.8960,1.54589
7.651,0.0000,0.0000,0.0000,401.1733,474.4361,1.54536
7.701,0.0000,0.0000,0.0000,346.1126,714.5972,1.51494
7.751,0.0000,0.0000,0.0000,123.3255,523.5148,1.48607
7.801,0.0000,0.0000,0.0000,468.2803,713.2209,1.47893
7.851,0.0000,0.0000,0.0000,281.1864,401.4417,1.45119
7.901,0.0000,0.0000,0.0000,189.7086,287.8684,1.43509
7.951,0.0000,0.0000,0.0000,611.7481,837.9005,1.44654
8.001,0.0000,0.0000,0.0000,374.4631,914.4507,1.43738
8.051,0.0000,0.0000,0.0000,74.5940,171.6912,1.40539
8.101,0.0000,0.0000,0.0000,640.4557,536.6056,1.39672
8.151,0.0000,0.0000,0.0000,348.2974,2119.2260,1.35659
8.201,0.0000,0.0000,0.0000,132.0311,751.5577,1.28445
8.251,0.0000,0.0000,0.0000,307.0682,815.0753,1.23918
8.301,0.0000,0.0000,0.0000,253.0675,741.8841,1.22392
8.351,0.0000,0.0000,0.0000,269.6686,340.2457,1.22041
8.401,0.0000,0.0000,0.0000,104.1893,761.4728,1.23361
8.451,0.0000,0.0000,0.0000,253.9596,521.0532,1.24550
8.501,0.0000,0.0000,0.0000,164.4880,467.2596,1.24077
8.551,0.0000,0.0000,0.0000,407.5121,786.8243,1.26186
8.601,0.0000,0.0000,0.0000,363.3721,411.6635,1.28893
8.651,0.0000,0.0000,0.0000,303.0389,292.3939,1.30580
8.701,0.0000,0.0000,0.0000,309.9054,637.8086,1.32666
8.751,0.0000,0.0000,0.0000,365.6502,405.7733,1.31789
8.801,0.0000,0.0000,0.0000,223.9705,613.5856,1.27185
8.851,0.0000,0.0000,0.0000,443.8859,592.4769,1.24143
8.901,0.0000,0.0000,0.0000,306.8824,452.2647,1.23769
8.951,0.0000,0.0000,0.0000,237.5368,989.9101,1.24616
9.001,0.0000,0.0000,0.0000,210.3322,629.3496,1.26806
9.051,0.0000,0.0000,0.0000,338.8104,597.6134,1.27691
9.101,0.0000,0.0000,0.0000,315.3132,430.8265,1.25551
9.151,0.0000,0.0000,0.0000,104.2600,343.5879,1.23876
9.201,0.0000,0.0000,0.0000,280.6954,384.8624,1.23541
9.251,0.0000,32.2430,0.0000,291.8351,312.1511,1.22068
9.301,0.0000,0.0000,0.0000,196.5034,460.1020,1.20991
9.351,0.0000,0.0000,0.0000,252.9392,527.0437,1.19406
9.401,0.0000,0.0000,0.0000,309.6269,685.4363,1.17620
9.451,0.0000,0.0000,0.0000,458.3221,908.0390,1.19555
9.501,0.0000,0.0000,0.0000,365.6824,445.4611,1.24037
9.551,0.0000,0.0000,0.0000,258.3445,280.8218,1.29841
9.601,0.0000,0.0000,0.0000,491.5915,1202.2672,1.36442
9.651,0.0000,0.0000,0.0000,333.8332,193.3433,1.37621
9.701,0.0000,0.0000,0.0000,251.0090,646.9446,1.35404
9.751,0.0000,0.0000,0.0000,347.5638,751.8713,1.34332
9.801,0.0000,0.0000,0.0000,352.7066,556.9088,1.33744
9.851,0.0000,0.0000,0.0000,289.4374,519.5315,1.32401
9.901,0.0000,0.0000,0.0000,348.2926,1130.3940,1.32402
9.951,0.0000,0.0000,0.0000,277.6477,180.1687,1.31517
10.001,0.0000,0.0000,0.0000,284.7173,620.6017,1.30611
10.051,0.0000,0.0000,0.0000,508.8311,270.0435,1.32259
10.101,0.0000,0.0000,0.0000,228.0991,142.0508,1.33631
10.151,0.0000,0.0000,0.0000,392.5486,43.3464,1.32160
10.201,0.0000,0.0000,0.0000,332.3061,948.7720,1.29882
10.251,0.0000,0.0000,0.0000,225.2067,596.3910,1.25381
10.301,0.0000,0.0000,0.0000,169.8629,968.6659,1.20157
10.351,0.0000,0.0000,0.0000,311.2272,348.3555,1.18068
10.401,0.0000,0.0000,0.0000,175.8183,529.3956,1.18759
10.451,0.0000,0.0000,0.0000,286.2852,427.5378,1.21280
10.501,0.0000,0.0000,0.0000,428.4812,592.0327,1.24308
10.551,0.0000,0.0000,0.0000,416.1738,682.5607,1.26378
10.601,0.0000,0.0000,0.0000,225.7999,433.8099,1.27192
10.651,0.0000,0.0000,0.0000,385.1890,716.1918,1.29591
10.701,0.0000,0.0000,0.0000,339.9096,354.0637,1.30128
10.751,0.0000,0.0000,0.0000,332.7605,241.1987,1.28002
10.801,0.0000,0.0000,0.0000,527.2353,278.6388,1.25560
10.851,0.0000,0.0000,0.0000,383.8288,680.8813,1.21863
10.901,0.0000,0.0000,0.0000,253.9550,526.4740,1.18187
10.951,0.0000,0.0000,0.0000,575.0167,472.3245,1.18670
11.001,0.0000,0.0000,0.0000,354.8570,1639.2403,1.22721
11.051,0.0000,0.0000,0.0000,241.5437,404.8680,1.25394
11.101,0.0000,0.0324,0.0000,485.5580,811.0446,1.28500
11.151,0.0000,0.0000,0.0000,368.2859,605.0627,1.28596
11.201,0.0000,0.0000,0.0000,332.1868,501.8742,1.24639
11.251,0.0000,0.0000,0.0000,80.5541,609.8389,1.20974
11.301,0.0000,0.0000,0.0000,406.6751,564.1401,1.21193
11.351,0.0000,0.0000,0.0000,156.9801,266.0980,1.22403
11.401,0.0000,0.0000,0.0000,333.3156,636.4340,1.24803
11.451,0.0000,0.0000,0.0000,341.9192,424.3364,1.26106
11.501,0.0000,0.0000,0.0000,418.4861,933.9639,1.25758
11.551,0.0000,0.0000,0.0000,129.6145,613.7179,1.25595
11.601,0.0000,0.0000,0.0000,534.8487,382.2886,1.29101
11.651,0.0000,0.0000,0.0000,313.2218,290.5945,1.32136
11.701,0.0000,0.0000,0.0000,219.5856,48.7546,1.35234
11.751,0.0000,0.0000,0.0000,550.9186,1962.0600,1.37225
11.801,0.0000,0.0000,0.0000,218.4312,546.2076,1.31823
11.851,0.0000,0.0000,0.0000,198.4262,518.0448,1.27022
11.901,0.0000,0.0000,0.0000,390.5903,689.2037,1.26081
11.951,0.0000,0.0000,0.0000,442.1454,648.7707,1.27144
12.001,0.0000,0.0000,0.0000,171.8231,509.1997,1.27521
12.051,0.0000,0.0000,0.0000,351.5587,235.7429,1.27377
12.101,0.0000,0.0000,0.0000,329.3692,211.7113,1.24337
12.151,0.0000,0.0000,0.0000,215.5528,669.7677,1.21916
12.201,0.0000,0.0000,0.0000,268.1393,491.8745,1.22930
12.251,0.0000,0.0000,0.0000,327.0914,236.1814,1.25883
12.301,0.0000,0.0000,0.0000,123.5815,343.9537,1.28535
12.351,0.0000,0.0000,0.0000,354.2188,784.4327,1.30194
12.401,0.0000,0.0000,0.0000,208.1025,500.4191,1.25252
12.451,0.0000,0.0000,0.0000,286.7154,357.4102,1.18847
12.501,0.0000,0.0000,0.0000,292.2396,627.2940,1.16183
12.551,0.0000,0.0000,0.0000,317.1111,642.4865,1.18020
12.601,0.0000,0.0000,0.0000,243.9369,618.7323,1.22630
12.651,0.0000,0.0000,0.0000,506.9253,358.1384,1.27772
12.701,0.0000,0.0000,0.0000,326.8193,400.0631,1.29406
12.751,0.0000,0.0000,0.0000,95.3739,379.6742,1.29403
12.801,0.0000,0.0000,0.0000,385.2562,1043.1111,1.30671
12.851,0.0000,0.0000,0.0000,303.2525,357.3972,1.30788
12.901,0.0000,0.0000,0.0000,282.0681,762.0739,1.31107
12.951,0.0000,0.0000,0.0000,451.8109,246.4085,1.30575
13.001,0.0000,0.0000,0.0000,485.3767,573.5757,1.28135
13.051,0.0000,0.0000,0.0000,145.9868,1159.5296,1.25361
13.101,0.0000,0.0000,0.0000,350.0718,353.1340,1.27317
13.151,0.0000,0.0000,0.0000,374.5556,0.0000,1.29430
13.201,0.0000,0.0000,0.0000,380.6716,697.7583,1.31206
13.251,0.0000,0.0000,0.0000,404.0007,538.9270,1.33840
13.301,0.0000,0.0000,0.0000,553.0983,1018.7213,1.33611
13.351,0.0000,0.0000,0.0000,125.3254,133.4764,1.30619
13.401,0.0000,0.0000,0.0000,371.3969,628.1893,1.30475
13.451,0.0000,0.0000,0.0000,345.7029,1094.2054,1.29170
13.501,0.0000,0.0000,0.0000,169.2466,96.8846,1.24970
13.551,0.0000,0.0000,0.0000,145.5838,58.7939,1.22206
13.601,0.0000,0.0000,0.0000,298.2856,371.3950,1.18742
13.651,0.0000,0.0000,0.0000,264.6453,986.7151,1.15211
13.701,0.0000,0.0000,0.0000,416.6995,857.9175,1.15557
13.751,0.0000,0.0000,0.0000,250.9321,597.5512,1.19486
13.801,0.0000,19.1120,0.0000,339.2129,286.9244,1.25214
13.851,0.0000,0.0000,0.0000,382.2196,1309.1293,1.32024
13.901,0.0000,0.0000,0.0000,290.6382,761.0616,1.33781
13.951,0.0000,0.0000,0.0000,432.4781,959.7527,1.32916
14.001,0.0000,0.0000,0.0000,435.6811,710.7076,1.29586
14.051,0.0000,0.0000,0.0000,413.2477,264.2869,1.22777
14.101,0.0000,0.0000,0.0000,183.3072,878.1405,1.14598
14.151,0.0000,0.0000,0.0000,296.0558,875.1726,1.10765
14.201,0.0000,0.0000,0.0000,249.7070,166.7769,1.11849
14.251,0.0000,0.0000,0.0000,353.5950,640.9743,1.16364
14.301,0.0000,0.0000,0.0000,405.9911,751.7470,1.23328
14.351,0.0000,0.0000,0.0000,438.5998,651.7305,1.29666
14.401,0.0000,0.0000,0.0000,250.6956,348.2043,1.31336
14.451,0.0000,0.0000,0.0000,494.8430,210.0312,1.31819
14.501,0.0000,0.0000,0.0000,425.3820,862.0983,1.30252
14.551,0.0000,0.0000,0.0000,224.3946,381.0880,1.24284
14.601,0.0000,0.0000,0.0000,431.6797,805.8930,1.18981
14.651,0.0000,0.0000,0.0000,167.5711,655.7983,1.12423
14.701,0.0000,0.0000,0.0000,336.7053,481.8290,1.06900
14.751,0.0000,0.0000,0.0000,138.0992,583.8651,1.05279
14.802,0.0000,0.0000,0.0000,173.4263,369.2113,1.11841
14.852,76.4756,0.0000,0.0000,308.3676,83.8572,1.23439
14.902,0.0000,0.0000,0.0000,529.5626,1570.7943,1.37838
14.952,0.0000,0.0000,0.0000,452.0698,343.3575,1.47858
15.002,0.0000,0.0000,0.0000,714.1546,183.1617,1.51104
15.052,0.0000,0.0000,0.0000,104.3329,647.8821,1.48130
15.102,0.0000,0.0000,0.0000,513.2879,632.4268,1.43527
15.152,0.0000,0.0000,0.0000,106.1304,405.2660,1.33199
15.202,0.0000,0.0000,0.0000,291.7330,532.2094,1.23804
15.252,0.0000,0.0000,0.0000,197.8711,344.9930,1.17922
15.302,0.0000,0.0000,0.0000,290.4323,518.2455,1.15669
15.352,0.0000,0.0000,0.0000,338.3244,519.2758,1.17469
15.402,0.0000,0.0000,0.0000,443.6603,847.0834,1.24816
15.452,0.0000,0.0000,0.0000,545.2123,862.6680,1.36655
15.502,0.0000,0.0000,0.0000,97.0931,250.1203,1.49270
15.552,0.0000,0.0000,0.0000,1018.6114,645.4709,1.64149
15.602,0.0000,0.0000,0.0000,633.1116,207.0522,1.71231
15.652,0.0000,0.0000,0.0000,558.9811,188.0572,1.69878
15.702,0.0000,0.0000,0.0000,374.2106,136.7335,1.65212
15.752,0.0000,0.0000,0.0000,320.2767,985.7074,1.56836
15.802,0.0000,0.0000,0.0000,85.7972,0.0000,1.39132
15.852,0.0000,0.0000,0.0000,67.5229,710.5770,1.21541
15.902,0.0000,0.0000,0.0000,674.9904,1443.0594,1.07292
15.952,0.0000,0.0000,0.0000,87.8523,171.8950,0.96610
16.002,0.0000,0.0000,0.0000,161.2011,658.9731,0.92593
16.052,0.0000,0.0000,0.0000,384.2031,767.3035,0.95666
16.102,0.0000,0.0000,0.0000,345.3899,538.3067,1.03916
16.152,0.0000,0.0000,0.0000,424.2887,284.0256,1.15096
16.202,0.0000,0.0000,0.0000,502.2334,663.4333,1.24110
16.252,0.0000,0.0000,0.0000,138.3310,487.9056,1.28997
16.302,0.0000,0.0000,0.0000,290.0692,541.7863,1.34567
16.352,0.0000,0.0000,0.0000,384.3076,1094.5432,1.37768
16.402,0.0000,0.0000,0.0000,321.2905,1510.7178,1.35572
16.452,0.0000,0.0000,0.0000,134.1543,0.0000,1.28674
16.502,0.0000,0.0000,0.0000,470.3971,837.1214,1.19355
16.552,0.0000,0.0000,0.0000,214.0221,545.4240,1.06895
16.602,0.0000,0.0000,0.0000,716.6676,748.3198,1.00826
16.652,0.0000,0.0000,0.0000,175.5494,473.8997,1.05204
16.702,0.0000,0.0000,0.0000,243.0476,532.8766,1.19168
16.752,0.0000,0.0000,0.0000,347.0426,541.2667,1.38974
16.802,0.0000,0.0000,0.0000,460.5771,736.5231,1.58174
16.852,0.0000,0.0000,0.0000,585.3844,486.5812,1.70630
16.902,0.0000,0.0000,0.0000,668.4046,329.7418,1.75432
16.952,0.0000,0.0000,0.0000,450.2128,716.4113,1.73216
17.002,0.0000,0.0000,0.0000,119.8871,56.5792,1.62286
17.052,0.0000,0.0000,0.0000,163.7870,986.2523,1.52468
17.102,0.0000,0.0000,0.0000,290.4658,553.8326,1.44806
17.152,0.0000,0.0000,0.0000,247.3216,787.9277,1.39323
17.202,0.0000,0.0000,0.0000,161.3947,1192.1546,1.39716
17.252,0.0000,0.0000,0.0000,334.6521,241.2904,1.47355
17.302,0.0000,0.0000,0.0000,180.7136,450.5909,1.60201
17.352,0.0000,0.0000,0.0000,542.4266,1096.5214,1.78834
17.402,0.0000,0.0000,0.0000,539.6888,515.1021,1.96340
17.452,0.0000,0.0000,0.0000,459.1077,542.0978,2.07836
17.502,0.0000,0.0000,0.0000,464.6971,1767.0163,2.15792
17.552,0.0000,0.0000,0.0000,445.4171,983.1332,2.12930
17.602,0.0000,0.0000,0.0000,180.3832,679.2851,1.98803
17.652,0.0000,0.0000,0.0000,66.7677,169.1812,1.82960
17.702,0.0000,0.0000,0.0000,324.9433,2.9380,1.66496
17.752,0.0000,0.0000,0.0000,129.6797,529.7566,1.50550
17.802,0.0000,0.0000,0.0000,186.8804,784.9574,1.41899
17.852,0.0000,0.0000,0.0000,205.4256,312.6612,1.40748
17.902,0.0000,0.0000,0.0000,230.3965,342.9108,1.44617
17.952,0.0000,0.0000,0.0000,537.2411,940.8332,1.52839
18.002,0.0000,0.0000,0.0000,459.1976,558.5059,1.62791
18.052,0.0000,0.0000,0.0000,266.9306,274.0271,1.73543
18.102,0.0000,0.0000,0.0000,432.1192,330.3422,1.87409
18.152,0.0000,0.0000,0.0000,823.9257,1812.0930,1.99847
18.202,0.0000,0.0000,0.0000,655.3484,464.9193,1.98770
18.252,0.0000,0.0000,0.0000,396.6322,388.7296,1.90797
18.302,0.0000,0.0000,0.0000,310.5392,35.4249,1.76894
18.352,0.0000,0.0000,0.0000,173.9190,839.0536,1.58186
18.402,0.0000,0.0000,0.0000,58.4410,114.3903,1.39705
18.452,0.0000,0.0000,0.0000,189.6361,1246.6731,1.22037
18.502,0.0000,0.0000,0.0000,87.6739,106.2315,1.07175
18.552,0.0000,0.0000,0.0000,101.8528,264.1345,0.98883
18.602,0.0000,0.0000,0.0000,226.9350,1024.8197,1.00967
18.652,0.0000,0.0000,0.0000,485.9087,545.9172,1.11495
18.702,0.0000,0.0000,0.0000,182.4162,591.2860,1.24845
18.752,0.0000,0.0000,0.0000,582.8855,675.8837,1.39364
18.802,0.0000,0.0000,0.0000,426.8130,967.4702,1.49222
18.852,0.0000,0.0000,0.0000,85.5922,150.0774,1.55720
18.902,0.0000,0.0000,0.0000,627.1182,322.3394,1.65745
18.952,0.0000,0.0000,0.0000,202.4567,558.3230,1.77121
19.002,0.0000,0.0000,0.0000,356.5920,627.5394,1.83203
19.052,0.0000,0.0000,0.0000,89.0291,612.9112,1.83700
19.102,0.0000,0.0000,0.0000,563.0218,1033.7169,1.80670
19.152,0.0000,0.0000,0.0000,270.3525,0.0000,1.68102
19.202,0.0000,0.0000,0.0000,109.5062,728.0175,1.52528
19.252,0.0000,0.0000,0.0000,201.3513,127.8301,1.39660
19.302,0.0000,75.0025,0.0000,261.7335,115.0258,1.33370
19.352,0.0000,0.0000,0.0000,198.6097,685.2654,1.40722
19.402,0.0000,0.0000,0.0000,613.1496,1257.8683,1.62691
19.452,0.0000,0.0000,0.0000,478.7199,1077.8907,1.87637
19.502,0.0000,0.0000,0.0000,926.9080,650.5147,2.06358
19.552,0.0000,0.0000,0.0000,642.1355,1108.3329,2.13128
19.602,0.0000,0.0000,0.0000,237.9858,309.0711,1.99493
19.652,0.0000,0.0000,0.0000,665.3380,952.5813,1.80947
