t,bridle_l1,bridle_l2,bridle_l3,cyan,topbay,hub_lat
0.050,3.1458,39.9972,24.9103,61.1476,548.1998,0.01873
0.100,8.4094,63.6945,7.7737,69.9239,554.1291,0.06424
0.150,31.5641,67.7397,0.0000,68.9343,533.2778,0.13134
0.200,66.6744,44.7242,0.0000,67.8508,536.7327,0.21310
0.250,95.7130,7.5471,0.0000,76.4855,548.8153,0.30557
0.300,98.4542,0.0000,24.9223,83.1000,551.5095,0.40508
0.350,71.2983,0.0000,72.6197,87.7265,559.2108,0.50758
0.400,25.4745,0.0000,108.2816,94.5468,569.4600,0.61047
0.450,0.0000,16.3805,114.4548,101.6360,576.4977,0.71135
0.500,0.0000,68.3158,89.5634,109.3142,582.3476,0.80750
0.550,0.0000,107.6378,45.2801,117.7157,591.5259,0.89673
0.600,15.6188,118.8180,3.0517,127.2905,597.2355,0.97712
0.650,41.0748,73.6268,0.0000,133.6934,601.9332,1.04690
0.700,0.0000,0.0000,0.0000,119.4981,602.0304,1.08304
0.750,0.0000,0.0000,0.0000,137.9139,601.0630,1.07797
0.800,63.1767,6.5469,75.4927,154.6514,605.8526,1.09162
0.850,0.0000,0.0000,0.0000,119.7406,657.7524,1.08616
0.900,0.0000,0.0000,0.0000,123.5158,621.5660,1.04454
0.950,25.8801,73.4599,69.6569,157.5796,631.0213,1.03415
1.000,0.0000,0.0000,0.0000,131.1699,588.9837,1.02164
1.050,0.0000,14.8108,0.0000,97.9678,545.9826,0.99554
1.100,40.2706,2.9438,21.6592,61.3341,578.1971,0.99436
1.150,0.0000,0.0000,0.0000,78.7105,560.5553,0.98975
1.200,31.2176,0.0000,7.6756,93.6750,558.6808,0.96449
1.250,0.0000,0.0000,24.7682,71.2205,596.6874,0.95406
1.300,0.0000,0.0000,0.0000,67.2741,638.8597,0.95028
1.350,31.5698,0.0000,25.5587,94.7957,570.8360,0.93228
1.400,0.0000,19.8839,47.0858,93.2838,581.5189,0.92729
1.450,0.7157,34.8955,50.7613,87.9949,617.5604,0.94011
1.500,0.0000,40.0192,18.2469,86.5439,593.7133,0.96478
1.550,23.0430,75.8275,10.3951,99.3140,611.0469,0.99410
1.600,8.5456,20.6537,0.0000,104.3906,609.6727,1.02939
1.650,0.0000,0.0000,0.0000,102.6505,605.7313,1.05112
1.700,59.9699,21.7931,29.9742,104.0048,612.0691,1.06256
1.750,0.0000,0.0000,0.0000,107.0735,606.7494,1.07448
1.800,0.0000,0.0000,0.0000,100.0248,595.0247,1.06098
1.850,30.3808,34.8537,30.4386,96.3890,605.7000,1.04010
1.900,0.0000,0.0000,0.0000,99.9883,606.9454,1.02571
1.950,0.0000,0.0000,0.0000,96.5345,595.6207,1.00771
2.000,31.6369,37.2378,27.1221,90.3019,606.7398,0.99172
2.050,31.4255,54.6162,13.2795,93.9461,591.9973,0.99336
2.100,0.0000,0.0000,0.0000,92.0009,605.8469,1.00509
2.150,58.6746,17.6421,23.4438,98.2063,619.2318,1.01514
2.200,49.2267,0.0000,29.0726,105.2192,591.9242,1.03057
2.250,0.0000,0.0000,0.0000,92.1668,601.5249,1.04310
2.300,24.7261,20.9466,48.1594,102.8718,599.6810,1.04102
2.350,0.0000,27.1149,43.3802,110.3236,601.9146,1.04208
2.400,0.0000,0.0000,0.0000,95.0570,605.3852,1.04382
2.450,4.4679,30.9096,13.6818,96.0402,606.9639,1.03311
2.500,39.7799,44.2692,8.8864,102.4704,604.4843,1.02703
2.550,0.0000,0.0000,0.0000,91.0591,599.3760,1.02774
2.600,35.5199,17.9438,8.8960,95.4557,605.1281,1.01834
2.650,48.0660,10.3494,40.0168,102.1866,604.7140,1.01417
2.700,0.0000,0.0000,0.0000,90.3672,599.6029,1.01985
2.750,12.4074,0.0000,36.7074,93.4258,602.3011,1.01992
2.800,15.1307,39.1748,56.5937,102.0033,606.6034,1.02427
2.850,0.0000,0.0000,0.0000,93.1570,600.3659,1.03713
2.900,0.0000,20.7561,0.0000,93.5610,605.0754,1.03858
2.950,42.3221,51.1011,16.8972,102.9898,606.7397,1.03927
3.000,0.0000,0.0000,0.0000,89.8256,598.8139,1.04638
3.050,7.6095,0.0000,0.0000,94.6692,610.5863,1.03724
3.100,47.8813,20.1089,42.7998,104.4509,605.4373,1.02805
3.150,0.0000,0.0000,0.0000,89.1340,598.9959,1.03042
3.200,0.0000,0.0000,0.0000,91.4790,601.5534,1.02414
3.250,20.0743,39.3658,49.5340,100.5125,602.9669,1.01876
3.300,0.0000,0.0000,0.0000,91.5440,603.0914,1.02619
3.350,0.0000,0.0000,0.0000,93.2601,601.6018,1.02646
3.400,38.1596,50.8302,18.7851,99.7086,602.4160,1.02601
3.450,0.0000,0.0000,0.0000,92.8168,602.1011,1.03679
3.500,0.0000,0.0000,0.0000,95.8915,604.4494,1.03758
