t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
0.5000,-0.262245,-1.377355,1.402098,-0.333457,-1.692700,1.725232,16.2766,58.4571,0.0000,666.4410,5.5926,12.879835,4.7352,0
1.0000,-0.100193,-1.885756,1.888415,-0.214304,-1.992405,2.003897,656.2248,42.9376,0.0000,824.3822,3.3051,13.296880,5.2102,0
1.5000,0.077581,-1.679306,1.681097,-0.457546,-1.618711,1.682133,788.6334,286.2432,0.0000,317.0229,5.7106,14.326783,6.5170,0
2.0000,0.626659,-0.884902,1.084321,0.815210,-1.029986,1.313560,491.8369,41.5279,0.0000,476.3171,4.2275,13.828960,5.8610,0
2.5000,0.741923,-1.210948,1.420156,0.777291,-1.583372,1.763873,70.4899,214.4954,0.0000,370.3010,3.6138,13.056452,4.9326,0
2.9999,0.211092,-1.877395,1.889225,-0.179294,-1.707696,1.717083,611.5975,69.0663,0.0000,1012.4490,2.2805,15.842127,8.8114,0
3.4999,-0.592918,-1.653164,1.756276,-1.217246,-1.814712,2.185147,665.4322,316.3109,0.0000,470.0664,7.0223,13.407460,5.3412,0
3.9999,-0.352609,-0.957288,1.020164,-0.247618,-0.704330,0.746589,156.0153,131.5877,0.0000,637.1272,5.1405,12.608485,4.4421,0
4.4999,0.387936,-1.450283,1.501271,0.440485,-1.690036,1.746496,408.3490,190.1728,0.0000,408.2269,1.4419,13.726916,5.7322,0
4.9999,0.165118,-1.966562,1.973482,-0.649758,-1.721861,1.840378,562.3055,246.8045,0.0000,334.3064,1.8387,13.601658,5.5767,0
5.5000,-0.233221,-1.006601,1.033265,-0.604349,-1.205996,1.348949,213.2798,283.3711,0.0000,449.0436,4.0148,13.220265,5.1206,0
6.0000,0.344053,-1.144957,1.195533,0.345993,-1.459294,1.499750,152.1908,221.1208,0.0000,561.6266,3.4752,13.871527,5.9153,0
6.5000,0.062815,-1.751773,1.752899,-0.184662,-1.749465,1.759184,190.5869,0.0000,0.0000,757.3686,2.9099,14.178825,6.3172,0
7.0000,-0.700593,-1.511223,1.665721,-1.519001,-1.537320,2.161184,361.7183,289.4807,0.0000,745.3284,2.2745,13.211360,5.1103,0
7.5000,-0.266706,-1.300863,1.327922,-0.339238,-1.600703,1.636255,326.1919,232.8838,0.0000,622.7810,4.9342,13.761729,5.7759,0
8.0000,0.496484,-1.115344,1.220855,0.200839,-1.538789,1.551840,78.2682,195.7658,0.0000,373.4825,5.6881,14.609659,6.9107,0
8.4999,0.556036,-1.570195,1.665740,0.144210,-1.441132,1.448330,223.8765,71.5802,0.0000,999.5298,1.1254,14.552372,6.8297,0
8.9999,-0.030315,-1.727687,1.727953,-0.543951,-2.003573,2.076099,676.3421,295.7249,0.0000,328.4867,4.4936,13.027851,4.9003,0
9.4999,-0.308322,-1.365446,1.399823,-0.373690,-1.557311,1.601519,411.2467,186.8084,0.0000,745.9839,2.4594,13.929925,5.9903,0
9.9999,0.004987,-1.053843,1.053854,-0.343032,-1.587414,1.624055,75.8407,141.7585,0.0000,546.7529,5.1480,14.217921,6.3696,0
10.5000,0.080526,-1.513475,1.515616,-0.360529,-1.661804,1.700462,294.8561,142.1174,0.0000,546.7625,2.4132,15.146344,7.7006,0
11.0000,-0.348628,-1.827957,1.860905,-0.458981,-2.140270,2.188931,159.7822,245.1835,0.0000,804.7789,5.1295,13.352704,5.2761,0
11.5000,-0.346983,-0.999357,1.057880,-0.556426,-0.741544,0.927091,250.3640,209.8154,0.0000,400.0470,6.1110,13.757262,5.7703,0
12.0000,0.362616,-1.256209,1.307498,0.295235,-1.426016,1.456258,322.4738,121.6725,0.0000,124.5301,3.4584,14.654398,6.9744,0
12.5000,0.253192,-1.742968,1.761262,-0.323407,-1.998525,2.024524,121.2223,283.1401,0.0000,44.3385,4.4920,13.368741,5.2951,0
13.0000,-0.264705,-1.726090,1.746269,-0.323291,-1.882668,1.910224,420.4274,243.4057,0.0000,1114.2256,2.1905,14.350412,6.5493,0
13.5000,-0.059940,-1.055296,1.056997,-0.222294,-1.061670,1.084692,172.1763,177.8743,0.0000,581.2028,5.9568,14.363029,6.5666,0
13.9999,0.622140,-1.353659,1.489782,0.086136,-1.360798,1.363522,190.8197,165.2104,0.0000,8.6495,4.9587,14.546136,6.8210,0
14.4999,-0.197874,-1.864140,1.874613,-0.268191,-2.297727,2.313326,509.2681,158.9243,0.0000,413.0215,6.3797,13.117357,5.0020,0
14.9999,-0.531389,-1.309115,1.412854,-0.697993,-1.396542,1.561257,519.8109,163.3494,0.0000,1143.9940,2.0683,12.944561,4.8069,0
15.5000,0.021299,-0.972954,0.973187,0.367436,-1.129558,1.187817,296.6228,124.3076,0.0000,602.8978,2.6697,12.742614,4.5854,0
16.0000,0.147998,-1.909607,1.915334,-0.385971,-2.166364,2.200479,293.7724,51.1207,0.0000,339.7581,3.5519,14.653279,6.9728,0
16.5000,-0.397950,-2.059617,2.097710,-0.481612,-2.470929,2.517428,676.3544,90.2248,0.0000,230.6455,11.9637,12.821950,4.6716,0
17.0000,-0.019717,-1.075809,1.075990,-0.432519,-0.034619,0.433903,196.6551,216.5274,0.0000,677.1731,5.2104,14.179039,6.3175,0
17.5000,0.835749,-1.348183,1.586214,1.098331,-1.600481,1.941100,776.9629,0.9715,0.0000,486.4699,6.5424,14.895024,7.3236,0
18.0000,0.174427,-2.200342,2.207245,-0.323941,-1.956530,1.983166,567.1183,220.3979,0.0000,784.9583,4.5790,13.369626,5.2962,0
18.5000,-0.430887,-0.856182,0.958494,-0.640311,-1.102101,1.274607,228.3643,278.7496,0.0000,382.3499,3.3193,14.071723,6.1751,0
18.9999,0.403818,-1.441114,1.496622,0.636221,-1.746161,1.858455,817.6503,69.2220,0.0000,802.6411,6.1612,13.048933,4.9241,0
19.4999,0.202708,-2.017760,2.027916,-0.554406,-2.008238,2.083359,187.3249,0.0000,0.0000,243.2500,2.0507,13.779083,5.7978,0
19.9999,-0.654144,-1.526762,1.660995,-0.796317,-1.847281,2.011608,377.7389,260.2976,0.0000,286.1775,15.1548,12.843199,4.6949,0
20.5000,-0.333831,-1.037621,1.090000,-0.412960,-1.248030,1.314578,257.9929,154.1652,0.0000,454.9672,6.4718,13.254494,5.1605,0
21.0000,0.117899,-1.661851,1.666028,0.083632,-1.993461,1.995215,141.0896,0.0000,0.0000,790.6710,3.9186,14.670832,6.9979,0
21.5000,-0.334945,-2.091131,2.117786,-1.023146,-2.279760,2.498827,201.5100,236.1982,0.0000,346.6110,3.9269,12.720522,4.5616,0
22.0000,-0.060847,-1.163960,1.165549,-0.073075,-1.419999,1.421878,535.1263,173.9170,64.2012,491.7306,2.7560,13.377081,5.3050,0
22.5000,0.736738,-0.938926,1.193467,0.433840,-1.538776,1.598765,84.7223,193.2251,0.0000,861.6994,4.6115,14.975249,7.4426,0
23.0000,0.278327,-1.618380,1.642139,-0.238780,-1.567262,1.585347,260.1605,150.4867,0.0000,303.6276,3.6391,13.768219,5.7841,0
23.5000,-0.708793,-1.790198,1.925408,-0.930150,-2.198084,2.386787,482.2368,315.6588,0.0000,894.0740,4.9202,14.686954,7.0210,0
24.0000,-0.252435,-1.112833,1.141105,-0.378092,-0.562801,0.678011,262.6277,188.2232,0.0000,464.5764,6.0413,14.660579,6.9832,0
24.4999,0.495541,-1.559899,1.636718,0.255243,-1.496633,1.518242,610.1119,91.1025,0.0000,172.8425,4.1956,14.203540,6.3503,0
24.9999,-0.258364,-1.963767,1.980690,-0.923140,-1.977484,2.182345,493.5047,271.8949,0.0000,1065.8539,1.7367,13.376027,5.3038,0
25.5000,0.095801,-1.282292,1.285866,0.146561,-1.492151,1.499331,309.6734,101.0281,0.0000,644.0385,2.8084,13.420051,5.3563,0
26.0000,0.747529,-1.264462,1.468899,0.412800,-2.093799,2.134104,63.1965,205.3153,0.0000,793.6052,2.9645,13.256832,5.1632,0
26.5000,0.327777,-1.782564,1.812450,0.011858,-1.820632,1.820671,388.1811,106.0323,0.0000,528.5268,3.1887,13.695589,5.6931,0
27.0000,-0.714138,-1.550323,1.706896,-1.044529,-1.879146,2.149937,556.3584,275.9671,0.0000,1169.2509,1.4739,14.042987,6.1374,0
27.5000,-0.153137,-1.166277,1.176288,-0.079450,-1.115643,1.118468,176.4997,41.1140,0.0000,324.3094,3.7765,14.827495,7.2245,0
28.0000,0.025207,-1.976981,1.977141,-0.077987,-2.246549,2.247902,507.0219,0.0000,0.0000,262.3520,11.0644,15.899473,8.9074,0
28.5000,-0.428321,-1.906029,1.953563,-1.241872,-1.873272,2.247531,476.0984,1748.9289,0.0000,1438.7717,5.6862,13.288283,5.2001,0
29.0000,0.152993,-0.835054,0.848953,0.383396,-0.590866,0.704354,146.6322,127.9644,0.0000,336.7330,6.5217,12.755881,4.5998,0
29.5000,0.645771,-1.430866,1.569840,0.414726,-2.089638,2.130396,55.4696,282.8336,0.0000,491.7260,3.6447,13.830386,5.8628,0
29.9999,0.132786,-2.225544,2.229502,-0.348265,-2.131855,2.160114,616.7543,54.1711,0.0000,200.7868,1.1359,16.189095,9.4031,0
