t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
0.0500,-0.349636,-1.257275,1.304985,-0.668907,-1.864578,1.980931,50.3138,216.4472,0.0000,617.7548,5.8756,13.581370,5.5518,0
0.1000,-0.405249,-1.260523,1.324064,-0.401753,-1.487924,1.541208,934.7433,159.1637,0.0000,952.4333,6.1764,15.041327,7.5416,0
0.1500,-0.454265,-1.320206,1.396174,-0.293222,-0.876517,0.924263,220.0058,209.8219,0.0000,198.6860,7.2800,13.932007,5.9930,0
0.2000,-0.472154,-1.428933,1.504918,-0.961385,-0.454918,1.063584,338.4050,301.4858,0.0000,651.8327,5.7308,13.909570,5.9641,0
0.2500,-0.437582,-1.520108,1.581837,-1.523917,-1.138985,1.902528,432.6917,395.8877,0.0000,492.8901,7.8801,13.071052,4.9492,0
0.3000,-0.391263,-1.565440,1.613595,-0.688880,-1.953820,2.071707,370.9818,287.0719,0.0000,863.5681,5.4588,12.937198,4.7987,0
0.3500,-0.293275,-1.580064,1.607051,-0.426287,-1.541981,1.599820,294.2649,146.6514,0.0000,2372.0180,3.2388,15.042219,7.5429,0
0.4000,-0.159551,-1.535773,1.544039,-0.887724,-1.442669,1.693915,458.7781,79.3561,0.0000,63.5220,5.8420,14.047941,6.1439,0
0.4500,-0.047586,-1.477162,1.477928,-0.566588,-1.877491,1.961121,105.6110,273.0807,0.0000,585.7301,7.1574,12.877842,4.7330,0
0.5001,0.042917,-1.433069,1.433711,0.213406,-1.917778,1.929615,0.0000,273.3319,0.0000,1198.6372,2.2759,14.935000,7.3828,0
0.5501,0.093404,-1.345622,1.348860,0.759211,-1.325600,1.527618,702.2512,100.5475,0.0000,637.2787,3.0833,15.432739,8.1458,0
0.6001,0.133807,-1.231449,1.238697,0.578667,-0.593014,0.828566,86.2338,83.8014,0.0000,187.5784,6.8504,13.546826,5.5095,0
0.6501,0.155971,-1.149022,1.159560,-0.142463,-0.125489,0.189850,116.5743,151.8624,0.0000,876.7368,4.1239,14.433354,6.6635,0
