t,hub_e1,hub_e2,hub_lat,bear_e1,bear_e2,bear_lat,T_cyan,T_back,T_bridle,T_topbay,fos_min,omega_gnd,P_gen_kW,broken
0.5000,-0.114889,-1.038778,1.045112,-0.151866,-1.372310,1.380688,93.4442,153.7608,34.4731,597.9615,14.4483,13.662660,5.6521,0
1.0000,-0.123974,-1.029607,1.037044,-0.167056,-1.355109,1.365367,103.0250,152.7566,0.0000,608.1211,12.6910,13.672701,5.6646,0
1.5000,-0.134494,-1.032080,1.040807,-0.180921,-1.362239,1.374201,105.2960,152.2874,38.3641,609.4045,13.9248,13.695657,5.6931,0
2.0000,-0.123186,-1.041457,1.048717,-0.163423,-1.377294,1.386955,90.2744,153.5574,97.2784,597.6006,14.1222,13.668860,5.6598,0
2.5000,-0.123033,-1.036870,1.044144,-0.162807,-1.368666,1.378315,94.5310,153.6216,11.2877,598.9350,14.9360,13.661942,5.6512,0
2.9999,-0.134441,-1.028230,1.036982,-0.182049,-1.352978,1.365171,105.7262,152.4877,0.0000,611.3361,12.0057,13.679626,5.6732,0
3.4999,-0.139667,-1.035432,1.044810,-0.186111,-1.368013,1.380614,105.2122,152.4624,74.7428,606.3903,13.8340,13.691536,5.6880,0
3.9999,-0.129186,-1.041351,1.049334,-0.171143,-1.377135,1.387728,91.3243,153.7433,88.5775,597.8710,14.0659,13.666425,5.6568,0
4.4999,-0.131747,-1.034576,1.042931,-0.174823,-1.364301,1.375456,96.4551,153.4107,0.0000,600.8517,15.2345,13.662739,5.6522,0
4.9999,-0.144790,-1.027716,1.037865,-0.196490,-1.352728,1.366924,107.8864,152.2868,0.0000,613.5295,11.7980,13.687050,5.6824,0
5.5000,-0.143211,-1.038440,1.048268,-0.190482,-1.372520,1.385675,100.8873,152.7360,98.9255,601.1874,13.6775,13.684985,5.6798,0
6.0000,-0.135730,-1.040589,1.049404,-0.179563,-1.375734,1.387403,92.5675,153.8144,62.3156,597.8296,13.9483,13.664864,5.6548,0
6.5000,-0.141042,-1.032102,1.041694,-0.187972,-1.359677,1.372609,99.0997,153.1436,0.0000,603.5624,14.1713,13.665505,5.6556,0
7.0000,-0.154421,-1.028399,1.039928,-0.209224,-1.354799,1.370859,108.6521,152.1913,0.0000,613.7489,12.3307,13.693240,5.6901,0
7.5000,-0.147047,-1.040209,1.050551,-0.195298,-1.375284,1.389082,94.0316,153.1114,100.1403,598.1742,13.8107,13.677181,5.6701,0
7.9999,-0.142771,-1.039142,1.048904,-0.188735,-1.373107,1.386017,93.1548,153.7960,42.5376,597.7788,14.2688,13.663123,5.6527,0
8.4999,-0.150762,-1.029775,1.040752,-0.201971,-1.355503,1.370467,102.0573,152.8568,0.0000,606.8377,12.9626,13.670215,5.6615,0
8.9999,-0.162520,-1.030330,1.043069,-0.218790,-1.359098,1.376596,106.8099,152.2363,24.1562,611.1656,13.8321,13.695949,5.6935,0
9.4999,-0.151674,-1.040879,1.051872,-0.201189,-1.376454,1.391079,90.4481,153.4705,97.6923,597.5876,14.0505,13.670371,5.6617,0
9.9999,-0.150312,-1.037097,1.047933,-0.198765,-1.369380,1.383730,94.0032,153.6970,16.5009,598.4049,14.8042,13.661899,5.6511,0
10.5000,-0.160799,-1.027844,1.040345,-0.216464,-1.352377,1.369591,104.8815,152.5836,0.0000,610.2359,12.1312,13.676719,5.6696,0
11.0000,-0.168259,-1.033309,1.046918,-0.224242,-1.364862,1.383161,105.0373,152.4125,61.7501,607.6180,13.8404,13.693315,5.6902,0
11.5000,-0.157001,-1.040764,1.052539,-0.208024,-1.376398,1.392030,90.7413,153.7198,93.3089,597.8313,14.1138,13.666930,5.6574,0
12.0000,-0.158398,-1.034609,1.046664,-0.209814,-1.364795,1.380828,95.6801,153.5185,3.6188,599.9943,15.1092,13.661991,5.6513,0
12.5000,-0.170820,-1.026705,1.040818,-0.230650,-1.351036,1.370583,107.2555,152.3688,0.0000,612.8763,11.7670,13.684112,5.6788,0
